START-OF-LOG: 3.0
CREATED-BY: ua9qcq-rcc-cup-ubn-downloader
CONTEST: RCC-CUP
CALLSIGN: UA0UV
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-ASSISTED: 
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: 
CATEGORY-POWER: HIGH
OPERATORS: UA0UV
QSO: 14000 CW 2019-05-04 0300 UA0UV         599 RCC285 UA0QN         599 23    
QSO: 14000 CW 2019-05-04 0301 UA0UV         599 RCC285 RU4LM         599 29    
QSO: 14000 CW 2019-05-04 0306 UA0UV         599 RCC285 R0CM          599 34    
QSO: 14000 CW 2019-05-04 0307 UA0UV         599 RCC285 R0AK          599 32    
QSO: 14000 CW 2019-05-04 0308 UA0UV         599 RCC285 UN8PT         599 30    
QSO: 14000 CW 2019-05-04 0308 UA0UV         599 RCC285 R9QQ          599 30    
QSO: 14000 CW 2019-05-04 0313 UA0UV         599 RCC285 R7TW          599 29    
QSO: 14000 CW 2019-05-04 0314 UA0UV         599 RCC285 RG8U          599 RCC203
QSO: 14000 CW 2019-05-04 0322 UA0UV         599 RCC285 R0CBW         599 34    
QSO: 14000 CW 2019-05-04 0326 UA0UV         599 RCC285 UA9UAE        599 31    
QSO: 14000 CW 2019-05-04 0326 UA0UV         599 RCC285 RC9O          599 RCC85 
QSO: 14000 CW 2019-05-04 0331 UA0UV         599 RCC285 RW0AJ         599 RCC147
QSO: 14000 CW 2019-05-04 0332 UA0UV         599 RCC285 R9TV          599 RCC189
QSO: 14000 CW 2019-05-04 0336 UA0UV         599 RCC285 RA9AP         599 RCC169
QSO: 14000 CW 2019-05-04 0337 UA0UV         599 RCC285 R9IR          599 RCC95 
QSO: 14000 CW 2019-05-04 0342 UA0UV         599 RCC285 RN9RF         599 30    
QSO: 14000 CW 2019-05-04 0342 UA0UV         599 RCC285 UC0A          599 RCC600
QSO: 14000 CW 2019-05-04 0347 UA0UV         599 RCC285 UN9GD         599 31    
QSO: 14000 CW 2019-05-04 0350 UA0UV         599 RCC285 RA6MQ         599 RCC184
QSO: 14000 CW 2019-05-04 0351 UA0UV         599 RCC285 R9YC          599 RCC282
QSO: 14000 CW 2019-05-04 0356 UA0UV         599 RCC285 R8CT          599 30    
QSO: 14000 CW 2019-05-04 0358 UA0UV         599 RCC285 UA9FGJ        599 RCC176
QSO: 14000 CW 2019-05-04 0402 UA0UV         599 RCC285 RC6U          599 RCC170
QSO: 14000 CW 2019-05-04 0403 UA0UV         599 RCC285 UN7FW         599 RCC377
QSO: 14000 CW 2019-05-04 0403 UA0UV         599 RCC285 UA5D          599 RCC47 
QSO: 14000 CW 2019-05-04 0404 UA0UV         599 RCC285 RX4W          599 RCC57 
QSO: 14000 CW 2019-05-04 0404 UA0UV         599 RCC285 RG9A          599 RCC74 
QSO: 14000 CW 2019-05-04 0405 UA0UV         599 RCC285 RT6N          599 29    
QSO: 14000 CW 2019-05-04 0405 UA0UV         599 RCC285 UD8A          599 30    
QSO: 14000 CW 2019-05-04 0406 UA0UV         599 RCC285 RC9A          599 30    
QSO: 14000 CW 2019-05-04 0406 UA0UV         599 RCC285 R0AS          599 RCC252
QSO: 14000 CW 2019-05-04 0407 UA0UV         599 RCC285 RM9RZ         599 RCC444
QSO: 14000 CW 2019-05-04 0407 UA0UV         599 RCC285 UX9Q          599 29    
QSO: 14000 CW 2019-05-04 0408 UA0UV         599 RCC285 R7MM          599 29    
QSO: 14000 CW 2019-05-04 0408 UA0UV         599 RCC285 UP0L          599 30    
QSO: 14000 CW 2019-05-04 0409 UA0UV         599 RCC285 RM9A          599 RCC1  
QSO: 14000 CW 2019-05-04 0409 UA0UV         599 RCC285 RU0A          599 RCC210
QSO: 14000 CW 2019-05-04 0410 UA0UV         599 RCC285 RU7A          599 29    
