START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CREATED-BY: AATest v.1.108
CALLSIGN: R3XAA
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-POWER: LOW
CATEGORY-OVERLAY:
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
LOCATION: DX
CLAIMED-SCORE: 1372
OPERATORS: R3XAA
CLUB:
NAME: Vladimir
SOAPBOX: FT-450at, ant: HF-6; IV 20/40; Delta 84 m, Tnx, 73!
QSO:  7000 CW 2015-11-29 0216 R3XAA         599 16     P40C          599 09
QSO:  7000 CW 2015-11-29 0231 R3XAA         599 16     D4C           599 35
QSO:  7000 CW 2015-11-29 0240 R3XAA         599 16     K5TR          599 05
QSO:  7000 CW 2015-11-29 0301 R3XAA         599 16     ZB2X          599 14
QSO:  3500 CW 2015-11-29 0630 R3XAA         599 16     K1ZR          599 05
QSO:  3500 CW 2015-11-29 0632 R3XAA         599 16     W1KM          599 05
QSO:  3500 CW 2015-11-29 0638 R3XAA         599 16     KC1XX         599 05
QSO: 14000 CW 2015-11-29 0824 R3XAA         599 16     MW5R          599 14
QSO: 14000 CW 2015-11-29 0910 R3XAA         599 16     EF8U          599 33
QSO: 14000 CW 2015-11-29 0917 R3XAA         599 16     CN2AA         599 33
QSO: 21000 CW 2015-11-29 1028 R3XAA         599 16     SW9AA         599 20
QSO: 21000 CW 2015-11-29 1318 R3XAA         599 16     KU2M          599 05
QSO: 21000 CW 2015-11-29 1321 R3XAA         599 16     N2MF          599 05
QSO: 21000 CW 2015-11-29 1323 R3XAA         599 16     WE3C          599 05
QSO: 14000 CW 2015-11-29 1438 R3XAA         599 16     K3LR          599 05
QSO: 14000 CW 2015-11-29 1440 R3XAA         599 16     N4ZZ          599 04
QSO:  7000 CW 2015-11-29 1848 R3XAA         599 16     ZA/YT7DQ      599 15
QSO:  3500 CW 2015-11-29 2009 R3XAA         599 16     P3F           599 20
QSO:  3500 CW 2015-11-29 2011 R3XAA         599 16     UN3M          599 17
END-OF-LOG:
