START-OF-LOG: 3.0
CALLSIGN: WB9QAF
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 32487
NAME: Paul Christy
LOCATION: NE
OPERATORS: WB9QAF
CLUB:
CERTIFICATE: NO
CREATED-BY: WriteLog V11.31A
SOAPBOX: Ran QRP with KX3 and 560' loop antenna erected with assistance of
SOAPBOX: a drone and wife at an average of 30' above the ground with
SOAPBOX: 4 to 1 balun and short coax run.  Entered as assisted although I did
SOAPBOX: not use any spotting assistance whatsoever, just used the CW
SOAPBOX: reader built into KX3.  I really don't see how that is any
SOAPBOX: different than using a computer for logging or an electronic keyer
SOAPBOX: for sending. They save time and effort through modern technology
SOAPBOX: but don't involve any help from other people.  I don't think the
SOAPBOX: vast majority of operators would consider a CW reader as
SOAPBOX: "assistance" as it is commonly thought of.  Just my two cents.
QSO: 14002 CW 2015-11-28 0005 WB9QAF        599     04 W8TK          599      3
QSO: 14047 CW 2015-11-28 0028 WB9QAF        599     04 HI3K          599      8
QSO: 14049 CW 2015-11-28 0029 WB9QAF        599     04 VE2FK         599      5
QSO:  7002 CW 2015-11-28 0037 WB9QAF        599     04 W2FU          599      5
QSO:  7015 CW 2015-11-28 0045 WB9QAF        599     04 K3WW          599      5
QSO: 14001 CW 2015-11-28 0048 WB9QAF        599     04 N5CR          599      3
QSO: 14002 CW 2015-11-28 0050 WB9QAF        599     04 VC1E          599      5
QSO: 14007 CW 2015-11-28 0052 WB9QAF        599     04 VE6JY         599      4
QSO: 14032 CW 2015-11-28 0100 WB9QAF        599     04 LP1H          599     13
QSO: 14006 CW 2015-11-28 0431 WB9QAF        599     04 OA4SS         599     10
QSO:  7003 CW 2015-11-28 0443 WB9QAF        599     04 W2CG          599      5
QSO:  7003 CW 2015-11-28 0444 WB9QAF        599     04 NR4M          599      5
QSO:  7004 CW 2015-11-28 0446 WB9QAF        599     04 W3LPL         599      5
QSO:  7028 CW 2015-11-28 0501 WB9QAF        599     04 K5ZD          599      5
QSO:  7037 CW 2015-11-28 0505 WB9QAF        599     04 EA3DU         599     14
QSO:  7037 CW 2015-11-28 0506 WB9QAF        599     04 NW3Y          599      5
QSO:  7041 CW 2015-11-28 0513 WB9QAF        599     04 K3TUF         599      5
QSO:  7051 CW 2015-11-28 0515 WB9QAF        599     04 K1KP          599      5
QSO:  7051 CW 2015-11-28 0517 WB9QAF        599     04 N8FF          599      4
QSO:  7054 CW 2015-11-28 0518 WB9QAF        599     04 W5XU          599      4
QSO:  7055 CW 2015-11-28 0518 WB9QAF        599     04 N3QE          599      5
QSO:  7055 CW 2015-11-28 0520 WB9QAF        599     04 EA8/YP9W      599     33
QSO:  7060 CW 2015-11-28 0526 WB9QAF        599     04 S53A          599     15
QSO:  7068 CW 2015-11-28 0528 WB9QAF        599     04 K3STX         599      5
QSO:  7090 CW 2015-11-28 0533 WB9QAF        599     04 NR3X          599      5
QSO:  3502 CW 2015-11-28 0543 WB9QAF        599     04 K2LE          599      5
QSO:  3504 CW 2015-11-28 0548 WB9QAF        599     04 W1MK          599      5
QSO:  3505 CW 2015-11-28 0550 WB9QAF        599     04 K0DQ          599      5
QSO:  3508 CW 2015-11-28 0552 WB9QAF        599     04 W3BGN         599      5
QSO:  3520 CW 2015-11-28 0601 WB9QAF        599     04 VE2FK         599      4
QSO:  3524 CW 2015-11-28 0603 WB9QAF        599     04 VE9AA         599      5
QSO:  3526 CW 2015-11-28 0604 WB9QAF        599     04 N3RS          599      5
QSO:  3540 CW 2015-11-28 0613 WB9QAF        599     04 K9CT          599      4
QSO:  3542 CW 2015-11-28 0614 WB9QAF        599     04 K3WW          599      5
QSO:  3526 CW 2015-11-28 1127 WB9QAF        599     04 K6AAM         599      3
QSO:  3518 CW 2015-11-28 1128 WB9QAF        599     04 W0IAH         599      4
QSO:  3517 CW 2015-11-28 1130 WB9QAF        599     04 K6NA          599      3
QSO:  3513 CW 2015-11-28 1133 WB9QAF        599     04 VE3JM         599      4
QSO:  3508 CW 2015-11-28 1142 WB9QAF        599     04 VC7O          599      3
QSO:  3504 CW 2015-11-28 1146 WB9QAF        599     04 K6IJ          599     31
QSO:  3503 CW 2015-11-28 1148 WB9QAF        599     04 WX5S          599      4
QSO:  7002 CW 2015-11-28 1152 WB9QAF        599     04 W7WA          599      3
QSO:  7005 CW 2015-11-28 1153 WB9QAF        599     04 VE3MIS        599      4
QSO:  7016 CW 2015-11-28 1159 WB9QAF        599     04 VE3YAA        599      4
QSO:  7016 CW 2015-11-28 1200 WB9QAF        599     04 VA7ST         599      3
QSO:  7026 CW 2015-11-28 1214 WB9QAF        599     04 K4PV          599      5
QSO:  7027 CW 2015-11-28 1215 WB9QAF        599     04 N8OO          599      4
QSO:  7058 CW 2015-11-28 1224 WB9QAF        599     04 N6MI          599      3
QSO:  3505 CW 2015-11-28 1229 WB9QAF        599     04 N9RV          599      4
QSO:  3512 CW 2015-11-28 1232 WB9QAF        599     04 VE3RZ         599      4
QSO:  3523 CW 2015-11-28 1234 WB9QAF        599     04 WE3C          599      5
QSO:  3545 CW 2015-11-28 1259 WB9QAF        599     04 KH6J          599     31
QSO:  7017 CW 2015-11-28 1305 WB9QAF        599     04 N5RP          599      4
QSO: 14029 CW 2015-11-28 1315 WB9QAF        599     04 N4WW          599      5
QSO: 14047 CW 2015-11-28 1325 WB9QAF        599     04 AA1SU         599      5
QSO: 14015 CW 2015-11-28 1333 WB9QAF        599     04 K1VMT         599      5
QSO: 14017 CW 2015-11-28 1334 WB9QAF        599     04 W2FU          599      5
QSO: 14033 CW 2015-11-28 1339 WB9QAF        599     04 HK1R          599      9
QSO: 14062 CW 2015-11-28 1342 WB9QAF        599     04 AA2A          599      5
QSO: 21026 CW 2015-11-28 1515 WB9QAF        599     04 N2MF          599      5
QSO: 21044 CW 2015-11-28 1520 WB9QAF        599     04 HG7T          599     15
