START-OF-LOG: 3.0
CALLSIGN: W6NF
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 160776
NAME: Jack Parker
LOCATION: MN
OPERATORS: W6NF
CLUB: Radiosport Manitoba
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5327.0
SOAPBOX: My newly erected 135-foot long-wire worked very well.
SOAPBOX: With the feed end at 25-feet and the far end (temporarily)
SOAPBOX: at 10 feet, it is not high enough to be effective on
SOAPBOX: 160/80 and displayed fair performance on 40. On 20/15/10,
SOAPBOX: though, it was surprising. A total of 78 DXCC entities
SOAPBOX: were worked. Overall I am very pleased at this result.
QSO: 14000 CW 2015-11-28 0006 W6NF          599 4      PY4XX         599 11
QSO: 14000 CW 2015-11-28 0010 W6NF          599 4      KH6J          599 31
QSO: 14000 CW 2015-11-28 0016 W6NF          599 4      PY4HO         599 11
QSO: 14000 CW 2015-11-28 0022 W6NF          599 4      LP1S          599 13
QSO: 14000 CW 2015-11-28 0025 W6NF          599 4      ZF2MJ         599 08
QSO: 14000 CW 2015-11-28 0027 W6NF          599 4      CE2MVF        599 12
QSO: 14000 CW 2015-11-28 0030 W6NF          599 4      JW7QIA        599 40
QSO: 14000 CW 2015-11-28 0031 W6NF          599 4      VC7O          599 03
QSO: 14000 CW 2015-11-28 0044 W6NF          599 4      VE7IO         599 03
QSO: 14000 CW 2015-11-28 0049 W6NF          599 4      OH8A          599 15
QSO: 14000 CW 2015-11-28 0052 W6NF          599 4      JA3YBK        599 25
QSO: 14000 CW 2015-11-28 0054 W6NF          599 4      JA8RWU        599 25
QSO: 14000 CW 2015-11-28 0056 W6NF          599 4      VE7VR         599 03
QSO: 14000 CW 2015-11-28 0059 W6NF          599 4      XE2B          599 06
QSO: 14000 CW 2015-11-28 0116 W6NF          599 4      TF2CW         599 40
QSO: 14000 CW 2015-11-28 0123 W6NF          599 4      K5GN          599 04
QSO:  7000 CW 2015-11-28 0127 W6NF          599 4      N3RS          599 05
QSO:  7000 CW 2015-11-28 0135 W6NF          599 4      WA6O          599 03
QSO:  7000 CW 2015-11-28 0240 W6NF          599 4      VE3JM         599 04
QSO:  7000 CW 2015-11-28 0243 W6NF          599 4      EA2EA         599 14
QSO:  7000 CW 2015-11-28 0245 W6NF          599 4      EF8U          599 33
QSO:  7000 CW 2015-11-28 0251 W6NF          599 4      II9P          599 15
QSO:  7000 CW 2015-11-28 0301 W6NF          599 4      PZ5W          599 09
QSO:  7000 CW 2015-11-28 0313 W6NF          599 4      IR4X          599 15
QSO:  3500 CW 2015-11-28 0346 W6NF          599 4      VE7GL         599 03
QSO:  3500 CW 2015-11-28 0347 W6NF          599 4      K5GN          599 04
QSO:  3500 CW 2015-11-28 0348 W6NF          599 4      NR4M          599 05
