START-OF-LOG: 3.0
CALLSIGN: F5IQJ
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 43086
LOCATION: F
CREATED-BY: Lux-Log v6.05.00 by LX1NO
NAME: DANIEL
OPERATORS: F5IQJ
SOAPBOX: ELECRAFT K2 - 5 W - ANT. VERT. GAP TITAN
QSO:  7000 CW 2015-11-28 0509 F5IQJ         599 14         YT0A          599 15
QSO:  7000 CW 2015-11-28 0511 F5IQJ         599 14         W2FU          599 05
QSO:  7000 CW 2015-11-28 0512 F5IQJ         599 14         AA1K          599 05
QSO:  7000 CW 2015-11-28 0513 F5IQJ         599 14         DF0HQ         599 14
QSO:  7000 CW 2015-11-28 0514 F5IQJ         599 14         HG5D          599 15
QSO:  7000 CW 2015-11-28 0518 F5IQJ         599 14         CR3L          599 33
QSO:  7000 CW 2015-11-28 0520 F5IQJ         599 14         SP9W          599 15
QSO:  7000 CW 2015-11-28 0522 F5IQJ         599 14         RT3F          599 16
QSO:  3500 CW 2015-11-28 0524 F5IQJ         599 14         DM4EE         599 14
QSO:  3500 CW 2015-11-28 0527 F5IQJ         599 14         DR5NT         599 14
QSO:  3500 CW 2015-11-28 0528 F5IQJ         599 14         DJ5MW         599 14
QSO:  3500 CW 2015-11-28 0534 F5IQJ         599 14         YT5A          599 15
QSO:  3500 CW 2015-11-28 0535 F5IQJ         599 14         SN8B          599 15
QSO:  7000 CW 2015-11-28 0540 F5IQJ         599 14         KF3B          599 05
QSO:  7000 CW 2015-11-28 0542 F5IQJ         599 14         G2F           599 14
QSO:  7000 CW 2015-11-28 0544 F5IQJ         599 14         RL5A          599 16
QSO:  7000 CW 2015-11-28 0554 F5IQJ         599 14         EF8R          599 33
QSO:  7000 CW 2015-11-28 0650 F5IQJ         599 14         EA5RS         599 14
QSO:  7000 CW 2015-11-28 0651 F5IQJ         599 14         K3WW          599 05
QSO: 14000 CW 2015-11-28 0654 F5IQJ         599 14         UP9L          599 17
QSO: 14000 CW 2015-11-28 0656 F5IQJ         599 14         Z33F          599 15
