START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.19.0
CONTEST: CQ-WW-CW
LOCATION: CA
CALLSIGN: W6/DG1CMZ
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 375632
OPERATORS: W6/DG1CMZ
CLUB: NORTHERN CALIFORNIA CONTEST CLUB
NAME: Michael Zuerch
CERTIFICATE: NO
SOAPBOX: Operated from W6BB shack at University of California, Berkeley. R7000
SOAPBOX: multiband vertical + Flex6500. About 200-400W from a Yaesu FL2100.
QSO: 21015 CW 2015-11-28 0002 W6/DG1CMZ     599 3      K9MA          599 04     0
QSO: 21015 CW 2015-11-28 0007 W6/DG1CMZ     599 3      BA4WR         599 24     0
QSO: 21006 CW 2015-11-28 0012 W6/DG1CMZ     599 3      K6XX          599 03     0
QSO: 21026 CW 2015-11-28 0014 W6/DG1CMZ     599 3      B1Z           599 24     0
QSO: 21025 CW 2015-11-28 0017 W6/DG1CMZ     599 3      BY5CD         599 24     0
QSO: 21002 CW 2015-11-28 0018 W6/DG1CMZ     599 3      JA6LCJ        599 25     0
QSO: 21003 CW 2015-11-28 0019 W6/DG1CMZ     599 3      DS4EOI        599 25     0
QSO: 21031 CW 2015-11-28 0027 W6/DG1CMZ     599 3      RW0LBM        599 19     0
QSO: 21033 CW 2015-11-28 0028 W6/DG1CMZ     599 3      7J1YAJ        599 25     0
QSO: 21034 CW 2015-11-28 0030 W6/DG1CMZ     599 3      HS0ZAR        599 26     0
QSO: 21034 CW 2015-11-28 0031 W6/DG1CMZ     599 3      JA5DQH        599 25     0
QSO: 21036 CW 2015-11-28 0032 W6/DG1CMZ     599 3      JR3NZC        599 25     0
QSO: 21038 CW 2015-11-28 0034 W6/DG1CMZ     599 3      JA3YBK        599 25     0
QSO: 21039 CW 2015-11-28 0035 W6/DG1CMZ     599 3      KH7M          599 31     0
QSO: 21040 CW 2015-11-28 0036 W6/DG1CMZ     599 3      JA0QNJ        599 25     0
QSO: 21045 CW 2015-11-28 0038 W6/DG1CMZ     599 3      JL3JRY        599 25     0
QSO: 21046 CW 2015-11-28 0038 W6/DG1CMZ     599 3      KH6LC         599 31     0
QSO: 21046 CW 2015-11-28 0040 W6/DG1CMZ     599 3      JA5FDJ        599 25     0
QSO: 21049 CW 2015-11-28 0042 W6/DG1CMZ     599 3      JH4UYB        599 25     0
QSO: 21053 CW 2015-11-28 0043 W6/DG1CMZ     599 3      JF9JTS        599 25     0
QSO: 21054 CW 2015-11-28 0044 W6/DG1CMZ     599 3      KH6J          599 31     0
QSO: 21055 CW 2015-11-28 0045 W6/DG1CMZ     599 3      JA6GCE        599 25     0
QSO: 21060 CW 2015-11-28 0047 W6/DG1CMZ     599 3      BG2AUE        599 24     0
QSO: 21061 CW 2015-11-28 0048 W6/DG1CMZ     599 3      7J1AAI        599 25     0
QSO: 21064 CW 2015-11-28 0050 W6/DG1CMZ     599 3      JA7FLI        599 25     0
QSO: 21070 CW 2015-11-28 0050 W6/DG1CMZ     599 3      JR3EOI        599 25     0
QSO: 21071 CW 2015-11-28 0051 W6/DG1CMZ     599 3      JE1ZWT        599 25     0
QSO: 21076 CW 2015-11-28 0052 W6/DG1CMZ     599 3      JH8SLS        599 25     0
QSO: 21083 CW 2015-11-28 0053 W6/DG1CMZ     599 3      JI1RXQ        599 25     0
QSO: 21082 CW 2015-11-28 0054 W6/DG1CMZ     599 3      JQ1VDJ        599 25     0
QSO: 21071 CW 2015-11-28 0055 W6/DG1CMZ     599 3      NH2DX         599 27     0
QSO: 21068 CW 2015-11-28 0056 W6/DG1CMZ     599 3      JH1BNC        599 25     0
QSO: 21055 CW 2015-11-28 0058 W6/DG1CMZ     599 3      JR2PMT        599 25     0
QSO: 21043 CW 2015-11-28 0059 W6/DG1CMZ     599 3      RA0FF         599 19     0
QSO: 21034 CW 2015-11-28 0100 W6/DG1CMZ     599 3      JE2PCY        599 25     0
QSO: 21033 CW 2015-11-28 0102 W6/DG1CMZ     599 3      RT0C          599 19     0
