START-OF-LOG: 3.0
CALLSIGN: IK2MXM
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 35960
NAME: GIGI
LOCATION: DX
OPERATORS: IK2MXM
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5325.0
SOAPBOX: this is my 1st cw contest -
SOAPBOX: rig ft767gx -  pwr 75w - ant. lw + dipole
SOAPBOX: bye to the next contest! gigi
QSO:  7000 CW 2015-11-28 0348 IK2MXM        599 15     9A9R          599 15
QSO:  7000 CW 2015-11-28 0351 IK2MXM        599 15     OL5T          599 15
QSO:  7000 CW 2015-11-28 0354 IK2MXM        599 15     9A5Y          599 15
QSO:  7000 CW 2015-11-28 0356 IK2MXM        599 15     HG7T          599 15
QSO:  7000 CW 2015-11-28 0359 IK2MXM        599 15     S59ABC        599 15
QSO:  7000 CW 2015-11-28 0402 IK2MXM        599 15     OM3ZWA        599 15
QSO:  7000 CW 2015-11-28 0404 IK2MXM        599 15     HA8JV         599 15
QSO:  7000 CW 2015-11-28 0412 IK2MXM        599 15     Z60WW         599 15
QSO:  7000 CW 2015-11-28 0417 IK2MXM        599 15     OK2D          599 15
QSO:  7000 CW 2015-11-28 0420 IK2MXM        599 15     OM7RU         599 15
QSO:  7000 CW 2015-11-28 0424 IK2MXM        599 15     IB9T          599 15
QSO:  7000 CW 2015-11-28 0430 IK2MXM        599 15     SN3A          599 15
QSO:  7000 CW 2015-11-28 0434 IK2MXM        599 15     HA8FM         599 15
QSO:  7000 CW 2015-11-28 0437 IK2MXM        599 15     SN8B          599 15
QSO:  7000 CW 2015-11-28 0442 IK2MXM        599 15     LZ7A          599 20
QSO:  7000 CW 2015-11-28 0444 IK2MXM        599 15     LZ1EV         599 20
QSO:  7000 CW 2015-11-28 0456 IK2MXM        599 15     HA3DX         599 15
QSO:  7000 CW 2015-11-28 0458 IK2MXM        599 15     EA5BM         599 14
QSO:  7000 CW 2015-11-28 0459 IK2MXM        599 15     HA7GN         599 15
QSO:  7000 CW 2015-11-28 0502 IK2MXM        599 15     YT9A          599 15
QSO:  7000 CW 2015-11-28 0509 IK2MXM        599 15     YT0A          599 15
QSO:  3500 CW 2015-11-28 0514 IK2MXM        599 15     DF0HQ         599 14
QSO:  3500 CW 2015-11-28 0516 IK2MXM        599 15     OL3Z          599 15
QSO:  3500 CW 2015-11-28 0518 IK2MXM        599 15     S57Z          599 15
QSO:  3500 CW 2015-11-28 0524 IK2MXM        599 15     DJ5MW         599 14
QSO: 28000 CW 2015-11-28 0912 IK2MXM        599 15     P3F           599 20
QSO: 28000 CW 2015-11-28 0916 IK2MXM        599 15     RM4I          599 16
QSO: 21000 CW 2015-11-28 0927 IK2MXM        599 15     UT7E          599 16
QSO: 21000 CW 2015-11-28 0931 IK2MXM        599 15     RT6A          599 16
QSO: 21000 CW 2015-11-28 0935 IK2MXM        599 15     UA3RN         599 16
QSO: 21000 CW 2015-11-28 0941 IK2MXM        599 15     RW0A          599 18
QSO: 21000 CW 2015-11-28 0945 IK2MXM        599 15     OH3FM         599 15
QSO: 21000 CW 2015-11-28 0949 IK2MXM        599 15     C4W           599 20
QSO: 21000 CW 2015-11-28 1006 IK2MXM        599 15     CR3L          599 33
QSO: 21000 CW 2015-11-28 1008 IK2MXM        599 15     OH0V          599 15
QSO: 21000 CW 2015-11-28 1011 IK2MXM        599 15     RC3W          599 16
QSO: 21000 CW 2015-11-28 1013 IK2MXM        599 15     UT1IM         599 16
QSO: 21000 CW 2015-11-28 1018 IK2MXM        599 15     YO4DW         599 20
QSO: 21000 CW 2015-11-28 1019 IK2MXM        599 15     EW8EW         599 16
QSO: 21000 CW 2015-11-28 1020 IK2MXM        599 15     R7AB          599 16
QSO: 21000 CW 2015-11-28 1027 IK2MXM        599 15     UT5EO         599 16
QSO: 21000 CW 2015-11-28 1030 IK2MXM        599 15     OH3OJ         599 15
QSO: 21000 CW 2015-11-28 1031 IK2MXM        599 15     OH9W          599 15
QSO: 21000 CW 2015-11-28 1034 IK2MXM        599 15     RX7T          599 16
QSO: 21000 CW 2015-11-28 1037 IK2MXM        599 15     UN6LN         599 17
QSO: 21000 CW 2015-11-28 1039 IK2MXM        599 15     LY8O          599 15
QSO: 21000 CW 2015-11-28 1049 IK2MXM        599 15     R6DX          599 16
QSO: 21000 CW 2015-11-28 1058 IK2MXM        599 15     YQ6A          599 20
QSO: 21000 CW 2015-11-28 1100 IK2MXM        599 15     RO2E          599 16
QSO: 21000 CW 2015-11-28 1102 IK2MXM        599 15     UW7M          599 16
QSO: 21000 CW 2015-11-28 1354 IK2MXM        599 15     R7AW          599 16
QSO: 21000 CW 2015-11-28 1355 IK2MXM        599 15     N3RS          599 05
QSO: 21000 CW 2015-11-28 1401 IK2MXM        599 15     P33W          599 20
QSO: 21000 CW 2015-11-28 1402 IK2MXM        599 15     K1ZR          599 05
QSO: 21000 CW 2015-11-28 1404 IK2MXM        599 15     K1TO          599 05
QSO: 21000 CW 2015-11-28 1410 IK2MXM        599 15     UA1OOX        599 16
QSO: 21000 CW 2015-11-28 1414 IK2MXM        599 15     K2AX          599 05
QSO: 21000 CW 2015-11-28 1417 IK2MXM        599 15     CO8LY         599 08
QSO: 21000 CW 2015-11-28 1418 IK2MXM        599 15     CR3OO         599 33
QSO: 21000 CW 2015-11-28 1424 IK2MXM        599 15     W0MM          599 04
QSO: 21000 CW 2015-11-28 1430 IK2MXM        599 15     4Z4AK         599 20
QSO: 21000 CW 2015-11-28 1431 IK2MXM        599 15     SW9AA         599 20
QSO: 21000 CW 2015-11-28 1435 IK2MXM        599 15     W8MJ          599 04
QSO: 21000 CW 2015-11-28 1438 IK2MXM        599 15     OE3K          599 15
QSO: 21000 CW 2015-11-28 1445 IK2MXM        599 15     W2YC          599 05
QSO: 21000 CW 2015-11-28 1447 IK2MXM        599 15     K9MA          599 04
QSO: 14000 CW 2015-11-28 1458 IK2MXM        599 15     MW5R          599 14
QSO: 14000 CW 2015-11-28 1502 IK2MXM        599 15     4Z5LY         599 20
QSO: 14000 CW 2015-11-28 1504 IK2MXM        599 15     OH1F          599 15
QSO: 14000 CW 2015-11-28 1507 IK2MXM        599 15     YT1A          599 15
QSO: 14000 CW 2015-11-28 1510 IK2MXM        599 15     RT5Z          599 16
QSO: 14000 CW 2015-11-28 1511 IK2MXM        599 15     LZ5XQ         599 20
QSO: 14000 CW 2015-11-28 1512 IK2MXM        599 15     SZ1A          599 20
QSO: 28000 CW 2015-11-28 1519 IK2MXM        599 15     N3RS          599 05
QSO: 28000 CW 2015-11-28 1523 IK2MXM        599 15     N4WW          599 05
QSO: 28000 CW 2015-11-28 1524 IK2MXM        599 15     KV2K          599 05
QSO: 28000 CW 2015-11-28 1526 IK2MXM        599 15     K3OO          599 05
QSO: 21000 CW 2015-11-28 1536 IK2MXM        599 15     EA7PP         599 14
QSO: 21000 CW 2015-11-28 1538 IK2MXM        599 15     N2SR          599 05
QSO: 21000 CW 2015-11-28 1542 IK2MXM        599 15     K5TR          599 04
QSO: 21000 CW 2015-11-28 1544 IK2MXM        599 15     N1LN          599 05
QSO:  7000 CW 2015-11-28 1550 IK2MXM        599 15     9A5X          599 15
