START-OF-LOG: 3.0
CREATED-BY: N3FJP's CQ World Wide Log 2.2
CONTEST: CQ-WW-CW
CALLSIGN: WA8REI
CLAIMED-SCORE: 27965
OPERATORS: WA8REI
LOCATION: MI
CLUB:
NAME: KEN LOUKS
SOAPBOX:
SOAPBOX:  5 watts to a Mosley PRO 67B yagi.  20 m. SBSO.  EXCELLENT CONDX
SOAPBOX:  FOR QRP.  TNX ALL FOR A FUN EVENT.
SOAPBOX:  CLASSIC OP.  NO COMPUTER ASSISTANCE OR RIG TO COMPUTER CONNECTION
SOAPBOX:
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 20M
CATEGORY-POWER: QRP
CATEGORY-STATION: FIXED
QSO: 14000 CW 2015-11-28 0044 WA8REI        599 04     HR2J          599 07
QSO: 14000 CW 2015-11-28 0055 WA8REI        599 04     N7AT          599 03
QSO: 14000 CW 2015-11-28 0058 WA8REI        599 04     CE2MVF        599 12
QSO: 14000 CW 2015-11-28 0059 WA8REI        599 04     HI3K          599 08
QSO: 14000 CW 2015-11-28 0105 WA8REI        599 04     CE3CT         599 12
QSO: 14000 CW 2015-11-28 0111 WA8REI        599 04     LP1H          599 13
QSO: 14000 CW 2015-11-28 0115 WA8REI        599 04     V31WI         599 07
QSO: 14000 CW 2015-11-28 0128 WA8REI        599 04     ZF2MJ         599 08
QSO: 14000 CW 2015-11-28 0141 WA8REI        599 04     NP3A          599 08
QSO: 14000 CW 2015-11-28 0154 WA8REI        599 04     CO8DM         599 08
QSO: 14000 CW 2015-11-28 0206 WA8REI        599 04     KP2M          599 08
QSO: 14000 CW 2015-11-28 0215 WA8REI        599 04     V47T          599 08
QSO: 14000 CW 2015-11-28 0229 WA8REI        599 04     KP3Z          599 08
QSO: 14000 CW 2015-11-28 1534 WA8REI        599 04     OK1HFP        599 15
QSO: 14000 CW 2015-11-28 1536 WA8REI        599 04     S52ZW         599 15
QSO: 14000 CW 2015-11-28 1540 WA8REI        599 04     M6T           599 14
QSO: 14000 CW 2015-11-28 1543 WA8REI        599 04     OG7A          599 15
QSO: 14000 CW 2015-11-28 1552 WA8REI        599 04     G5W           599 14
QSO: 14000 CW 2015-11-28 1553 WA8REI        599 04     N7XU          599 03
QSO: 14000 CW 2015-11-28 1555 WA8REI        599 04     SN8B          599 15
QSO: 14000 CW 2015-11-28 1608 WA8REI        599 04     LB1GB         599 14
QSO: 14000 CW 2015-11-28 1609 WA8REI        599 04     VE2SG         599 05
QSO: 14000 CW 2015-11-28 1613 WA8REI        599 04     RT5Z          599 16
QSO: 14000 CW 2015-11-28 1615 WA8REI        599 04     OH2BAH        599 15
QSO: 14000 CW 2015-11-28 1616 WA8REI        599 04     OL4A          599 15
QSO: 14000 CW 2015-11-28 1619 WA8REI        599 04     OM0WR         599 15
QSO: 14000 CW 2015-11-28 1622 WA8REI        599 04     EU6AF         599 16
QSO: 14000 CW 2015-11-28 1624 WA8REI        599 04     LY4A          599 15
QSO: 14000 CW 2015-11-28 1625 WA8REI        599 04     SO4R          599 15
QSO: 14000 CW 2015-11-28 1627 WA8REI        599 04     RT6A          599 16
QSO: 14000 CW 2015-11-28 1638 WA8REI        599 04     SJ4F          599 14
QSO: 14000 CW 2015-11-28 1643 WA8REI        599 04     LZ9W          599 20
QSO: 14000 CW 2015-11-28 1848 WA8REI        599 04     MM2N          599 14
QSO: 14000 CW 2015-11-28 1849 WA8REI        599 04     WX0B          599 04
QSO: 14000 CW 2015-11-28 1851 WA8REI        599 04     IR4X          599 15
QSO: 14000 CW 2015-11-28 1852 WA8REI        599 04     G4R           599 14
QSO: 14000 CW 2015-11-28 1854 WA8REI        599 04     IR4M          599 15
QSO: 14000 CW 2015-11-28 1858 WA8REI        599 04     IR2C          599 15
QSO: 14000 CW 2015-11-28 1859 WA8REI        599 04     VC7O          599 03
QSO: 14000 CW 2015-11-28 1901 WA8REI        599 04     DK8ZB         599 14
QSO: 14000 CW 2015-11-28 1905 WA8REI        599 04     TM5M          599 14
QSO: 14000 CW 2015-11-28 1906 WA8REI        599 04     EF2A          599 14
QSO: 14000 CW 2015-11-28 1909 WA8REI        599 04     DJ5MW         599 14
QSO: 14000 CW 2015-11-28 1910 WA8REI        599 04     TM6M          599 14
QSO: 14000 CW 2015-11-28 1912 WA8REI        599 04     PI4COM        599 14
QSO: 14000 CW 2015-11-28 1915 WA8REI        599 04     VE7GL         599 03
QSO: 14000 CW 2015-11-28 1915 WA8REI        599 04     VE2FK         599 05
QSO: 14000 CW 2015-11-28 1916 WA8REI        599 04     K1RO          599 05
QSO: 14000 CW 2015-11-28 1922 WA8REI        599 04     3B9HA         599 39
QSO: 14000 CW 2015-11-28 1938 WA8REI        599 04     VY2TT         599 05
QSO: 14000 CW 2015-11-28 1947 WA8REI        599 04     CR3L          599 33
QSO: 14000 CW 2015-11-28 2058 WA8REI        599 04     OH1F          599 15
QSO: 14000 CW 2015-11-28 2101 WA8REI        599 04     AL1G          599 01
QSO: 14000 CW 2015-11-28 2102 WA8REI        599 04     P40L          599 09
QSO: 14000 CW 2015-11-28 2103 WA8REI        599 04     CO2RQ         599 08
QSO: 14000 CW 2015-11-28 2108 WA8REI        599 04     OH0Z          599 15
QSO: 14000 CW 2015-11-28 2122 WA8REI        599 04     TF2CW         599 40
QSO: 14000 CW 2015-11-28 2323 WA8REI        599 04     JA8RWU        599 25
QSO: 14000 CW 2015-11-28 2325 WA8REI        599 04     DP1POL        599 38
QSO: 14000 CW 2015-11-28 2330 WA8REI        599 04     PJ2T          599 09
QSO: 14000 CW 2015-11-28 2333 WA8REI        599 04     VP5CW         599 08
QSO: 14000 CW 2015-11-28 2337 WA8REI        599 04     CX5UA         599 13
QSO: 14000 CW 2015-11-28 2338 WA8REI        599 04     YW4D          599 09
QSO: 14000 CW 2015-11-29 0016 WA8REI        599 04     OG6N          599 15
QSO: 14000 CW 2015-11-29 0017 WA8REI        599 04     OH8A          599 15
QSO: 14000 CW 2015-11-29 0020 WA8REI        599 04     OH6CT         599 15
QSO: 14000 CW 2015-11-29 0040 WA8REI        599 04     XE2B          599 06
QSO: 14000 CW 2015-11-29 0104 WA8REI        599 04     PJ4A          599 09
QSO: 14000 CW 2015-11-29 0114 WA8REI        599 04     ZF2ET         599 08
QSO: 14000 CW 2015-11-29 0116 WA8REI        599 04     PR2F          599 11
QSO: 14000 CW 2015-11-29 0118 WA8REI        599 04     SJ2W          599 14
QSO: 14000 CW 2015-11-29 1741 WA8REI        599 04     EA2EA         599 15
QSO: 14000 CW 2015-11-29 1744 WA8REI        599 04     OK2D          599 15
QSO: 14000 CW 2015-11-29 1746 WA8REI        599 04     G4IIY         599 14
QSO: 14000 CW 2015-11-29 1747 WA8REI        599 04     9A1P          599 15
QSO: 14000 CW 2015-11-29 1750 WA8REI        599 04     DR4A          599 14
QSO: 14000 CW 2015-11-29 1753 WA8REI        599 04     G2F           599 14
QSO: 14000 CW 2015-11-29 1755 WA8REI        599 04     SP9LJD        599 15
QSO: 14000 CW 2015-11-29 1759 WA8REI        599 04     DD5DQ         599 14
QSO: 14000 CW 2015-11-29 1801 WA8REI        599 04     G5O           599 14
QSO: 14000 CW 2015-11-29 1803 WA8REI        599 04     S50B          599 15
QSO: 14000 CW 2015-11-29 1804 WA8REI        599 04     OL2N          599 15
QSO: 14000 CW 2015-11-29 1811 WA8REI        599 04     LX7I          599 14
QSO: 14000 CW 2015-11-29 1813 WA8REI        599 04     HB9CA         599 14
QSO: 14000 CW 2015-11-29 1816 WA8REI        599 04     VE9DX         599 03
QSO: 14000 CW 2015-11-29 1819 WA8REI        599 04     DL8WEM        599 14
QSO: 14000 CW 2015-11-29 1821 WA8REI        599 04     VE9CB         599 05
QSO: 14000 CW 2015-11-29 1822 WA8REI        599 04     GW4J          599 14
