START-OF-LOG: 3.0
CALLSIGN: NZ3O
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 496155
NAME: BYRON P PEEBLES
LOCATION: EPA
OPERATORS: NZ3O
CLUB:
CERTIFICATE: NO
CREATED-BY: WriteLog V11.25C
SOAPBOX: Nice contest to build my cw skills and resume contesting.
QSO:  7010 CW 2015-11-28 0051 NZ3O          599 05   GM3X          599 14
QSO:  7003 CW 2015-11-28 0052 NZ3O          599 05   CO6RD         599 08
QSO:  7021 CW 2015-11-28 0053 NZ3O          599 05   S57AL         599 15
QSO:  7019 CW 2015-11-28 0055 NZ3O          599 05   HA8FM         599 15
QSO:  7025 CW 2015-11-28 0058 NZ3O          599 05   IR2C          599 15
QSO:  7028 CW 2015-11-28 0058 NZ3O          599 05   EF8U          599 33
QSO:  7060 CW 2015-11-28 0059 NZ3O          599 05   CR2X          599 14
QSO:  7054 CW 2015-11-28 0100 NZ3O          599 05   P40L          599 9
QSO:  7048 CW 2015-11-28 0101 NZ3O          599 05   V47T          599 8
QSO:  7002 CW 2015-11-28 0103 NZ3O          599 05   ED5O          599 14
QSO:  7010 CW 2015-11-28 0107 NZ3O          599 05   PA0RRS        599 14
QSO:  7006 CW 2015-11-28 0109 NZ3O          599 05   EA5RS         599 14
QSO:  7007 CW 2015-11-28 0110 NZ3O          599 05   TM6M          599 14
QSO:  7015 CW 2015-11-28 0111 NZ3O          599 05   LZ1EV         599 20
QSO:  7029 CW 2015-11-28 0112 NZ3O          599 05   IR4M          599 15
QSO:  7064 CW 2015-11-28 0113 NZ3O          599 05   UX4UQ         599 16
QSO:  7034 CW 2015-11-28 0116 NZ3O          599 05   HA3NU         599 15
QSO:  7016 CW 2015-11-28 0116 NZ3O          599 05   9A5X          599 15
QSO:  7021 CW 2015-11-28 0119 NZ3O          599 05   OL3Z          599 15
QSO:  7026 CW 2015-11-28 0120 NZ3O          599 05   ED8X          599 33
QSO:  7049 CW 2015-11-28 0122 NZ3O          599 05   CN2R          599 33
QSO:  7068 CW 2015-11-28 0123 NZ3O          599 05   DK8ZB         599 14
QSO:  7050 CW 2015-11-28 0303 NZ3O          599 05   PJ4A          599 9
QSO:  7036 CW 2015-11-28 0304 NZ3O          599 05   OM7M          599 15
QSO:  7005 CW 2015-11-28 0307 NZ3O          599 05   RC9O          599 18
QSO:  7004 CW 2015-11-28 0308 NZ3O          599 05   DF0HQ         599 14
QSO: 14022 CW 2015-11-28 0313 NZ3O          599 05   P40L          599 9
QSO: 14025 CW 2015-11-28 0313 NZ3O          599 05   PJ2T          599 9
QSO: 14035 CW 2015-11-28 0314 NZ3O          599 05   ZF2MJ         599 9
QSO: 14050 CW 2015-11-28 0316 NZ3O          599 05   FY5KE         599 9
QSO: 14009 CW 2015-11-28 0319 NZ3O          599 05   K3LR          599 05
QSO: 14014 CW 2015-11-28 0321 NZ3O          599 05   LU1DZ         599 13
QSO: 14022 CW 2015-11-28 0323 NZ3O          599 05   PY1JKR        599 11
QSO: 14035 CW 2015-11-28 0325 NZ3O          599 05   OA85O         599 10
QSO: 14020 CW 2015-11-28 0329 NZ3O          599 05   LU9MDH        599 13
QSO: 14001 CW 2015-11-28 0333 NZ3O          599 05   P40W          599 9
QSO: 14011 CW 2015-11-28 0333 NZ3O          599 05   WE3C          599 05
QSO:  7008 CW 2015-11-28 0346 NZ3O          599 05   TC0A          599 20
QSO:  7004 CW 2015-11-28 0347 NZ3O          599 05   OE3K          599 15
QSO:  7024 CW 2015-11-28 0348 NZ3O          599 05   HG1S          599 15
QSO:  7028 CW 2015-11-28 0348 NZ3O          599 05   S51YI         599 15
QSO:  7034 CW 2015-11-28 0349 NZ3O          599 05   DL2CC         599 14
QSO:  7058 CW 2015-11-28 0350 NZ3O          599 05   ED1R          599 14
QSO:  7051 CW 2015-11-28 0351 NZ3O          599 05   OP7B          599 14
QSO:  7054 CW 2015-11-28 0353 NZ3O          599 05   OM3ZWA        599 15
QSO:  7023 CW 2015-11-28 0355 NZ3O          599 05   G2F           599 13
QSO:  7027 CW 2015-11-28 0355 NZ3O          599 05   RG6G          599 16
QSO:  7030 CW 2015-11-28 0357 NZ3O          599 05   SP3LPG        599 15
QSO:  7019 CW 2015-11-28 0359 NZ3O          599 05   TF3W          599 40
QSO:  7035 CW 2015-11-28 0400 NZ3O          599 05   Z60WW         599 15
QSO:  7001 CW 2015-11-28 0605 NZ3O          599 05   OL1M          599 15
QSO:  7002 CW 2015-11-28 0606 NZ3O          599 05   P40C          599 9
QSO:  7002 CW 2015-11-28 0607 NZ3O          599 05   ED5O          599 14
QSO:  7006 CW 2015-11-28 0608 NZ3O          599 05   P40W          599 9
QSO:  7019 CW 2015-11-28 0609 NZ3O          599 05   YR8I          599 20
QSO:  7034 CW 2015-11-28 0612 NZ3O          599 05   EF8R          599 33
QSO:  7055 CW 2015-11-28 0614 NZ3O          599 05   EA8/YP9W      599 33
QSO:  7001 CW 2015-11-28 0616 NZ3O          599 05   S53A          599 15
QSO:  7010 CW 2015-11-28 0617 NZ3O          599 05   RM2U          599 16
QSO:  7011 CW 2015-11-28 0618 NZ3O          599 05   SP9W          599 15
QSO:  7012 CW 2015-11-28 0620 NZ3O          599 05   PW2D          599 11
QSO:  7034 CW 2015-11-28 0621 NZ3O          599 05   KP2M          599 8
QSO:  7057 CW 2015-11-28 0622 NZ3O          599 05   ZD8W          599 36
QSO:  7064 CW 2015-11-28 0623 NZ3O          599 05   SW9AA         599 20
QSO:  7081 CW 2015-11-28 0623 NZ3O          599 05   S57Q          599 15
QSO:  7090 CW 2015-11-28 0625 NZ3O          599 05   T46A          599 8
QSO:  7071 CW 2015-11-28 0625 NZ3O          599 05   HI3K          599 8
QSO:  7053 CW 2015-11-28 0626 NZ3O          599 05   G5U           599 14
QSO:  7056 CW 2015-11-28 0628 NZ3O          599 05   UX0KR         599 16
QSO:  7015 CW 2015-11-28 0631 NZ3O          599 05   HB9CA         599 14
QSO:  7018 CW 2015-11-28 0631 NZ3O          599 05   SN8B          599 15
QSO:  7015 CW 2015-11-28 0632 NZ3O          599 05   G4R           599 14
QSO:  7014 CW 2015-11-28 0634 NZ3O          599 05   D4C           599 35
QSO:  7024 CW 2015-11-28 0645 NZ3O          599 05   LY6A          599 15
QSO:  7024 CW 2015-11-28 0647 NZ3O          599 05   TM1A          599 14
QSO:  7042 CW 2015-11-28 0648 NZ3O          599 05   K9CT          599 4
QSO:  7069 CW 2015-11-28 0700 NZ3O          599 05   F5VKT         599 14
QSO:  7069 CW 2015-11-28 0701 NZ3O          599 05   VE3RZ         599 4
QSO:  7067 CW 2015-11-28 0703 NZ3O          599 05   LY7A          599 15
QSO:  7066 CW 2015-11-28 0705 NZ3O          599 05   9A2L          599 15
QSO:  7065 CW 2015-11-28 0706 NZ3O          599 05   R9FM          599 17
QSO:  7065 CW 2015-11-28 0708 NZ3O          599 05   EA1CS         599 14
QSO:  7064 CW 2015-11-28 0709 NZ3O          599 05   9A4WY         599 15
QSO:  7064 CW 2015-11-28 0711 NZ3O          599 05   Z3ZGC         599 15
QSO:  7063 CW 2015-11-28 0718 NZ3O          599 05   EA6VQ         599 14
QSO:  7063 CW 2015-11-28 0719 NZ3O          599 05   OU1W          599 14
QSO:  7062 CW 2015-11-28 0721 NZ3O          599 05   LY2W          599 15
QSO:  7059 CW 2015-11-28 0723 NZ3O          599 05   TO4GU         599 8
QSO:  7059 CW 2015-11-28 0727 NZ3O          599 05   TO4GU         599 8
QSO:  7057 CW 2015-11-28 0728 NZ3O          599 05   PA4O          599 14
QSO:  7041 CW 2015-11-28 0728 NZ3O          599 05   TM7D          599 14
QSO:  7037 CW 2015-11-28 0729 NZ3O          599 05   EA3DU         599 14
QSO:  7016 CW 2015-11-28 0731 NZ3O          599 05   PA5KT         599 14
QSO:  7015 CW 2015-11-28 0737 NZ3O          599 05   YL3FT         599 15
QSO:  7014 CW 2015-11-28 0739 NZ3O          599 05   ZA/YT7DQ      599 15
QSO:  7020 CW 2015-11-28 0744 NZ3O          599 05   SN3A          599 15
QSO:  7022 CW 2015-11-28 0744 NZ3O          599 05   TO8M          599 8
QSO:  7035 CW 2015-11-28 0745 NZ3O          599 05   TI5W          599 7
QSO:  7034 CW 2015-11-28 0747 NZ3O          599 05   4O3A          599 15
QSO:  7023 CW 2015-11-28 0750 NZ3O          599 05   ZB2X          599 14
