START-OF-LOG: 3.0
CALLSIGN: SP2SA
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 428571
NAME: Leszek
LOCATION: DX
OPERATORS: SP2SA
CLUB: SP DX CLUB
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5325.0
SOAPBOX: Than you for a fun. See you next year!
QSO: 21000 CW 2015-11-28 0855 SP2SA         599 15     P33W          599 20
QSO: 21001 CW 2015-11-28 0855 SP2SA         599 15     RM4I          599 16
QSO: 21003 CW 2015-11-28 0857 SP2SA         599 15     EF5R          599 14
QSO: 21015 CW 2015-11-28 0939 SP2SA         599 15     RN1ON         599 16
QSO: 21022 CW 2015-11-28 0943 SP2SA         599 15     TM6M          599 14
QSO: 21023 CW 2015-11-28 0943 SP2SA         599 15     EA7PP         599 14
QSO: 21024 CW 2015-11-28 0944 SP2SA         599 15     EB1TR         599 14
QSO: 21027 CW 2015-11-28 0945 SP2SA         599 15     TC0A          599 20
QSO: 21030 CW 2015-11-28 0948 SP2SA         599 15     CR3L          599 33
QSO: 21031 CW 2015-11-28 0948 SP2SA         599 15     EA5RS         599 14
QSO: 21033 CW 2015-11-28 0950 SP2SA         599 15     PY2NY         599 11
QSO: 21037 CW 2015-11-28 0957 SP2SA         599 15     UT1IM         599 16
QSO: 21040 CW 2015-11-28 1003 SP2SA         599 15     S50K          599 15
QSO: 21042 CW 2015-11-28 1004 SP2SA         599 15     RA9V          599 18
QSO: 21042 CW 2015-11-28 1005 SP2SA         599 15     G3U           599 14
QSO: 21049 CW 2015-11-28 1008 SP2SA         599 15     RM9RZ         599 17
QSO: 21051 CW 2015-11-28 1008 SP2SA         599 15     RW9USA        599 18
QSO: 21054 CW 2015-11-28 1012 SP2SA         599 15     ED1R          599 14
QSO: 21056 CW 2015-11-28 1012 SP2SA         599 15     ED5O          599 14
QSO: 21057 CW 2015-11-28 1013 SP2SA         599 15     TM6X          599 14
QSO: 21058 CW 2015-11-28 1013 SP2SA         599 15     EF2A          599 14
QSO: 21061 CW 2015-11-28 1014 SP2SA         599 15     LT1F          599 13
QSO: 21061 CW 2015-11-28 1016 SP2SA         599 15     RL9AA         599 17
QSO: 21062 CW 2015-11-28 1016 SP2SA         599 15     G4FKA         599 14
QSO: 21067 CW 2015-11-28 1018 SP2SA         599 15     UA3R          599 16
QSO: 21073 CW 2015-11-28 1019 SP2SA         599 15     UK9AA         599 17
QSO: 21084 CW 2015-11-28 1020 SP2SA         599 15     HS0ZIA        599 26
QSO: 21090 CW 2015-11-28 1022 SP2SA         599 15     IK8UND        599 15
