START-OF-LOG: 3.0
LOCATION: DX
CONTEST: CQ-WW-CW
CALLSIGN: JH1MTR/4
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-MODE: CW
CATEGORY-POWER: LOW
CATEGORY-STATION: PORTABLE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CLAIMED-SCORE: 201498
OPERATORS:
CLUB:
CREATED-BY: CTESTWIN by JI1AQY
NAME: Susumu Tanaka
SOAPBOX: Only call side operation,but much enjoyed.My vertical don't catch AF stations.
QSO: 21000 CW 2015-11-28 0211 JH1MTR/4      599 25     BD7DX         599 24 0
QSO: 21000 CW 2015-11-28 0215 JH1MTR/4      599 25     HS0ZIA        599 26 0
QSO: 21000 CW 2015-11-28 0218 JH1MTR/4      599 25     NH2DX         599 27 0
QSO: 21000 CW 2015-11-28 0219 JH1MTR/4      599 25     KH6LC         599 31 0
QSO: 21000 CW 2015-11-28 0219 JH1MTR/4      599 25     BV1EL         599 24 0
QSO: 21000 CW 2015-11-28 0220 JH1MTR/4      599 25     RW9USA        599 18 0
QSO: 21000 CW 2015-11-28 0222 JH1MTR/4      599 25     9M6NA         599 28 0
QSO: 21000 CW 2015-11-28 0224 JH1MTR/4      599 25     VK6LW         599 29 0
QSO: 21000 CW 2015-11-28 0224 JH1MTR/4      599 25     HS0ZAR        599 26 0
QSO: 21000 CW 2015-11-28 0225 JH1MTR/4      599 25     RT0C          599 19 0
QSO: 21000 CW 2015-11-28 0226 JH1MTR/4      599 25     UB0A          599 18 0
QSO: 21000 CW 2015-11-28 0227 JH1MTR/4      599 25     YE1K          599 28 0
QSO: 21000 CW 2015-11-28 0228 JH1MTR/4      599 25     AH0K          599 27 0
QSO: 21000 CW 2015-11-28 0229 JH1MTR/4      599 25     BD7OB         599 24 0
QSO: 21000 CW 2015-11-28 0231 JH1MTR/4      599 25     VR2VIY        599 24 0
QSO: 21000 CW 2015-11-28 0232 JH1MTR/4      599 25     RL9O          599 18 0
QSO: 21000 CW 2015-11-28 0233 JH1MTR/4      599 25     BA3MM         599 24 0
QSO: 21000 CW 2015-11-28 0234 JH1MTR/4      599 25     BI7OEZ        599 24 0
