START-OF-LOG: 3.0
CALLSIGN: M3JAC
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 39550
NAME: William Sefton
LOCATION: DX
OPERATORS: G7PVZ
CLUB: BRACKNELL AMATEUR RADIO CLUB
CERTIFICATE: NO
CREATED-BY: SD by EI5DI
SOAPBOX: Yaesu FT-450D and a Hustler Verical. All hand keyed.
QSO: 21003 CW 2015-11-28 1303 M3JAC         599 14     LY2W          599 15
QSO: 21006 CW 2015-11-28 1310 M3JAC         599 14     YO5LD         599 20
QSO: 21007 CW 2015-11-28 1311 M3JAC         599 14     VE3JM         599 04
QSO: 21009 CW 2015-11-28 1314 M3JAC         599 14     WA1Z          599 05
QSO: 21018 CW 2015-11-28 1327 M3JAC         599 14     N1UR          599 05
QSO: 21020 CW 2015-11-28 1328 M3JAC         599 14     UT7E          599 16
QSO: 21024 CW 2015-11-28 1333 M3JAC         599 14     VE3EJ         599 04
QSO: 21030 CW 2015-11-28 1338 M3JAC         599 14     YL2SM         599 15
QSO: 21030 CW 2015-11-28 1340 M3JAC         599 14     UT1IM         599 16
QSO: 21043 CW 2015-11-28 1400 M3JAC         599 14     HG7T          599 15
QSO: 21044 CW 2015-11-28 1413 M3JAC         599 14     9A5Y          599 15
QSO: 21050 CW 2015-11-28 1419 M3JAC         599 14     WE9V          599 04
QSO: 21062 CW 2015-11-28 1424 M3JAC         599 14     E7DX          599 15
QSO: 21063 CW 2015-11-28 1425 M3JAC         599 14     VA2EW         599 05
QSO: 14000 CW 2015-11-28 1707 M3JAC         599 14     YT5A          599 15
QSO: 14002 CW 2015-11-28 1710 M3JAC         599 14     ZA1WW         599 15
QSO: 14005 CW 2015-11-28 1742 M3JAC         599 14     K3WW          599 05
QSO: 14006 CW 2015-11-28 1745 M3JAC         599 14     K0ZR          599 05
QSO: 14006 CW 2015-11-28 1745 M3JAC         599 14     UA6CC         599 16
QSO: 7001  CW 2015-11-28 1802 M3JAC         599 14     SE0X          599 14
QSO: 7003  CW 2015-11-28 1804 M3JAC         599 14     DF0HQ         599 14
QSO: 7004  CW 2015-11-28 1806 M3JAC         599 14     UA9CTT        599 17
QSO: 7007  CW 2015-11-28 1811 M3JAC         599 14     YQ6A          599 20
QSO: 7007  CW 2015-11-28 1811 M3JAC         599 14     SA4A          599 14
QSO: 7008  CW 2015-11-28 1812 M3JAC         599 14     MZ5A          599 14
QSO: 7009  CW 2015-11-28 1814 M3JAC         599 14     SN6O          599 15
QSO: 7010  CW 2015-11-28 1815 M3JAC         599 14     9A5X          599 15
QSO: 7010  CW 2015-11-28 1818 M3JAC         599 14     RD3AT         599 16
QSO: 7014  CW 2015-11-28 1826 M3JAC         599 14     S52AW         599 15
QSO: 7015  CW 2015-11-28 1829 M3JAC         599 14     S57K          599 15
QSO: 7015  CW 2015-11-28 1830 M3JAC         599 14     UA3R          599 16
QSO: 7015  CW 2015-11-28 1832 M3JAC         599 14     OH5Z          599 15
QSO: 7016  CW 2015-11-28 2014 M3JAC         599 14     TC0A          599 20
QSO: 7019  CW 2015-11-28 2018 M3JAC         599 14     YT65A         599 15
QSO: 7022  CW 2015-11-28 2019 M3JAC         599 14     OM0M          599 15
QSO: 7023  CW 2015-11-28 2020 M3JAC         599 14     YT5A          599 15
QSO: 7024  CW 2015-11-28 2027 M3JAC         599 14     ED9U          599 33
QSO: 7029  CW 2015-11-28 2030 M3JAC         599 14     G3P           599 14
QSO: 7032  CW 2015-11-28 2032 M3JAC         599 14     CR3L          599 33
QSO: 7035  CW 2015-11-28 2043 M3JAC         599 14     P3F           599 20
QSO: 7036  CW 2015-11-28 2044 M3JAC         599 14     CN2A          599 33
QSO: 7044  CW 2015-11-28 2048 M3JAC         599 14     UT4ZG         599 16
QSO: 7001  CW 2015-11-28 2119 M3JAC         599 14     SN8N          599 15
QSO: 7001  CW 2015-11-28 2120 M3JAC         599 14     K0DQ          599 05
QSO: 7002  CW 2015-11-28 2122 M3JAC         599 14     K1ZR          599 05
QSO: 7003  CW 2015-11-28 2123 M3JAC         599 14     K1KP          599 05
QSO: 7004  CW 2015-11-28 2124 M3JAC         599 14     LZ1EV         599 20
QSO: 7004  CW 2015-11-28 2125 M3JAC         599 14     ZA/YT7DQ      599 15
QSO: 7006  CW 2015-11-28 2143 M3JAC         599 14     N5DX          599 05
QSO: 7006  CW 2015-11-28 2147 M3JAC         599 14     N1UR          599 05
QSO: 7007  CW 2015-11-28 2148 M3JAC         599 14     W3LPL         599 05
QSO: 7009  CW 2015-11-28 2150 M3JAC         599 14     NR4M          599 05
QSO: 7016  CW 2015-11-28 2155 M3JAC         599 14     W3LL          599 05
QSO: 7017  CW 2015-11-28 2156 M3JAC         599 14     K3LR          599 05
QSO: 7017  CW 2015-11-28 2222 M3JAC         599 14     S56X          599 15
QSO: 7017  CW 2015-11-28 2223 M3JAC         599 14     UP2L          599 17
QSO: 7018  CW 2015-11-28 2224 M3JAC         599 14     S53F          599 15
