START-OF-LOG: 3.0
LOCATION: IN
CALLSIGN: W9VW
CLUB:
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-POWER: HIGH
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 788139
OPERATORS:  W9VW K9SG K9XV K9LZJ
SOAPBOX: This was the first multi-single trial for W9VW contest and DX
SOAPBOX: remotely operated station station  INDX K9SG was in Arizona, K9XV was
SOAPBOX: in Florida, and K9LZJ was 15 miles from the station operating in his
SOAPBOX: Indiana home.  We are using Remoterigs, K3s, and an SPE 2kFA amplifier
SOAPBOX: which worked very well.
NAME: Hank
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5264.0
QSO: 21009 CW 2015-11-28 0018 W9VW          599 4      JH3AIU        599 25     0
QSO: 21011 CW 2015-11-28 0019 W9VW          599 4      VK2IM         599 30     0
QSO: 14001 CW 2015-11-28 0024 W9VW          599 4      P40W          599 09     0
QSO: 14003 CW 2015-11-28 0026 W9VW          599 4      ZW5D          599 11     0
QSO: 14005 CW 2015-11-28 0027 W9VW          599 4      PY4XX         599 11     0
QSO: 14007 CW 2015-11-28 0028 W9VW          599 4      VE6JY         599 04     0
QSO: 14018 CW 2015-11-28 0030 W9VW          599 4      L33M          599 13     0
QSO: 14021 CW 2015-11-28 0031 W9VW          599 4      PP1CZ         599 11     0
QSO: 14023 CW 2015-11-28 0032 W9VW          599 4      PJ2T          599 09     0
QSO: 14026 CW 2015-11-28 0036 W9VW          599 4      3G3O          599 12     0
QSO: 14028 CW 2015-11-28 0036 W9VW          599 4      NP2P          599 08     0
QSO: 14029 CW 2015-11-28 0037 W9VW          599 4      PY4HO         599 11     0
QSO: 14032 CW 2015-11-28 0037 W9VW          599 4      LP1H          599 13     0
QSO: 14033 CW 2015-11-28 0038 W9VW          599 4      HK1R          599 09     0
QSO: 14034 CW 2015-11-28 0039 W9VW          599 4      KP2Q          599 08     0
QSO: 14035 CW 2015-11-28 0040 W9VW          599 4      VP2EAQ        599 08     0
QSO: 14033 CW 2015-11-28 0041 W9VW          599 4      CX4AT         599 13     0
QSO: 14037 CW 2015-11-28 0042 W9VW          599 4      CE2MVF        599 12     0
QSO: 14041 CW 2015-11-28 0043 W9VW          599 4      PZ5W          599 09     0
QSO: 14044 CW 2015-11-28 0044 W9VW          599 4      P40L          599 09     0
QSO: 14045 CW 2015-11-28 0044 W9VW          599 4      NP3A          599 08     0
QSO: 14047 CW 2015-11-28 0045 W9VW          599 4      V26K          599 08     0
QSO: 14047 CW 2015-11-28 0045 W9VW          599 4      HI3K          599 08     0
QSO: 14050 CW 2015-11-28 0047 W9VW          599 4      TO8M          599 08     0
QSO: 14050 CW 2015-11-28 0048 W9VW          599 4      CE3CT         599 12     0
QSO: 14050 CW 2015-11-28 0048 W9VW          599 4      FY5KE         599 09     0
QSO: 14051 CW 2015-11-28 0049 W9VW          599 4      ZD8W          599 36     0
QSO: 14054 CW 2015-11-28 0049 W9VW          599 4      VP2VVV        599 08     0
QSO: 14058 CW 2015-11-28 0050 W9VW          599 4      DP1POL        599 38     0
QSO: 14060 CW 2015-11-28 0051 W9VW          599 4      HR2J          599 07     0
QSO: 14061 CW 2015-11-28 0051 W9VW          599 4      V31WI         599 07     0
QSO: 14065 CW 2015-11-28 0053 W9VW          599 4      PS2T          599 11     0
QSO: 14063 CW 2015-11-28 0054 W9VW          599 4      C92ZO         599 37     0
QSO: 14053 CW 2015-11-28 0055 W9VW          599 4      D4C           599 35     0
QSO: 14052 CW 2015-11-28 0055 W9VW          599 4      CR3L          599 33     0
QSO: 14049 CW 2015-11-28 0057 W9VW          599 4      JA8RWU        599 25     0
QSO: 14048 CW 2015-11-28 0058 W9VW          599 4      JA3YBK        599 25     0
QSO:  7003 CW 2015-11-28 0102 W9VW          599 4      DF0HQ         599 14     0
QSO:  7004 CW 2015-11-28 0103 W9VW          599 4      OE3K          599 15     0
QSO:  7006 CW 2015-11-28 0104 W9VW          599 4      EA5RS         599 14     0
QSO:  7007 CW 2015-11-28 0105 W9VW          599 4      TM6M          599 14     0
QSO:  7008 CW 2015-11-28 0106 W9VW          599 4      OL5T          599 15     0
QSO:  7012 CW 2015-11-28 0111 W9VW          599 4      YT0A          599 15     0
QSO:  7011 CW 2015-11-28 0112 W9VW          599 4      SN7Q          599 15     0
QSO:  7015 CW 2015-11-28 0115 W9VW          599 4      LZ1EV         599 20     0
QSO:  7016 CW 2015-11-28 0115 W9VW          599 4      9A5X          599 15     0
QSO:  7017 CW 2015-11-28 0117 W9VW          599 4      OK5W          599 15     0
QSO:  7017 CW 2015-11-28 0118 W9VW          599 4      DK0WRTC       599 14     0
QSO:  7020 CW 2015-11-28 0123 W9VW          599 4      DF3CB         599 14     0
QSO:  7019 CW 2015-11-28 0123 W9VW          599 4      HA8FM         599 15     0
QSO:  7021 CW 2015-11-28 0124 W9VW          599 4      S57AL         599 15     0
QSO:  7025 CW 2015-11-28 0127 W9VW          599 4      IR2C          599 15     0
QSO:  7025 CW 2015-11-28 0128 W9VW          599 4      YT1HA         599 15     0
QSO:  7026 CW 2015-11-28 0129 W9VW          599 4      ED8X          599 33     0
QSO:  7027 CW 2015-11-28 0130 W9VW          599 4      HA7RY         599 15     0
QSO:  7028 CW 2015-11-28 0131 W9VW          599 4      YT9A          599 15     0
QSO:  7028 CW 2015-11-28 0131 W9VW          599 4      OL4A          599 15     0
QSO:  7028 CW 2015-11-28 0132 W9VW          599 4      9A1P          599 15     0
QSO:  7029 CW 2015-11-28 0132 W9VW          599 4      IR4M          599 15     0
QSO:  7029 CW 2015-11-28 0133 W9VW          599 4      OM2VL         599 15     0
QSO:  7030 CW 2015-11-28 0133 W9VW          599 4      OK2D          599 15     0
QSO:  7032 CW 2015-11-28 0134 W9VW          599 4      II9P          599 15     0
QSO:  7031 CW 2015-11-28 0135 W9VW          599 4      LZ9W          599 20     0
QSO:  7033 CW 2015-11-28 0135 W9VW          599 4      S50C          599 15     0
QSO:  7033 CW 2015-11-28 0136 W9VW          599 4      ES9C          599 15     0
QSO:  7034 CW 2015-11-28 0139 W9VW          599 4      HA3NU         599 15     0
QSO:  7034 CW 2015-11-28 0139 W9VW          599 4      DL2CC         599 14     0
QSO:  7035 CW 2015-11-28 0140 W9VW          599 4      Z60WW         599 15     0
QSO:  7036 CW 2015-11-28 0141 W9VW          599 4      OM7M          599 15     0
QSO:  7036 CW 2015-11-28 0142 W9VW          599 4      OK1DWC        599 15     0
QSO:  7037 CW 2015-11-28 0143 W9VW          599 4      DJ5WW         599 14     0
QSO:  7037 CW 2015-11-28 0143 W9VW          599 4      VC7O          599 03     0
QSO:  7038 CW 2015-11-28 0144 W9VW          599 4      S51YI         599 15     0
QSO:  7039 CW 2015-11-28 0145 W9VW          599 4      OM0M          599 15     0
QSO:  7039 CW 2015-11-28 0145 W9VW          599 4      S53A          599 15     0
QSO:  7041 CW 2015-11-28 0147 W9VW          599 4      ED1R          599 14     0
QSO:  7043 CW 2015-11-28 0149 W9VW          599 4      S58M          599 15     0
QSO:  7045 CW 2015-11-28 0151 W9VW          599 4      C4W           599 20     0
QSO:  7041 CW 2015-11-28 0227 W9VW          599 4      VP5CW         599 08     0
QSO:  7044 CW 2015-11-28 0228 W9VW          599 4      SO9Q          599 15     0
QSO:  7051 CW 2015-11-28 0231 W9VW          599 4      S52W          599 15     0
QSO:  7051 CW 2015-11-28 0231 W9VW          599 4      UA2F          599 15     0
QSO:  7052 CW 2015-11-28 0231 W9VW          599 4      OZ1AA         599 14     0
QSO:  7056 CW 2015-11-28 0233 W9VW          599 4      TC0A          599 20     0
