START-OF-LOG: 3.0
CALLSIGN: DM9KT
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 9718
NAME: Tino Klapproth
LOCATION: DX
OPERATORS: DM9KT
CLUB: DARC
CERTIFICATE: NO
CREATED-BY: Win-Test 4.18.0
SOAPBOX: wkd with Yaesu FT-817nd 5 Watts and G5RV abt 7m Heigh.
QSO: 21030 CW 2015-11-28 0932 DM9KT         599 14     R7AB          599 16     0
QSO: 21024 CW 2015-11-28 1004 DM9KT         599 14     EB1TR         599 14     0
QSO: 14065 CW 2015-11-28 1256 DM9KT         599 14     EW2W          599 16     0
QSO: 14064 CW 2015-11-28 1257 DM9KT         599 14     W1EQ          599 05     0
QSO: 14064 CW 2015-11-28 1259 DM9KT         599 14     UA7K          599 16     0
QSO: 14062 CW 2015-11-28 1305 DM9KT         599 14     LA2AB         599 14     0
QSO: 14061 CW 2015-11-28 1308 DM9KT         599 14     AA2A          599 05     0
QSO: 21019 CW 2015-11-28 1311 DM9KT         599 14     N4AF          599 05     0
QSO: 21063 CW 2015-11-28 1319 DM9KT         599 14     7Z1SJ         599 21     0
QSO: 14039 CW 2015-11-28 1327 DM9KT         599 14     LY2W          599 15     0
QSO: 14060 CW 2015-11-28 1329 DM9KT         599 14     SK3W          599 14     0
QSO: 14062 CW 2015-11-28 1330 DM9KT         599 14     MW5R          599 14     0
QSO: 14099 CW 2015-11-28 1334 DM9KT         599 14     EU1DX         599 16     0
QSO: 14019 CW 2015-11-28 1337 DM9KT         599 14     OH5Z          599 15     0
QSO: 14019 CW 2015-11-28 1337 DM9KT         599 14     LY4L          599 15     0
QSO: 21020 CW 2015-11-28 1345 DM9KT         599 14     UT7E          599 16     0
QSO: 14022 CW 2015-11-28 1429 DM9KT         599 14     RA1AL         599 16     0
QSO: 14023 CW 2015-11-28 1431 DM9KT         599 14     P3F           599 20     0
QSO: 14027 CW 2015-11-28 1433 DM9KT         599 14     UT7E          599 16     0
QSO: 14037 CW 2015-11-28 1527 DM9KT         599 14     OG7A          599 15     0
QSO:  7000 CW 2015-11-28 1529 DM9KT         599 14     S53A          599 15     0
QSO:  7004 CW 2015-11-28 1533 DM9KT         599 14     SP7N          599 15     0
QSO:  7006 CW 2015-11-28 1535 DM9KT         599 14     HA8TP         599 15     0
QSO:  7008 CW 2015-11-28 1536 DM9KT         599 14     HG5D          599 15     0
