START-OF-LOG: 3.0
CALLSIGN: N2RJ
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 22932
NAME: Ria Jairam
LOCATION: NNJ
OPERATORS: N2RJ
CLUB: Frankford Radio Club
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5325.0
SOAPBOX: Good test, wish I could do full time. Next time!
QSO:  7003 CW 2015-11-29 0013 N2RJ          599 5      OL5T          599 15
QSO:  7003 CW 2015-11-29 0017 N2RJ          599 5      IR4X          599 15
QSO:  7002 CW 2015-11-29 0022 N2RJ          599 5      RT4F          599 16
QSO:  7005 CW 2015-11-29 0024 N2RJ          599 5      P40C          599 09
QSO:  7005 CW 2015-11-29 0025 N2RJ          599 5      EA2EA         599 14
QSO:  7008 CW 2015-11-29 0025 N2RJ          599 5      P33W          599 20
QSO:  7008 CW 2015-11-29 0026 N2RJ          599 5      K1TO          599 05
QSO:  7009 CW 2015-11-29 0034 N2RJ          599 5      S52AW         599 15
QSO:  7010 CW 2015-11-29 0113 N2RJ          599 5      9A5X          599 15
QSO:  7010 CW 2015-11-29 0116 N2RJ          599 5      OM0M          599 15
QSO:  7012 CW 2015-11-29 0124 N2RJ          599 5      EW1M          599 16
QSO:  7013 CW 2015-11-29 0130 N2RJ          599 5      LX7I          599 14
QSO:  7013 CW 2015-11-29 0142 N2RJ          599 5      OM3RRC        599 15
QSO:  7013 CW 2015-11-29 0149 N2RJ          599 5      YT5A          599 15
QSO:  7014 CW 2015-11-29 0152 N2RJ          599 5      SN6O          599 15
QSO:  7015 CW 2015-11-29 0153 N2RJ          599 5      S51YI         599 15
QSO:  7016 CW 2015-11-29 0201 N2RJ          599 5      LY2J          599 15
QSO:  7016 CW 2015-11-29 0201 N2RJ          599 5      OM2VL         599 15
QSO:  7016 CW 2015-11-29 0203 N2RJ          599 5      YT1HA         599 15
QSO:  7016 CW 2015-11-29 0205 N2RJ          599 5      OM7M          599 15
QSO:  7018 CW 2015-11-29 0211 N2RJ          599 5      YT6HA         599 15
QSO:  7019 CW 2015-11-29 0249 N2RJ          599 5      YT0A          599 15
QSO:  7021 CW 2015-11-29 0250 N2RJ          599 5      DL1A          599 14
QSO:  7021 CW 2015-11-29 0251 N2RJ          599 5      UR7QC         599 16
QSO:  7022 CW 2015-11-29 0252 N2RJ          599 5      SN8B          599 15
QSO:  7023 CW 2015-11-29 0253 N2RJ          599 5      GW5R          599 14
