START-OF-LOG: 3.0
CALLSIGN: NC6K
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 334776
NAME: Eric Gruff
LOCATION: SDG
OPERATORS: NC6K
CLUB: SOUTHERN CALIFORNIA CONTEST CLUB
CERTIFICATE: YES
CREATED-BY: Contest LogChecker v3.9 [www.contestlogchecker.com]
SOAPBOX: The contest started out with many poor operators (North
SOAPBOX: America) - stations were calling DX on top of the exchanges
SOAPBOX: and not listening to partial call requests. It go so bad at
SOAPBOX: one point that I almost quit, but then everyone settled
SOAPBOX: down and it was a lot of fun. I worked several new entities
SOAPBOX: and many new band-entities. I managed to operate for almost
SOAPBOX: 15 hours, so that's the good news. My only antenna (250'
SOAPBOX: long Inv V) didn't want to load up on 15 M, so operated
SOAPBOX: with an SWR of over 5
SOAPBOX: didn't go up in flames, so that's another bonus. I sure
SOAPBOX: need to get my tower up and get some real antennas
SOAPBOX: installed. I might actually do it this winter!
QSO: 14000 CW 2015-11-28 0106 NC6K          599 3      PR2F          599 11
QSO: 14063 CW 2015-11-28 0111 NC6K          599 3      LU3CW         599 13
QSO: 14050 CW 2015-11-28 0113 NC6K          599 3      CE3CT         599 12
QSO: 14049 CW 2015-11-28 0114 NC6K          599 3      JA8RWU        599 25
QSO: 14048 CW 2015-11-28 0115 NC6K          599 3      JA3YBK        599 25
QSO: 14040 CW 2015-11-28 0116 NC6K          599 3      LU8YE         599 13
QSO: 14033 CW 2015-11-28 0117 NC6K          599 3      HK1R          599 09
QSO: 14029 CW 2015-11-28 0118 NC6K          599 3      RT0F          599 19
QSO: 14021 CW 2015-11-28 0120 NC6K          599 3      AL9A          599 01
QSO: 21002 CW 2015-11-28 0122 NC6K          599 3      JE1ZWT        599 25
QSO: 21003 CW 2015-11-28 0123 NC6K          599 3      JA6WFM        599 25
QSO: 21013 CW 2015-11-28 0125 NC6K          599 3      JH3AIU        599 25
QSO: 21042 CW 2015-11-28 0129 NC6K          599 3      JJ0JML        599 25
QSO: 21046 CW 2015-11-28 0130 NC6K          599 3      JA5FDJ        599 25
QSO: 21049 CW 2015-11-28 0131 NC6K          599 3      JR2IOB        599 25
QSO: 21045 CW 2015-11-28 0134 NC6K          599 3      JE5JHZ        599 25
QSO: 21041 CW 2015-11-28 0135 NC6K          599 3      JA0QNJ        599 25
QSO: 21039 CW 2015-11-28 0135 NC6K          599 3      KH7M          599 31
QSO: 21034 CW 2015-11-28 0137 NC6K          599 3      JE2PCY        599 25
QSO: 21029 CW 2015-11-28 0138 NC6K          599 3      JS3CTQ        599 25
QSO: 14003 CW 2015-11-28 0140 NC6K          599 3      ZW5B          599 11
QSO: 14006 CW 2015-11-28 0140 NC6K          599 3      YT5A          599 15
QSO: 14012 CW 2015-11-28 0143 NC6K          599 3      RW0A          599 18
QSO: 14018 CW 2015-11-28 0145 NC6K          599 3      L33M          599 13
QSO: 14028 CW 2015-11-28 0147 NC6K          599 3      JA7FTR        599 25
QSO: 14034 CW 2015-11-28 0149 NC6K          599 3      LT1F          599 13
QSO: 14035 CW 2015-11-28 0150 NC6K          599 3      LU9MDH        599 13
QSO: 14056 CW 2015-11-28 0154 NC6K          599 3      JA7ZFN        599 25
QSO:  7026 CW 2015-11-28 0437 NC6K          599 3      EA7PP         599 14
QSO:  7006 CW 2015-11-28 0440 NC6K          599 3      EA5RS         599 14
QSO:  7007 CW 2015-11-28 0441 NC6K          599 3      CR3L          599 33
QSO:  7010 CW 2015-11-28 0443 NC6K          599 3      EI7M          599 14
QSO:  7025 CW 2015-11-28 0449 NC6K          599 3      HG1S          599 15
QSO:  7034 CW 2015-11-28 0451 NC6K          599 3      KH6J          599 31
QSO:  7037 CW 2015-11-28 0452 NC6K          599 3      EA3DU         599 14
QSO:  7037 CW 2015-11-28 0453 NC6K          599 3      DJ5MW         599 14
QSO:  7038 CW 2015-11-28 0454 NC6K          599 3      KP4EJ         599 08
QSO:  7042 CW 2015-11-28 0457 NC6K          599 3      PZ5W          599 09
QSO:  7042 CW 2015-11-28 0459 NC6K          599 3      VP2VVV        599 08
QSO:  7047 CW 2015-11-28 0500 NC6K          599 3      PJ4Q          599 09
QSO:  7056 CW 2015-11-28 0502 NC6K          599 3      KH7M          599 31
QSO:  7059 CW 2015-11-28 0503 NC6K          599 3      S53A          599 15
QSO:  7095 CW 2015-11-28 0506 NC6K          599 3      YW4D          599 09
QSO:  7091 CW 2015-11-28 0507 NC6K          599 3      KP2Q          599 08
QSO:  7088 CW 2015-11-28 0509 NC6K          599 3      TO4GU         599 08
QSO:  7087 CW 2015-11-28 0509 NC6K          599 3      DL1REM        599 14
QSO:  7086 CW 2015-11-28 0510 NC6K          599 3      VE3RZ         599 04
QSO:  7062 CW 2015-11-28 0517 NC6K          599 3      RO2E          599 16
