START-OF-LOG: 3.0
CREATED-BY: TR4W v.4.40.0
CALLSIGN: RV6LCI
CONTEST: CQ-WW-CW
CLAIMED-SCORE: 8769
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: LOW
CATEGORY-TRANSMITTER: ONE
LOCATION: DX
CLUB: RUSSIAN CW CLUB
NAME: Pavel Krivorotov
SOAPBOX: IC-718 -100 WATTS. ANT: Inverted-V 80-40-20-10 m 13m high.
QSO:  7039 CW 2015-11-28 0329 RV6LCI        599 16     K1KP          599 5
QSO:  7047 CW 2015-11-28 0332 RV6LCI        599 16     NP4A          599 8
QSO:  7050 CW 2015-11-28 0333 RV6LCI        599 16     PJ4A          599 9
QSO:  7054 CW 2015-11-28 0335 RV6LCI        599 16     P40L          599 9
QSO:  7021 CW 2015-11-28 0344 RV6LCI        599 16     P3F           599 20
QSO:  7053 CW 2015-11-28 0350 RV6LCI        599 16     D4C           599 35
QSO:  7049 CW 2015-11-28 0351 RV6LCI        599 16     ED9U          599 33
QSO:  7028 CW 2015-11-28 0353 RV6LCI        599 16     EF8U          599 33
QSO: 14045 CW 2015-11-28 0900 RV6LCI        599 16     EA8CUU        599 33
QSO: 14056 CW 2015-11-28 0902 RV6LCI        599 16     RW0A          599 18
QSO: 14003 CW 2015-11-28 0902 RV6LCI        599 16     JA1BPA        599 25
QSO: 14046 CW 2015-11-28 0904 RV6LCI        599 16     RT0C          599 19
QSO: 14053 CW 2015-11-28 0905 RV6LCI        599 16     M6T           599 14
QSO: 14052 CW 2015-11-28 0905 RV6LCI        599 16     DJ5MO         599 14
QSO: 14052 CW 2015-11-28 0906 RV6LCI        599 16     OM7RU         599 15
QSO: 14050 CW 2015-11-28 0907 RV6LCI        599 16     UY4W          599 16
QSO: 14050 CW 2015-11-28 0907 RV6LCI        599 16     YT7W          599 15
QSO: 14049 CW 2015-11-28 0909 RV6LCI        599 16     FY5KE         599 9
QSO: 14048 CW 2015-11-28 0910 RV6LCI        599 16     EU6AF         599 16
QSO: 14048 CW 2015-11-28 0911 RV6LCI        599 16     SJ2W          599 14
QSO: 14047 CW 2015-11-28 0912 RV6LCI        599 16     SP1C          599 15
QSO: 14047 CW 2015-11-28 0912 RV6LCI        599 16     LZ9W          599 20
QSO: 14047 CW 2015-11-28 0913 RV6LCI        599 16     S50B          599 15
QSO: 14034 CW 2015-11-28 0920 RV6LCI        599 16     BY5CD         599 24
QSO: 14015 CW 2015-11-28 0922 RV6LCI        599 16     OL3Z          599 15
QSO: 14028 CW 2015-11-28 0922 RV6LCI        599 16     HG1A          599 15
QSO: 14007 CW 2015-11-28 0923 RV6LCI        599 16     LY4T          599 15
QSO: 14000 CW 2015-11-28 0925 RV6LCI        599 16     TC0A          599 20
QSO: 14088 CW 2015-11-28 0926 RV6LCI        599 16     JY9FC         599 20
QSO: 14087 CW 2015-11-28 0926 RV6LCI        599 16     RK9A          599 17
QSO: 14061 CW 2015-11-28 0929 RV6LCI        599 16     OH1F          599 15
QSO: 14059 CW 2015-11-28 0929 RV6LCI        599 16     4X2M          599 20
QSO: 14040 CW 2015-11-28 0930 RV6LCI        599 16     EI1Y          599 14
QSO: 14066 CW 2015-11-28 0930 RV6LCI        599 16     RM1T          599 16
QSO: 14048 CW 2015-11-28 0931 RV6LCI        599 16     OZ7A          599 14
QSO: 21025 CW 2015-11-28 1257 RV6LCI        599 16     PJ2T          599 9
QSO: 21043 CW 2015-11-28 1258 RV6LCI        599 16     5H3EE         599 37
QSO: 21069 CW 2015-11-28 1301 RV6LCI        599 16     V47T          599 8
QSO: 21065 CW 2015-11-28 1302 RV6LCI        599 16     V26K          599 8
QSO: 21059 CW 2015-11-29 0526 RV6LCI        599 16     T2XX          599 31
QSO: 28004 CW 2015-11-29 0703 RV6LCI        599 16     JS3CTQ        599 25
QSO: 28003 CW 2015-11-29 0704 RV6LCI        599 16     BY5CD         599 24
QSO: 28040 CW 2015-11-29 0709 RV6LCI        599 16     AH0K          599 27
QSO: 21030 CW 2015-11-29 0715 RV6LCI        599 16     9M2YAA        599 28
QSO: 21010 CW 2015-11-29 0717 RV6LCI        599 16     ZT6T          599 38
QSO: 21089 CW 2015-11-29 0725 RV6LCI        599 16     OK1TN         599 15
QSO: 21089 CW 2015-11-29 0728 RV6LCI        599 16     OK2HBY        599 15
QSO: 28066 CW 2015-11-29 0933 RV6LCI        599 16     3V8SS         599 33
QSO: 28007 CW 2015-11-29 0935 RV6LCI        599 16     M2L           599 14
QSO: 21057 CW 2015-11-29 0949 RV6LCI        599 16     TK0C          599 15
QSO: 21085 CW 2015-11-29 0950 RV6LCI        599 16     9H6A          599 15
QSO: 21114 CW 2015-11-29 0951 RV6LCI        599 16     PY1KS         599 11
END-OF-LOG:
