START-OF-LOG: 3.0
CALLSIGN: S51DX
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: 40M
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 47088
NAME: Janez Celarc
LOCATION: DX
OPERATORS: S51DX
CLUB: Vrhnika contesters
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5325.0
SOAPBOX: Using primitive vertical antennas and 200W as HP station!
QSO:  3535 CW 2015-11-28 0514 S51DX         599 15     RD8D          599 17
QSO:  3535 CW 2015-11-28 0515 S51DX         599 15     LY3B          599 15
QSO:  3535 CW 2015-11-28 0515 S51DX         599 15     IK0VVE        599 15
QSO:  3535 CW 2015-11-28 0515 S51DX         599 15     UT4LW         599 16
QSO:  3535 CW 2015-11-28 0516 S51DX         599 15     SP5XO         599 15
QSO:  3535 CW 2015-11-28 0517 S51DX         599 15     RV3FF         599 16
QSO:  3535 CW 2015-11-28 0518 S51DX         599 15     UR7CB         599 16
QSO:  3535 CW 2015-11-28 0518 S51DX         599 15     DL1ASA        599 14
QSO:  3535 CW 2015-11-28 0519 S51DX         599 15     ON4KNP        599 14
QSO:  3535 CW 2015-11-28 0520 S51DX         599 15     UX8IA         599 16
QSO:  3535 CW 2015-11-28 0521 S51DX         599 15     UT7E          599 16
QSO:  3543 CW 2015-11-28 0524 S51DX         599 15     LZ5R          599 20
QSO:  3543 CW 2015-11-28 0525 S51DX         599 15     LZ1MS         599 20
QSO:  3543 CW 2015-11-28 0525 S51DX         599 15     LZ1FJ         599 20
QSO:  3543 CW 2015-11-28 0526 S51DX         599 15     UA7K          599 16
QSO:  7016 CW 2015-11-28 0528 S51DX         599 15     K3LR          599 05
QSO:  7016 CW 2015-11-28 0529 S51DX         599 15     P33W          599 20
QSO:  7016 CW 2015-11-28 0530 S51DX         599 15     EF8R          599 33
QSO:  7016 CW 2015-11-28 0530 S51DX         599 15     W3LPL         599 05
QSO:  7016 CW 2015-11-28 0531 S51DX         599 15     UA1CUR        599 16
QSO:  7016 CW 2015-11-28 0532 S51DX         599 15     MM3N          599 14
QSO:  7016 CW 2015-11-28 0533 S51DX         599 15     EU6DX         599 16
QSO:  7016 CW 2015-11-28 0533 S51DX         599 15     K3PH          599 05
QSO:  7017 CW 2015-11-28 0536 S51DX         599 15     RA3TT         599 16
QSO:  7017 CW 2015-11-28 0538 S51DX         599 15     G3V           599 14
QSO:  7017 CW 2015-11-28 0539 S51DX         599 15     EA5DCL        599 14
QSO:  7017 CW 2015-11-28 0540 S51DX         599 15     LZ9R          599 20
QSO:  7017 CW 2015-11-28 0540 S51DX         599 15     W2FU          599 05
QSO:  7017 CW 2015-11-28 0541 S51DX         599 15     K9CT          599 04
QSO:  7017 CW 2015-11-28 0543 S51DX         599 15     LY5I          599 15
QSO:  7017 CW 2015-11-28 0545 S51DX         599 15     W8KTQ         599 04
QSO:  7013 CW 2015-11-28 0557 S51DX         599 15     UT8IM         599 16
QSO:  7013 CW 2015-11-28 0557 S51DX         599 15     UT2AU         599 16
QSO:  7013 CW 2015-11-28 0557 S51DX         599 15     LZ2CC         599 20
QSO:  7013 CW 2015-11-28 0557 S51DX         599 15     YO9CWY        599 20
QSO:  7013 CW 2015-11-28 0558 S51DX         599 15     4L8A          599 21
QSO:  7013 CW 2015-11-28 0559 S51DX         599 15     N2UU          599 05
QSO:  7013 CW 2015-11-28 0600 S51DX         599 15     ED2C          599 14
QSO:  7013 CW 2015-11-28 0600 S51DX         599 15     YO5LD         599 20
QSO:  7013 CW 2015-11-28 0601 S51DX         599 15     RA3WDK        599 16
QSO:  7013 CW 2015-11-28 0601 S51DX         599 15     UX0KR         599 16
QSO:  7013 CW 2015-11-28 0602 S51DX         599 15     LY2W          599 15
QSO:  7013 CW 2015-11-28 0602 S51DX         599 15     W3YY          599 05
QSO:  7013 CW 2015-11-28 0602 S51DX         599 15     W3GQ          599 05
QSO:  7013 CW 2015-11-28 0604 S51DX         599 15     LZ3RM         599 20
QSO:  7013 CW 2015-11-28 0604 S51DX         599 15     UA3QPA        599 16
QSO:  7013 CW 2015-11-28 0605 S51DX         599 15     RL3F          599 16
QSO:  7013 CW 2015-11-28 0606 S51DX         599 15     F9CI          599 14
QSO:  7013 CW 2015-11-28 0606 S51DX         599 15     KA1IS         599 05
QSO:  7013 CW 2015-11-28 0606 S51DX         599 15     HG1G          599 15
QSO:  7013 CW 2015-11-28 0607 S51DX         599 15     K3EW          599 05
QSO:  7013 CW 2015-11-28 0607 S51DX         599 15     EU1AZ         599 16
QSO:  7013 CW 2015-11-28 0608 S51DX         599 15     UY7LM         599 16
QSO: 14008 CW 2015-11-28 0611 S51DX         599 15     RT9J          599 17
QSO: 14011 CW 2015-11-28 0612 S51DX         599 15     R7AO          599 16
QSO: 14012 CW 2015-11-28 0613 S51DX         599 15     R7CA          599 16
QSO: 14013 CW 2015-11-28 0613 S51DX         599 15     4X2M          599 20
QSO: 14019 CW 2015-11-28 0615 S51DX         599 15     UP9L          599 17
QSO: 14020 CW 2015-11-28 0616 S51DX         599 15     RT0F          599 19
QSO: 14026 CW 2015-11-28 0618 S51DX         599 15     R3ZV          599 16
QSO: 14037 CW 2015-11-28 0619 S51DX         599 15     RM3F          599 16
QSO: 14042 CW 2015-11-28 0619 S51DX         599 15     UT7E          599 16
QSO: 14051 CW 2015-11-28 0621 S51DX         599 15     RT9S          599 16
QSO:  7019 CW 2015-11-28 0739 S51DX         599 15     UR5KO         599 16
QSO:  7019 CW 2015-11-28 0740 S51DX         599 15     EU8F          599 16
QSO:  7019 CW 2015-11-28 0740 S51DX         599 15     SQ7LQJ        599 15
QSO:  7019 CW 2015-11-28 0740 S51DX         599 15     PI4CC         599 14
QSO:  7019 CW 2015-11-28 0740 S51DX         599 15     UX1AA         599 16
QSO:  7019 CW 2015-11-28 0741 S51DX         599 15     DM2M          599 14
QSO:  7019 CW 2015-11-28 0742 S51DX         599 15     OE1CIW        599 15
QSO:  7019 CW 2015-11-28 0742 S51DX         599 15     YO7CVL        599 20
QSO:  7019 CW 2015-11-28 0742 S51DX         599 15     UR5LAM        599 16
QSO:  7019 CW 2015-11-28 0742 S51DX         599 15     ON3ND         599 14
QSO:  7019 CW 2015-11-28 0743 S51DX         599 15     UX4UA         599 16
QSO:  7019 CW 2015-11-28 0743 S51DX         599 15     DL1OJ         599 14
QSO:  7019 CW 2015-11-28 0744 S51DX         599 15     OM5UM         599 15
QSO:  7019 CW 2015-11-28 0745 S51DX         599 15     IK2WXQ        599 15
