START-OF-LOG: 3.0
CALLSIGN: G0LHZ
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 0
NAME: JIM CARTER
LOCATION: DX
OPERATORS: G0LHZ
CLUB: READING AND DISTRICT ARC
CERTIFICATE: YES
CREATED-BY: ADIF2CABR V.3.10 (C) SP7DQR
SOAPBOX: Great fun despite storm damage to my higher band antenna!
QSO:  3550 CW 2015-11-28 2040 G0LHZ         599 14         LX7I          599 14
QSO:  3532 CW 2015-11-28 2040 G0LHZ         599 14         LY5R          599 15
QSO:  3527 CW 2015-11-28 2044 G0LHZ         599 14         OL5Y          599 15
QSO:  3509 CW 2015-11-28 2046 G0LHZ         599 14         CS2C          599 14
QSO:  3536 CW 2015-11-28 2049 G0LHZ         599 14         9A8M          599 15
QSO:  3534 CW 2015-11-28 2051 G0LHZ         599 14         PA6Y          599 14
QSO:  3539 CW 2015-11-28 2052 G0LHZ         599 14         LZ8E          599 20
QSO:  3534 CW 2015-11-28 2055 G0LHZ         599 14         DL3KWF        599 14
QSO:  3508 CW 2015-11-28 2059 G0LHZ         599 14         S56M          599 15
QSO:  3513 CW 2015-11-28 2101 G0LHZ         599 14         HG6N          599 15
QSO:  3514 CW 2015-11-28 2102 G0LHZ         599 14         S57Z          599 15
QSO:  3515 CW 2015-11-28 2103 G0LHZ         599 14         EA2EA         599 14
QSO:  3516 CW 2015-11-28 2105 G0LHZ         599 14         DD1A          599 14
QSO:  3522 CW 2015-11-28 2110 G0LHZ         599 14         S52GP         599 15
QSO:  3526 CW 2015-11-28 2111 G0LHZ         599 14         GW9J          599 14
QSO:  3528 CW 2015-11-28 2114 G0LHZ         599 14         EA7PP         599 14
QSO:  3528 CW 2015-11-28 2116 G0LHZ         599 14         SP2ACC        599 15
QSO:  3529 CW 2015-11-28 2117 G0LHZ         599 14         9A1A          599 15
QSO:  3530 CW 2015-11-28 2119 G0LHZ         599 14         IK2CIO        599 15
QSO:  3532 CW 2015-11-28 2121 G0LHZ         599 14         ON5WL         599 14
QSO:  3533 CW 2015-11-28 2122 G0LHZ         599 14         YT5A          599 15
QSO:  3535 CW 2015-11-28 2124 G0LHZ         599 14         DL8WEM        599 14
QSO:  3536 CW 2015-11-28 2125 G0LHZ         599 14         ON4IA         599 14
QSO:  3537 CW 2015-11-28 2126 G0LHZ         599 14         YU1UN         599 15
QSO:  3525 CW 2015-11-28 2130 G0LHZ         599 14         YR5N          599 20
QSO: 28005 CW 2015-11-29 1635 G0LHZ         599 14         N8II          599 5
QSO: 28012 CW 2015-11-29 1637 G0LHZ         599 14         P40L          599 9
QSO: 28043 CW 2015-11-29 1643 G0LHZ         599 14         L33M          599 13
QSO: 28009 CW 2015-11-29 1645 G0LHZ         599 14         W4CB          599 5
QSO: 28011 CW 2015-11-29 1647 G0LHZ         599 14         PW2D          599 11
QSO: 21006 CW 2015-11-29 1656 G0LHZ         599 14         N2MF          599 5
QSO: 21007 CW 2015-11-29 1658 G0LHZ         599 14         K1ZR          599 5
QSO: 21007 CW 2015-11-29 1659 G0LHZ         599 14         NY3A          599 5
QSO: 21014 CW 2015-11-29 1703 G0LHZ         599 14         VE9AA         599 5
QSO: 21018 CW 2015-11-29 1705 G0LHZ         599 14         LW3DG         599 13
QSO: 21019 CW 2015-11-29 1707 G0LHZ         599 14         KP2M          599 8
QSO: 21023 CW 2015-11-29 1709 G0LHZ         599 14         EF8U          599 33
QSO: 21025 CW 2015-11-29 1710 G0LHZ         599 14         CR3L          599 33
QSO: 21041 CW 2015-11-29 1713 G0LHZ         599 14         N4C           599 5
QSO: 21066 CW 2015-11-29 1720 G0LHZ         599 14         EF8R          599 33
QSO: 21027 CW 2015-11-29 1724 G0LHZ         599 14         G2NF          599 14
QSO: 14048 CW 2015-11-29 1740 G0LHZ         599 14         CR3L          599 33
QSO: 14031 CW 2015-11-29 1743 G0LHZ         599 14         EA8CUU        599 33
QSO:  7000 CW 2015-11-29 1745 G0LHZ         599 14         S58A          599 15
QSO:  7001 CW 2015-11-29 1747 G0LHZ         599 14         OL5T          599 15
QSO:  7002 CW 2015-11-29 1748 G0LHZ         599 14         S56X          599 15
QSO:  7005 CW 2015-11-29 1749 G0LHZ         599 14         RO2E          599 16
QSO:  7006 CW 2015-11-29 1750 G0LHZ         599 14         OM7JG         599 15
QSO:  7007 CW 2015-11-29 1751 G0LHZ         599 14         YU7U          599 15
QSO:  7009 CW 2015-11-29 1752 G0LHZ         599 14         S53F          599 15
QSO:  7010 CW 2015-11-29 1753 G0LHZ         599 14         9A5X          599 15
QSO:  7012 CW 2015-11-29 1755 G0LHZ         599 14         R4RR          599 16
QSO:  7016 CW 2015-11-29 1756 G0LHZ         599 14         SN6O          599 15
QSO:  7020 CW 2015-11-29 1757 G0LHZ         599 14         SO7M          599 15
QSO:  7025 CW 2015-11-29 1758 G0LHZ         599 14         S52W          599 15
QSO:  7026 CW 2015-11-29 1800 G0LHZ         599 14         HG5D          599 15
QSO:  7027 CW 2015-11-29 1802 G0LHZ         599 14         ES9C          599 15
QSO:  7030 CW 2015-11-29 1803 G0LHZ         599 14         DL5YM         599 14
QSO:  7033 CW 2015-11-29 1806 G0LHZ         599 14         SB3W          599 14
QSO:  7035 CW 2015-11-29 1808 G0LHZ         599 14         HA3DX         599 15
QSO:  7036 CW 2015-11-29 1809 G0LHZ         599 14         OL4A          599 15
QSO:  7039 CW 2015-11-29 1810 G0LHZ         599 14         HG7T          599 15
QSO:  7039 CW 2015-11-29 1811 G0LHZ         599 14         LY5R          599 15
QSO:  7040 CW 2015-11-29 1812 G0LHZ         599 14         UA4M          599 16
QSO:  7008 CW 2015-11-29 1941 G0LHZ         599 14         SN8N          599 15
QSO:  7011 CW 2015-11-29 1945 G0LHZ         599 14         R7TW          599 16
QSO:  7013 CW 2015-11-29 1946 G0LHZ         599 14         LY7A          599 15
QSO:  7013 CW 2015-11-29 1956 G0LHZ         599 14         HG5C          599 15
QSO:  7015 CW 2015-11-29 1958 G0LHZ         599 14         OM2VL         599 15
QSO:  7073 CW 2015-11-29 2002 G0LHZ         599 14         W1GD          599 5
QSO:  7049 CW 2015-11-29 2002 G0LHZ         599 14         YT0A          599 15
QSO:  7011 CW 2015-11-29 2008 G0LHZ         599 14         LZ7A          599 20
QSO:  7002 CW 2015-11-29 2012 G0LHZ         599 14         K0DQ          599 5
QSO:  7005 CW 2015-11-29 2015 G0LHZ         599 14         EN9U          599 33
QSO:  7082 CW 2015-11-29 2017 G0LHZ         599 14         ZB2X          599 14
QSO:  7058 CW 2015-11-29 2020 G0LHZ         599 14         EF8R          599 33
QSO:  7013 CW 2015-11-29 2025 G0LHZ         599 14         YT5A          599 15
QSO:  7033 CW 2015-11-29 2030 G0LHZ         599 14         W2CG          599 5
QSO:  7036 CW 2015-11-29 2032 G0LHZ         599 14         Z60WW         599 15
QSO:  7047 CW 2015-11-29 2034 G0LHZ         599 14         YT65A         599 15
QSO:  7058 CW 2015-11-29 2037 G0LHZ         599 14         RM3F          599 16
QSO:  7031 CW 2015-11-29 2047 G0LHZ         599 14         UP2L          599 17
QSO:  7022 CW 2015-11-29 2050 G0LHZ         599 14         W3LPL         599 5
QSO:  7021 CW 2015-11-29 2051 G0LHZ         599 14         EF8U          599 33
QSO:  7023 CW 2015-11-29 2055 G0LHZ         599 14         LZ1EV         599 20
QSO:  7027 CW 2015-11-29 2056 G0LHZ         599 14         K1DG          599 5
QSO: 14023 CW 2015-11-29 2101 G0LHZ         599 14         D4C           599 35
QSO:  3548 CW 2015-11-29 2102 G0LHZ         599 14         S53EO         599 15
QSO:  3554 CW 2015-11-29 2106 G0LHZ         599 14         ED1R          599 14
QSO:  3501 CW 2015-11-29 2110 G0LHZ         599 14         IH9R          599 33
