START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: IARU-HF
CALLSIGN: PA3HLE
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: PA3HLE
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for IARU-HF ARRL/iaru_hf_world_championship/2021.
QSO: 14175 PH 2021-07-11 1005 PA3HLE        59 27 N5DX          59 08
QSO: 14217 PH 2021-07-11 1009 PA3HLE        59 27 UA8J          59 21
QSO: 14212 PH 2021-07-11 1010 PA3HLE        59 27 RW9DX         59 30
QSO: 14202 PH 2021-07-11 1013 PA3HLE        59 27 UN1HQ         59 KFRR
QSO: 14215 PH 2021-07-11 1018 PA3HLE        59 27 UA9BA         59 30
QSO: 14318 PH 2021-07-11 1018 PA3HLE        59 27 LY0HQ         59 LRMD
QSO: 14256 PH 2021-07-11 1020 PA3HLE        59 27 EM5HQ         59 UARL
QSO: 14220 PH 2021-07-11 1022 PA3HLE        59 27 9A0HQ         59 HRS
QSO: 14322 PH 2021-07-11 1023 PA3HLE        59 27 OL1HQ         59 CRC
QSO: 14218 PH 2021-07-11 1025 PA3HLE        59 27 RW9DX         59 30
QSO: 14285 PH 2021-07-11 1026 PA3HLE        59 27 DA0HQ         59 DARC
QSO: 14158 PH 2021-07-11 1027 PA3HLE        59 27 OH6RE         59 18
QSO: 14331 PH 2021-07-11 1027 PA3HLE        59 27 RC7KY         59 29
QSO: 14205 PH 2021-07-11 1030 PA3HLE        59 27 OH1TD         59 18
QSO: 14188 PH 2021-07-11 1031 PA3HLE        59 27 OH6LI         59 18
QSO: 14179 PH 2021-07-11 1032 PA3HLE        59 27 HG0HQ         59 MRASZ
QSO: 14243 PH 2021-07-11 1033 PA3HLE        59 27 E7HQ          59 ARABH
QSO: 14196 PH 2021-07-11 1034 PA3HLE        59 27 S50HQ         59 ZRS
QSO: 14235 PH 2021-07-11 1035 PA3HLE        59 27 LY4A          59 29
QSO: 14247 PH 2021-07-11 1035 PA3HLE        59 27 SN0HQ         59 PZK
QSO: 14199 PH 2021-07-11 1036 PA3HLE        59 27 R2AA          59 29
QSO: 14000 PH 2021-07-11 1037 PA3HLE        59 27 RK4FAO        59 29
QSO: 14281 PH 2021-07-11 1038 PA3HLE        59 27 UX7MR         59 29
QSO: 14253 PH 2021-07-11 1041 PA3HLE        59 27 IO6HQ         59 ARI
QSO: 14182 PH 2021-07-11 1042 PA3HLE        59 27 R5AJ          59 29
QSO: 14238 PH 2021-07-11 1043 PA3HLE        59 27 YR0HQ         59 FRR
QSO: 14269 PH 2021-07-11 1044 PA3HLE        59 27 UA3KW         59 29
QSO: 14270 PH 2021-07-11 1044 PA3HLE        59 27 SP6VWX        59 28
QSO: 14214 PH 2021-07-11 1045 PA3HLE        59 27 YT0HQ         59 SRS
QSO: 14250 PH 2021-07-11 1045 PA3HLE        59 27 LY5W          59 29
QSO: 14206 PH 2021-07-11 1046 PA3HLE        59 27 IK0PHY        59 28
QSO: 14228 PH 2021-07-11 1047 PA3HLE        59 27 RW0AR         59 32
QSO: 14265 PH 2021-07-11 1048 PA3HLE        59 27 GR2HQ         59 HQ
QSO: 14225 PH 2021-07-11 1050 PA3HLE        59 27 UA4M          59 29
QSO: 14149 PH 2021-07-11 1053 PA3HLE        59 27 IZ1OSP        59 28
QSO: 14217 PH 2021-07-11 1055 PA3HLE        59 27 IU4CSS        59 28
QSO: 14000 PH 2021-07-11 1058 PA3HLE        59 27 TC3HQ         59 TRAC
QSO: 14313 PH 2021-07-11 1059 PA3HLE        59 27 IU1NKS        59 28
QSO: 14235 PH 2021-07-11 1104 PA3HLE        59 27 UW5Y          59 29
QSO: 14267 PH 2021-07-11 1104 PA3HLE        59 27 R8IZ          59 31
QSO: 14000 PH 2021-07-11 1107 PA3HLE        59 27 YL4HQ         59 LRAL
QSO: 14242 PH 2021-07-11 1110 PA3HLE        59 27 RM9A          59 30
QSO: 14000 PH 2021-07-11 1115 PA3HLE        59 27 EO50FF        59 29
QSO: 14154 PH 2021-07-11 1115 PA3HLE        59 27 UA9MA         59 30
QSO: 14200 PH 2021-07-11 1116 PA3HLE        59 27 SK9HQ         59 SSA
QSO: 14309 PH 2021-07-11 1117 PA3HLE        59 27 RT4G          59 29
QSO: 14250 PH 2021-07-11 1119 PA3HLE        59 27 RN3T          59 29
QSO: 14000 PH 2021-07-11 1120 PA3HLE        59 27 OK1LRD        59 28
QSO: 14207 PH 2021-07-11 1120 PA3HLE        59 27 EU1W          59 29
QSO: 14280 PH 2021-07-11 1125 PA3HLE        59 27 OF2HQ         59 SRAL
QSO: 14225 PH 2021-07-11 1126 PA3HLE        59 27 OZ1HQ         59 EDR
QSO: 14000 PH 2021-07-11 1128 PA3HLE        59 27 EW5HQ         59 BFRR
QSO: 14249 PH 2021-07-11 1129 PA3HLE        59 27 RU1A          59 29
QSO: 14294 PH 2021-07-11 1133 PA3HLE        59 27 9A3B          59 28
QSO: 14170 PH 2021-07-11 1134 PA3HLE        59 27 UA4S          59 29
QSO: 14205 PH 2021-07-11 1140 PA3HLE        59 27 M0UGE         59 27
QSO: 14177 PH 2021-07-11 1142 PA3HLE        59 27 RT2C          59 29
QSO: 14144 PH 2021-07-11 1144 PA3HLE        59 27 RM4HZ         59 30
QSO: 14305 PH 2021-07-11 1145 PA3HLE        59 27 UR2Y          59 29
QSO: 14314 PH 2021-07-11 1146 PA3HLE        59 27 S53MM         59 28
QSO: 14190 PH 2021-07-11 1152 PA3HLE        59 27 PD3LPA        59 27
END-OF-LOG:
