START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: IARU-HF
CALLSIGN: JR5XPG
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: JR5XPG
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for IARU-HF ARRL/iaru_hf_world_championship/2021.
QSO: 21000 CW 2021-07-10 1431 JR5XPG        599 45 CX1AA         599 RCU
QSO: 21028 CW 2021-07-10 1432 JR5XPG        599 45 B6HQ          599 CRAC
QSO: 21030 CW 2021-07-10 1433 JR5XPG        599 45 UN1HQ         599 KFRR
QSO: 21004 CW 2021-07-10 1438 JR5XPG        599 45 5Z4VJ         599 48
QSO: 14000 CW 2021-07-10 1445 JR5XPG        599 45 YT0HQ         599 SRS
QSO: 14000 CW 2021-07-10 1446 JR5XPG        599 45 IY3A          599 28
QSO: 14000 CW 2021-07-10 1447 JR5XPG        599 45 E78IW         599 28
QSO: 14002 CW 2021-07-10 1449 JR5XPG        599 45 UW1M          599 29
QSO: 14003 CW 2021-07-10 1450 JR5XPG        599 45 R8IZ          599 31
QSO: 14005 CW 2021-07-10 1452 JR5XPG        599 45 8N3HQ         599 JARL
QSO: 14005 CW 2021-07-10 1456 JR5XPG        599 45 SX0HQ         599 RAAG
QSO: 14006 CW 2021-07-10 1458 JR5XPG        599 45 UA4S          599 29
QSO: 14007 CW 2021-07-10 1511 JR5XPG        599 45 SK9HQ         599 SSA
QSO: 14008 CW 2021-07-10 1514 JR5XPG        599 45 F5PAL         599 27
QSO: 14009 CW 2021-07-10 1516 JR5XPG        599 45 RM9A          599 30
QSO: 14000 CW 2021-07-10 1518 JR5XPG        599 45 EW5HQ         599 BFRR
QSO: 21023 CW 2021-07-10 1522 JR5XPG        599 45 CR3DX         599 36
QSO: 21050 CW 2021-07-10 1523 JR5XPG        599 45 R0HQ          599 SRR
QSO: 14011 CW 2021-07-10 1526 JR5XPG        599 45 LA8OM         599 18
QSO: 14012 CW 2021-07-10 1527 JR5XPG        599 45 S50HQ         599 ZRS
QSO: 14013 CW 2021-07-10 1528 JR5XPG        599 45 YQ6A          599 28
QSO: 14014 CW 2021-07-10 1531 JR5XPG        599 45 RW9DX         599 30
QSO: 14017 CW 2021-07-10 1532 JR5XPG        599 45 HG0HQ         599 MRASZ
QSO: 14018 CW 2021-07-10 1534 JR5XPG        599 45 LA7AK         599 18
QSO: 14019 CW 2021-07-10 1537 JR5XPG        599 45 RT5Z          599 29
QSO: 14021 CW 2021-07-10 1538 JR5XPG        599 45 LZ0HQ         599 BFRA
QSO: 14022 CW 2021-07-10 1539 JR5XPG        599 45 9A0HQ         599 HRS
QSO: 14025 CW 2021-07-10 1543 JR5XPG        599 45 OL1HQ         599 CRC
QSO: 14026 CW 2021-07-10 1544 JR5XPG        599 45 DM7X          599 28
QSO: 14027 CW 2021-07-10 1545 JR5XPG        599 45 ER7HQ         599 ARM
QSO: 14027 CW 2021-07-10 1545 JR5XPG        599 45 UW5Y          599 29
QSO: 14030 CW 2021-07-10 1548 JR5XPG        599 45 TM0HQ         599 REF
QSO: 14000 CW 2021-07-10 1549 JR5XPG        599 45 E7HQ          599 ARABH
QSO: 14032 CW 2021-07-10 1552 JR5XPG        599 45 DA0HQ         599 DARC
QSO: 14033 CW 2021-07-10 1557 JR5XPG        599 45 IO5HQ         599 ARI
QSO: 14034 CW 2021-07-10 1558 JR5XPG        599 45 LY0HQ         599 LRMD
QSO: 14000 CW 2021-07-10 1605 JR5XPG        599 45 Z30HQ         599 RSM
