START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: IARU-HF
CALLSIGN: CT1BOH
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: CT1BOH
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for IARU-HF ARRL/iaru_hf_world_championship/2021.
QSO: 21012 CW 2021-07-10 1200 CT1BOH        599 37 A60HQ         599 EARS
QSO: 21022 CW 2021-07-10 1201 CT1BOH        599 37 CR3DX         599 36
QSO: 14033 CW 2021-07-10 1202 CT1BOH        599 37 CR3DX         599 36
QSO: 21002 CW 2021-07-10 1210 CT1BOH        599 37 4O3A          599 28
QSO: 21004 CW 2021-07-10 1211 CT1BOH        599 37 4X6FR         599 39
QSO: 21005 CW 2021-07-10 1211 CT1BOH        599 37 R2AA          599 29
QSO: 14005 CW 2021-07-10 1213 CT1BOH        599 37 R2AA          599 29
QSO: 21006 CW 2021-07-10 1214 CT1BOH        599 37 W1KM          599 08
QSO: 21014 CW 2021-07-10 1219 CT1BOH        599 37 N4AF          599 8
QSO: 21015 CW 2021-07-10 1219 CT1BOH        599 37 IO9HQ         599 ARI
QSO: 21018 CW 2021-07-10 1220 CT1BOH        599 37 TM0HQ         599 REF
QSO: 21018 CW 2021-07-10 1221 CT1BOH        599 37 TM0HQ         599 REF
QSO: 21020 CW 2021-07-10 1223 CT1BOH        599 37 MW4R          599 27
QSO: 21043 CW 2021-07-10 1421 CT1BOH        599 37 EA8RM         599 36
QSO: 21047 CW 2021-07-10 1423 CT1BOH        599 37 G4IIY         599 27
QSO: 21000 CW 2021-07-10 1424 CT1BOH        599 37 4Z5LY         599 39
QSO: 21056 CW 2021-07-10 1425 CT1BOH        599 37 IF9A          599 28
QSO: 21001 CW 2021-07-10 1432 CT1BOH        599 37 4X1MM         599 39
QSO: 21004 CW 2021-07-10 1433 CT1BOH        599 37 5Z4VJ         599 48
QSO: 21004 CW 2021-07-10 1435 CT1BOH        599 37 OZ1HQ         599 EDR
QSO: 21012 CW 2021-07-10 1438 CT1BOH        599 37 F8DGY         599 27
QSO: 14004 CW 2021-07-10 1703 CT1BOH        599 37 RM9A          599 30
QSO: 14034 CW 2021-07-10 1704 CT1BOH        599 37 R8CT          599 30
QSO: 14026 CW 2021-07-10 1705 CT1BOH        599 37 RG5A          599 29
QSO: 14000 CW 2021-07-10 1710 CT1BOH        599 37 E7HQ          599 ARABH
QSO: 14000 CW 2021-07-10 1710 CT1BOH        599 37 Z30HQ         599 RSM
QSO: 14000 CW 2021-07-10 1711 CT1BOH        599 37 YT0HQ         599 SRS
QSO: 14047 CW 2021-07-10 1711 CT1BOH        599 37 YR0HQ         599 FRR
QSO: 14024 CW 2021-07-11 0032 CT1BOH        599 37 E2A           599 49
QSO: 14028 CW 2021-07-11 0032 CT1BOH        599 37 EA6FO         599 37
QSO: 14009 CW 2021-07-11 0033 CT1BOH        599 37 K0RF          599 07
QSO: 14000 CW 2021-07-11 0034 CT1BOH        599 37 K9NW          599 08
QSO: 14005 CW 2021-07-11 0035 CT1BOH        599 37 KR2Q          599 08
QSO: 14047 CW 2021-07-11 0035 CT1BOH        599 37 N2IC          599 07
QSO: 14016 CW 2021-07-11 0036 CT1BOH        599 37 N5RZ          599 07
QSO: 14000 CW 2021-07-11 0037 CT1BOH        599 37 N6AA          599 06
QSO: 14004 CW 2021-07-11 0037 CT1BOH        599 37 ND7K          599 06
QSO: 14022 CW 2021-07-11 0037 CT1BOH        599 37 N9RV          599 06
QSO: 21012 CW 2021-07-11 0042 CT1BOH        599 37 ZL25NZ        599 60
QSO: 21029 CW 2021-07-11 0044 CT1BOH        599 37 K1KI          599 08
QSO: 21026 CW 2021-07-11 0058 CT1BOH        599 37 NU1AW         599 IARU
QSO: 21022 CW 2021-07-11 0059 CT1BOH        599 37 ND7K          599 06
QSO: 14043 CW 2021-07-11 0106 CT1BOH        599 37 EA8RM         599 36
QSO: 14015 CW 2021-07-11 0108 CT1BOH        599 37 P3X           599 39
QSO: 14058 CW 2021-07-11 0108 CT1BOH        599 37 P44W          599 11
QSO: 14003 CW 2021-07-11 0111 CT1BOH        599 37 VE7KW         599 02
QSO: 21030 CW 2021-07-11 0634 CT1BOH        599 37 OY1CT         599 FRA
QSO: 14023 CW 2021-07-11 0641 CT1BOH        599 37 EM5HQ         599 UARL
QSO: 14005 CW 2021-07-11 0644 CT1BOH        599 37 KO7SS         599 08
QSO: 14042 CW 2021-07-11 0645 CT1BOH        599 37 OF2HQ         599 SRAL
QSO: 14036 CW 2021-07-11 0648 CT1BOH        599 37 RK9AX         599 30
QSO: 14046 CW 2021-07-11 0652 CT1BOH        599 37 UN1HQ         599 KFRR
QSO: 14026 CW 2021-07-11 0654 CT1BOH        599 37 W1AW/KL7      599 ARRL
QSO: 21013 CW 2021-07-11 0720 CT1BOH        599 37 UW1M          599 29
QSO: 21048 CW 2021-07-11 0739 CT1BOH        599 37 OG6N          599 18
QSO: 21050 CW 2021-07-11 0739 CT1BOH        599 37 OF2HQ         599 SRAL
QSO: 28037 CW 2021-07-11 0800 CT1BOH        599 37 EA8RM         599 36
QSO: 28010 CW 2021-07-11 0802 CT1BOH        599 37 RU1A          599 29
QSO: 21021 CW 2021-07-11 0807 CT1BOH        599 37 RK9AX         599 30
QSO: 21007 CW 2021-07-11 0809 CT1BOH        599 37 RU1A          599 29
QSO: 21015 CW 2021-07-11 1006 CT1BOH        599 37 DR7Q          599 28
QSO: 28018 CW 2021-07-11 1051 CT1BOH        599 37 MU2K          599 27
QSO: 28022 CW 2021-07-11 1052 CT1BOH        599 37 LZ5R          599 28
QSO: 28026 CW 2021-07-11 1054 CT1BOH        599 37 EA6FO         599 37
QSO: 21045 CW 2021-07-11 1056 CT1BOH        599 37 EA6FO         599 37
QSO: 28028 CW 2021-07-11 1057 CT1BOH        599 37 IO9HQ         599 ARI
QSO: 28021 CW 2021-07-11 1106 CT1BOH        599 37 4U1GSC        599 28
QSO: 21009 CW 2021-07-11 1109 CT1BOH        599 37 W3UA          599 8
QSO: 21012 CW 2021-07-11 1111 CT1BOH        599 37 KO7SS         599 08
QSO: 21000 CW 2021-07-11 1115 CT1BOH        599 37 K3ZO          599 08
QSO: 21023 CW 2021-07-11 1115 CT1BOH        599 37 K5ZD          599 08
QSO: 21004 CW 2021-07-11 1117 CT1BOH        599 37 K2ZW          599 08
QSO: 21036 CW 2021-07-11 1118 CT1BOH        599 37 N3RS          599 08
QSO: 21042 CW 2021-07-11 1118 CT1BOH        599 37 N3AD          599 08
QSO: 21012 CW 2021-07-11 1120 CT1BOH        599 37 N5DX          599 08
QSO: 21024 CW 2021-07-11 1121 CT1BOH        599 37 NY3A          599 08
QSO: 21051 CW 2021-07-11 1121 CT1BOH        599 37 AA3B          599 08
QSO: 21035 CW 2021-07-11 1123 CT1BOH        599 37 K1ZZ          599 08
QSO: 21037 CW 2021-07-11 1123 CT1BOH        599 37 K1XM          599 08
QSO: 21013 CW 2021-07-11 1124 CT1BOH        599 37 K3WW          599 08
QSO: 21057 CW 2021-07-11 1126 CT1BOH        599 37 RG6G          599 29
QSO: 28011 CW 2021-07-11 1128 CT1BOH        599 37 S57DX         599 28
QSO: 28012 CW 2021-07-11 1129 CT1BOH        599 37 K3JO          599 08
END-OF-LOG:
