START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: IARU-HF
CALLSIGN: LZ1MS
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: LZ1MS
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for IARU-HF ARRL/iaru_hf_world_championship/2021.
QSO: 28010 CW 2021-07-10 1350 LZ1MS         599 28 OP0HQ         599 UBA
QSO: 28022 CW 2021-07-10 1352 LZ1MS         599 28 OF2HQ         599 SRAL
QSO: 28025 CW 2021-07-10 1352 LZ1MS         599 28 LY0HQ         599 LRMD
QSO: 28029 CW 2021-07-10 1353 LZ1MS         599 28 PA5WT         599 27
QSO: 28015 CW 2021-07-10 1354 LZ1MS         599 28 YT0HQ         599 SRS
QSO: 28003 CW 2021-07-10 1355 LZ1MS         599 28 PG2AA         599 27
QSO: 21001 CW 2021-07-10 1356 LZ1MS         599 28 4X1MM         599 39
QSO: 21004 CW 2021-07-10 1357 LZ1MS         599 28 OZ1HQ         599 EDR
QSO: 21018 CW 2021-07-10 1401 LZ1MS         599 28 TM0HQ         599 REF
QSO: 21025 CW 2021-07-10 1404 LZ1MS         599 28 OZ3SM         599 18
QSO: 21000 CW 2021-07-10 1405 LZ1MS         599 28 SN0HQ         599 PZK
QSO: 21029 CW 2021-07-10 1405 LZ1MS         599 28 EA6FO         599 37
QSO: 21029 CW 2021-07-10 1406 LZ1MS         599 28 W0ECC         599 07
QSO: 21029 CW 2021-07-10 1407 LZ1MS         599 28 SK9HQ         599 SSA
QSO: 21009 CW 2021-07-10 1409 LZ1MS         599 28 NA8V          599 8
QSO: 21045 CW 2021-07-10 1411 LZ1MS         599 28 N3OC          599 08
QSO: 21016 CW 2021-07-10 1416 LZ1MS         599 28 N2IC          599 07
QSO: 14006 CW 2021-07-10 1421 LZ1MS         599 28 VU2TMP        599 41
QSO: 14001 CW 2021-07-10 1422 LZ1MS         599 28 JA1BPA        599 45
QSO: 14002 CW 2021-07-10 1423 LZ1MS         599 28 UF5A          599 29
QSO: 14006 CW 2021-07-10 1425 LZ1MS         599 28 BA4WR         599 44
QSO: 14005 CW 2021-07-10 1426 LZ1MS         599 28 R0SBI         599 32
QSO: 14005 CW 2021-07-10 1426 LZ1MS         599 28 RK3ER         599 29
QSO: 14005 CW 2021-07-10 1426 LZ1MS         599 28 RN3YA         599 29
QSO: 14005 CW 2021-07-10 1426 LZ1MS         599 28 RN9RF         599 30
