START-OF-LOG: 2.0
CATEGORY: Portable, single operator, QRP, assisted
CONTEST: FD SSB
CALLSIGN: SQ6ILH/P
LOCATOR:
PROVINCE:
CLAIMED-SCORE: 0
CREATED-BY: Cabrillo_gen v.2.2.0 - (c) SP7DQR, modified by DXHF upload.
QSO:  7000 PH 2023-09-02 1333 SQ6ILH/P      59            1 OK1K/P        59          028
QSO:  7000 PH 2023-09-02 1336 SQ6ILH/P      59            2 DL6A/P        59          025
QSO:  7000 PH 2023-09-02 1339 SQ6ILH/P      59            3 DK0MN/P       59          043
QSO:  7000 PH 2023-09-02 1343 SQ6ILH/P      59            4 DK0B/P        59          052
QSO:  7000 PH 2023-09-02 1353 SQ6ILH/P      59            5 OZ7A/P        59          047
QSO:  7000 PH 2023-09-02 1356 SQ6ILH/P      59            6 DL0TE/P       59          029
QSO:  7000 PH 2023-09-02 1405 SQ6ILH/P      59            7 DK0HR/P       59          057
QSO:  7000 PH 2023-09-02 1410 SQ6ILH/P      59            8 DK0RZ/P       59          055
QSO:  7000 PH 2023-09-02 1417 SQ6ILH/P      59            9 OU7K/P        59          107
QSO:  7000 PH 2023-09-02 1428 SQ6ILH/P      59           10 DL0FD/P       59          109
QSO:  7000 PH 2023-09-02 1430 SQ6ILH/P      59           11 OK1LRD/P      59          070
QSO:  7000 PH 2023-09-02 1439 SQ6ILH/P      59           12 DM5B/P        59          084
QSO:  7000 PH 2023-09-02 1441 SQ6ILH/P      59           13 DL0MZ/P       59          127
QSO:  7000 PH 2023-09-02 1445 SQ6ILH/P      59           14 DF1HC/P       59          031
QSO:  7000 PH 2023-09-02 1454 SQ6ILH/P      59           15 OK1OPT        59          005
QSO: 14000 PH 2023-09-02 1506 SQ6ILH/P      59           16 5B4AMX        59          083
QSO: 14000 PH 2023-09-02 1512 SQ6ILH/P      59           17 UZ2I/P        59          014
QSO: 14000 PH 2023-09-02 1515 SQ6ILH/P      59           18 G6MC/P        59          120
QSO: 14000 PH 2023-09-02 1517 SQ6ILH/P      59           19 G3ULT/P       59          055
QSO: 14000 PH 2023-09-02 1535 SQ6ILH/P      59           20 SX2JMA/P      59          111
QSO:  7000 PH 2023-09-02 1540 SQ6ILH/P      59           21 DM6M/P        59          088
QSO:  7000 PH 2023-09-02 1551 SQ6ILH/P      59           22 DK0BM/P       59          140
QSO:  7000 PH 2023-09-02 1556 SQ6ILH/P      59           23 ON5LL/P       59          178
END-OF-LOG:
