START-OF-LOG: 3.0
CATEGORY: Portable, multi operator, low power, assisted
CONTEST: FD SSB
SPECIFIC: H42
CALLSIGN: DK0AU/P
LOCATION: DX
CLAIMED-SCORE: 79356
CREATED-BY: HAM OFFICE (REL.6.295.5) HTTP://WWW.HAMOFFICE.DE, modified by DXHF upload.
CLUB: DARC H42
OPERATORS: DL8SEE, DL6EB, DL4LB, DL7RDH, DD0WQ, DO1KMR, DD9OZ, DL5OP, DL8OAZ
QSO: 21000 PH 2023-09-02 1303 DK0AU/P       59  001               UN0LM        59  000
QSO: 21000 PH 2023-09-02 1304 DK0AU/P       59  002               5B4AIF       59  000
QSO: 21000 PH 2023-09-02 1307 DK0AU/P       59  003               UN8PT        59  000
QSO: 21000 PH 2023-09-02 1309 DK0AU/P       59  004               VU3NPI       59  000
QSO: 21000 PH 2023-09-02 1312 DK0AU/P       59  005               TA3DE        59  000
QSO: 21000 PH 2023-09-02 1315 DK0AU/P       59  006               UP4L         59  000
QSO: 21000 PH 2023-09-02 1315 DK0AU/P       59  007               RW9USA       59  000
QSO: 21000 PH 2023-09-02 1323 DK0AU/P       59  008               P3C          59  000
QSO: 21000 PH 2023-09-02 1337 DK0AU/P       59  009               DO1RWG       59  001
QSO: 21000 PH 2023-09-02 1343 DK0AU/P       59  010               BD7BM        59  000
QSO: 21000 PH 2023-09-02 1345 DK0AU/P       59  011               SX2IMA/P     59  027
QSO: 21000 PH 2023-09-02 1352 DK0AU/P       59  012               TA4A         59  000
QSO: 21000 PH 2023-09-02 1355 DK0AU/P       59  013               A41DL        59  000
QSO: 14000 PH 2023-09-02 1405 DK0AU/P       59  014               IQ0PG/P      59  063
QSO: 14000 PH 2023-09-02 1408 DK0AU/P       59  015               EI7T/P       59  052
QSO: 14000 PH 2023-09-02 1412 DK0AU/P       59  016               IT9PHU       59  013
QSO: 14000 PH 2023-09-02 1416 DK0AU/P       59  017               IZ0PAU/P     59  106
QSO: 14000 PH 2023-09-02 1419 DK0AU/P       59  018               R3OM         59  081
QSO: 14000 PH 2023-09-02 1421 DK0AU/P       59  019               IQ0TE/P      59  059
QSO: 14000 PH 2023-09-02 1433 DK0AU/P       59  020               OH5B/P       59  067
QSO: 14000 PH 2023-09-02 1435 DK0AU/P       59  021               E77EA        59  099
QSO: 14000 PH 2023-09-02 1441 DK0AU/P       59  022               R6CZ/P       59  061
QSO: 14000 PH 2023-09-02 1445 DK0AU/P       59  023               F6KHS/P      59  000
QSO: 14000 PH 2023-09-02 1455 DK0AU/P       59  024               IW0RQJ       59  000
QSO: 14000 PH 2023-09-02 1500 DK0AU/P       59  025               HB9FTS/P     59  039
QSO: 14000 PH 2023-09-02 1507 DK0AU/P       59  026               A44A         59  000
QSO: 14000 PH 2023-09-02 1508 DK0AU/P       59  027               UN3J         59  000
QSO: 14000 PH 2023-09-02 1511 DK0AU/P       59  028               SV1TBU       59  009
QSO: 14000 PH 2023-09-02 1513 DK0AU/P       59  029               RC2O         59  019
