START-OF-LOG: 3.0
CATEGORY: Portable, multi operator, low power, assisted
CONTEST: FD SSB
SPECIFIC: M13
CALLSIGN: DK0SL/P
CLAIMED-SCORE: 53909
CREATED-BY: UcxLog 8.29, modified by DXHF upload.
OPERATORS: DO7OMB DL5LBQ DO1LKD DB5LAD DL9LBT DL1VST DO5KMR DL3TP DO9EHP DL6JN
CLUB: DARC
GRID-LOCATOR: JO44SN
QSO: 14000 PH 2023-09-02 1341 DK0SL/P       59  001    G3PYE/P       59  047
QSO: 14000 PH 2023-09-02 1344 DK0SL/P       59  002    IQ0PG/P       59  025
QSO: 14000 PH 2023-09-02 1347 DK0SL/P       59  003    IW0HLZ        59  041
QSO: 14000 PH 2023-09-02 1349 DK0SL/P       59  004    M0TSL/P       59  85
QSO: 14000 PH 2023-09-02 1351 DK0SL/P       59  005    G4ARN/P       59  056
QSO: 14000 PH 2023-09-02 1353 DK0SL/P       59  006    EI7T/P        59  040
QSO: 14000 PH 2023-09-02 1354 DK0SL/P       59  007    S59DCD/P      59  081
QSO: 14000 PH 2023-09-02 1359 DK0SL/P       59  008    IZ0PAU/P      59  074
QSO: 14000 PH 2023-09-02 1400 DK0SL/P       59  009    OE4C/P        59  090
QSO: 14000 PH 2023-09-02 1404 DK0SL/P       59  010    S59TIM/P      59  071
QSO: 14000 PH 2023-09-02 1406 DK0SL/P       59  011    IZ1DGG        59  064
QSO: 14000 PH 2023-09-02 1409 DK0SL/P       59  012    IQ0TE/P       59  047
QSO: 14000 PH 2023-09-02 1414 DK0SL/P       59  013    OH/DL2JRM/P   59  066
QSO: 21000 PH 2023-09-02 1428 DK0SL/P       59  014    5B4AMX        59  006
QSO: 21000 PH 2023-09-02 1429 DK0SL/P       59  015    CT7CJG        59  053
QSO: 21000 PH 2023-09-02 1436 DK0SL/P       59  016    SX2IMA/P      59  073
QSO:  7000 PH 2023-09-02 1451 DK0SL/P       59  017    DL0GE/P       59  071
QSO:  7000 PH 2023-09-02 1453 DK0SL/P       59  018    DM5B/P        59  097
QSO:  7000 PH 2023-09-02 1456 DK0SL/P       59  019    M8C/P         59  102
QSO:  7000 PH 2023-09-02 1457 DK0SL/P       59  020    DM3C/P        59  078
QSO:  7000 PH 2023-09-02 1458 DK0SL/P       59  021    DL0LB/P       59  057
QSO:  7000 PH 2023-09-02 1504 DK0SL/P       59  022    PI4VPO/P      59  070
QSO:  7000 PH 2023-09-02 1506 DK0SL/P       59  023    DL0BB/P       59  089
QSO:  7000 PH 2023-09-02 1508 DK0SL/P       59  024    OU7K/P        59  163
QSO:  7000 PH 2023-09-02 1510 DK0SL/P       59  025    ON4RAT/P      59  134
QSO:  7000 PH 2023-09-02 1514 DK0SL/P       59  026    ON5LL/P       59  139
QSO:  7000 PH 2023-09-02 1515 DK0SL/P       59  027    G4ARN/P       59  181
QSO:  7000 PH 2023-09-02 1520 DK0SL/P       59  028    DK0HR/P       59  149
QSO:  7000 PH 2023-09-02 1523 DK0SL/P       59  029    DK0BM/P       59  126
QSO:  7000 PH 2023-09-02 1524 DK0SL/P       59  030    ON5VL/P       59  035
QSO:  7000 PH 2023-09-02 1526 DK0SL/P       59  031    M5Y/P         59  53
QSO:  7000 PH 2023-09-02 1528 DK0SL/P       59  032    HB9NFB/P      59  108
QSO:  7000 PH 2023-09-02 1530 DK0SL/P       59  033    OP6A/P        59  268
QSO:  7000 PH 2023-09-02 1603 DK0SL/P       59  034    OR5R/P        59  278
QSO:  7000 PH 2023-09-02 1606 DK0SL/P       59  035    OT5X/P        59  239
QSO:  7000 PH 2023-09-02 1610 DK0SL/P       59  036    ON5MCL/P      59  60
QSO:  7000 PH 2023-09-02 1613 DK0SL/P       59  037    ON5CPN/P      59  50
QSO:  7000 PH 2023-09-02 1617 DK0SL/P       59  038    M0TSL/P       59  296
QSO:  7000 PH 2023-09-02 1618 DK0SL/P       59  039    ON6UB/P       59  225
QSO:  7000 PH 2023-09-02 1622 DK0SL/P       59  040    G3PY/P        59  195
QSO:  7000 PH 2023-09-02 1623 DK0SL/P       59  041    DK1A/P        59  129
QSO:  7000 PH 2023-09-02 1626 DK0SL/P       59  042    DL7A/P        59  152
QSO:  7000 PH 2023-09-02 1628 DK0SL/P       59  043    HB9HID/M      59  130
QSO:  7000 PH 2023-09-02 1632 DK0SL/P       59  044    OT2L/P        59  108
QSO:  7000 PH 2023-09-02 1707 DK0SL/P       59  045    PA1BK/P       59  147
QSO:  7000 PH 2023-09-02 1711 DK0SL/P       59  046    S52WW         59  324
QSO:  7000 PH 2023-09-02 1715 DK0SL/P       59  047    DL0RD/P       59  062
QSO:  7000 PH 2023-09-02 1718 DK0SL/P       59  048    LX8M/P        59  187
QSO:  7000 PH 2023-09-02 1724 DK0SL/P       59  049    OV1RR         59  037
QSO:  3500 PH 2023-09-02 1741 DK0SL/P       59  050    DL7A/P        59  225
QSO:  3500 PH 2023-09-02 1745 DK0SL/P       59  051    PI4GAZ/P      59  107
QSO:  3500 PH 2023-09-02 1746 DK0SL/P       59  052    DP4L/P        59  096
QSO:  3500 PH 2023-09-02 1747 DK0SL/P       59  053    DL0ZA/P       59  065
QSO:  3500 PH 2023-09-02 1748 DK0SL/P       59  054    DK6VCO        59  061
QSO:  3500 PH 2023-09-02 1748 DK0SL/P       59  055    DL2JX         59  067
QSO:  3500 PH 2023-09-02 1749 DK0SL/P       59  056    DL0SHW/P      59  031
