START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: EUHFC
CALLSIGN: UA1AJ
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: UA1AJ
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for EUHFC EUHFC/2017.
QSO: 14019 CW 2017-08-05 1200 UA1AJ         59 66 UA6LCN        59 73
QSO: 14042 CW 2017-08-05 1204 UA1AJ         599 66 RQ4C          599 84
QSO: 14038 CW 2017-08-05 1205 UA1AJ         599 66 DK2OY         599 67
QSO: 14033 CW 2017-08-05 1206 UA1AJ         599 66 UR1I          599 73
QSO: 14031 CW 2017-08-05 1207 UA1AJ         599 66 RC6U          599 89
QSO: 14027 CW 2017-08-05 1208 UA1AJ         599 66 HG6N          599 72
QSO: 14048 CW 2017-08-05 1209 UA1AJ         599 66 S50A          599 63
QSO: 14039 CW 2017-08-05 1210 UA1AJ         599 66 R2AA          599 83
QSO: 14044 CW 2017-08-05 1210 UA1AJ         599 66 DL1CW         599 79
QSO: 14034 CW 2017-08-05 1211 UA1AJ         599 66 UT0U          599 93
QSO: 14019 CW 2017-08-05 1217 UA1AJ         599 66 S50D          599 71
QSO: 14040 CW 2017-08-05 1219 UA1AJ         599 66 S52ZW         599 80
QSO: 14012 CW 2017-08-05 1229 UA1AJ         599 66 LZ1FY         599 05
QSO: 14036 CW 2017-08-05 1231 UA1AJ         599 66 IQ1RY         599 07
QSO: 14037 CW 2017-08-05 1231 UA1AJ         599 66 OZ2TF         599 84
QSO: 14032 CW 2017-08-05 1233 UA1AJ         599 66 OQ5M          599 99
QSO: 14028 CW 2017-08-05 1234 UA1AJ         599 66 IQ2CJ         599 90
QSO: 14021 CW 2017-08-05 1235 UA1AJ         599 66 UW2M          599 84
QSO: 14024 CW 2017-08-05 1235 UA1AJ         599 66 UF4M          599 84
QSO: 14018 CW 2017-08-05 1236 UA1AJ         599 66 YQ6A          599 74
QSO: 14041 CW 2017-08-05 1244 UA1AJ         599 66 S53R          599 75
QSO: 14035 CW 2017-08-05 1245 UA1AJ         599 66 OR5T          599 82
QSO: 14029 CW 2017-08-05 1246 UA1AJ         599 66 HA8GZ         599 86
QSO: 14026 CW 2017-08-05 1247 UA1AJ         599 66 LZ8E          599 81
QSO: 14009 CW 2017-08-05 1249 UA1AJ         599 66 OP4K          599 82
QSO: 14006 CW 2017-08-05 1250 UA1AJ         599 66 UR7MZ         599 77
QSO: 14058 CW 2017-08-05 1253 UA1AJ         599 78 ON4CT         599 84
QSO: 14021 CW 2017-08-05 1303 UA1AJ         599 66 S59AA         599 50
QSO: 14016 CW 2017-08-05 1316 UA1AJ         599 66 OE8Q          599 89
QSO: 14026 CW 2017-08-05 1316 UA1AJ         599 66 RK4FD         599 79
QSO: 14054 CW 2017-08-05 1317 UA1AJ         599 66 RU6K          599 91
QSO: 14000 CW 2017-08-05 1318 UA1AJ         599 66 IZ5ICH        599 06
QSO: 14049 CW 2017-08-05 1319 UA1AJ         599 66 DL5YM         599 71
QSO: 14059 CW 2017-08-05 1322 UA1AJ         599 66 PA4O          599 99
QSO: 14040 CW 2017-08-05 1323 UA1AJ         599 66 9A5Y          599 85
QSO: 14039 CW 2017-08-05 1324 UA1AJ         599 66 LZ5XQ         599 94
QSO: 14035 CW 2017-08-05 1330 UA1AJ         599 66 R7AW          599 80
QSO: 14052 CW 2017-08-05 1336 UA1AJ         599 66 IT9VDQ        599 75
QSO: 14021 CW 2017-08-05 1337 UA1AJ         599 66 DF0WRTC       599 78
QSO: 14008 CW 2017-08-05 1339 UA1AJ         599 66 S59ABC        599 74
QSO: 14013 CW 2017-08-05 1339 UA1AJ         599 66 RL4F          599 86
QSO: 14045 CW 2017-08-05 1342 UA1AJ         599 66 DL1QQ         599 91
QSO: 14039 CW 2017-08-05 1343 UA1AJ         599 66 RU6AV         599 67
QSO: 14033 CW 2017-08-05 1344 UA1AJ         599 66 PA5TT         599 81
QSO: 14059 CW 2017-08-05 1346 UA1AJ         599 66 LZ4A          599 79
QSO: 14045 CW 2017-08-05 1347 UA1AJ         599 66 DL8QS         599 65
QSO: 14036 CW 2017-08-05 1349 UA1AJ         599 66 SP3DOF        599 68
QSO: 14038 CW 2017-08-05 1354 UA1AJ         599 66 SN7Q          599 72
QSO: 14017 CW 2017-08-05 1356 UA1AJ         599 66 RT3T          599 77
QSO: 14051 CW 2017-08-05 1359 UA1AJ         599 66 UA4S          599 91
QSO: 14042 CW 2017-08-05 1404 UA1AJ         599 66 DR5X          599 80
QSO: 14017 CW 2017-08-05 1406 UA1AJ         599 66 G8D           599 63
QSO: 14022 CW 2017-08-05 1406 UA1AJ         599 66 DL6KVA        599 84
QSO: 14026 CW 2017-08-05 1410 UA1AJ         599 66 RM2T          599 78
QSO: 14034 CW 2017-08-05 1428 UA1AJ         599 66 EC5CR         599 80
QSO: 14033 CW 2017-08-05 1429 UA1AJ         599 66 PA0GJV        599 74
QSO: 14000 CW 2017-08-05 1431 UA1AJ         599 66 YT9M          599 82
QSO: 14046 CW 2017-08-05 1434 UA1AJ         599 66 IK4AUY        599 82
QSO: 14000 CW 2017-08-05 1437 UA1AJ         599 66 R3RT          599 82
QSO: 14053 CW 2017-08-05 1438 UA1AJ         599 66 EA1XT         599 04
QSO: 14063 CW 2017-08-05 1438 UA1AJ         599 66 IZ2GRG        599 94
QSO: 14040 CW 2017-08-05 1441 UA1AJ         599 66 UA4W          599 05
QSO: 14008 CW 2017-08-05 1444 UA1AJ         599 66 RZ3FQ         599 78
QSO: 14047 CW 2017-08-05 1446 UA1AJ         599 66 RW4WA         599 78
QSO: 14000 CW 2017-08-05 1447 UA1AJ         599 66 F5OHM         599 89
QSO: 14059 CW 2017-08-05 1454 UA1AJ         599 66 R3OM          599 72
