START-OF-LOG: 2.0
CATEGORY-LOCATION: DX
CALLSIGN: W1END
CLUB: Yankee Clipper Contest Club
CONTEST: REF-CW
CATEGORY: SINGLE-OP ALL LOW
CLAIMED-SCORE: 8150
OPERATORS: W1END
NAME: Eldon Burkinshaw
CREATED-BY: N1MM Logger V13.9.1
SOAPBOX: Rig was FTdx5000 (100w) and Butternut HF6V all-band vertical.  
QSO: 21026 CW 2014-01-25 1302 W1END         599 0001   TM1A          599 77      
QSO: 21022 CW 2014-01-25 1304 W1END         599 0002   TM1T          599 44      
QSO: 21019 CW 2014-01-25 1305 W1END         599 0003   F6KLO         599 19      
QSO: 21025 CW 2014-01-25 1306 W1END         599 0004   TM6D          599 38      
QSO: 21024 CW 2014-01-25 1316 W1END         599 0005   F6DEV         599 09      
QSO: 21028 CW 2014-01-25 1322 W1END         599 0006   F6BCW         599 71      
QSO: 21030 CW 2014-01-25 1354 W1END         599 0007   F6DEO         599 95      
QSO: 21023 CW 2014-01-25 1355 W1END         599 0008   TM1O          599 83      
QSO: 28036 CW 2014-01-25 1357 W1END         599 0009   F6DZD         599 56      
QSO: 28019 CW 2014-01-25 1358 W1END         599 0010   F8DRE         599 28      
QSO: 28017 CW 2014-01-25 1359 W1END         599 0011   TM1A          599 77      
QSO: 28011 CW 2014-01-25 1400 W1END         599 0012   F5IN          599 45      
QSO: 28028 CW 2014-01-25 1405 W1END         599 0013   F6KLO         599 19      
QSO: 28017 CW 2014-01-25 1425 W1END         599 0014   F5JVP         599 51      
QSO: 28008 CW 2014-01-25 1425 W1END         599 0015   F8DZY         599 47      
QSO: 28022 CW 2014-01-25 1427 W1END         599 0016   F5VHY         599 47      
QSO: 28026 CW 2014-01-25 1428 W1END         599 0017   F8FSC         599 39      
QSO: 28024 CW 2014-01-25 1431 W1END         599 0018   F5KEQ         599 44      
QSO: 28035 CW 2014-01-25 1434 W1END         599 0019   F5NKX         599 50      
QSO: 28039 CW 2014-01-25 1435 W1END         599 0020   F6AUS         599 79      
QSO: 28023 CW 2014-01-25 1439 W1END         599 0021   F1BIH/P       599 58      
QSO: 28020 CW 2014-01-25 1629 W1END         599 0022   F6KDL         599 68      
QSO: 28022 CW 2014-01-25 1630 W1END         599 0023   F8KCF         599 74      
QSO: 21035 CW 2014-01-25 1632 W1END         599 0024   F5KLP         599 49      
QSO: 21022 CW 2014-01-25 1633 W1END         599 0025   F6HKA         599 87      
QSO: 21016 CW 2014-01-25 1635 W1END         599 0026   F8CRS         599 67      
QSO: 21014 CW 2014-01-25 1635 W1END         599 0027   F6KHM         599 29      
QSO: 21018 CW 2014-01-25 1639 W1END         599 0028   F5VHY         599 47      
QSO: 21020 CW 2014-01-25 1643 W1END         599 0029   F6KEH         599 34      
QSO: 21027 CW 2014-01-25 1644 W1END         599 0030   F8EEQ         599 59      
QSO: 21025 CW 2014-01-25 1650 W1END         599 0031   F8KCF         599 74      
QSO: 21021 CW 2014-01-25 1656 W1END         599 0032   F5JU          599 35      
QSO: 21019 CW 2014-01-25 1657 W1END         599 0033   F8GGZ         599 39      
QSO: 21023 CW 2014-01-25 1657 W1END         599 0034   FM5WD         599 FM      
QSO: 21006 CW 2014-01-25 1715 W1END         599 0035   F6KNB         599 33      
QSO: 14016 CW 2014-01-25 1804 W1END         599 0036   TM1O          599 83      
QSO: 14025 CW 2014-01-25 1806 W1END         599 0037   F8ATS         599 91      
QSO: 14034 CW 2014-01-25 1807 W1END         599 0038   F6HKA         599 87      
QSO: 14015 CW 2014-01-25 1844 W1END         599 0039   TM1T          599 44      
QSO: 14021 CW 2014-01-25 1849 W1END         599 0040   F5JVP         599 51      
QSO: 14022 CW 2014-01-25 1854 W1END         599 0041   F8EZX         599 31      
QSO: 14019 CW 2014-01-25 1855 W1END         599 0042   F8KCF         599 74      
QSO: 14021 CW 2014-01-25 1944 W1END         599 0043   F5KED         599 36      
QSO: 14025 CW 2014-01-25 1945 W1END         599 0044   F6KHM         599 29      
QSO: 14029 CW 2014-01-25 1945 W1END         599 0045   F5MUX         599 29      
QSO:  7034 CW 2014-01-25 2122 W1END         599 0046   F5VLY         599 47      
QSO:  7021 CW 2014-01-25 2125 W1END         599 0047   F5PYJ         599 44      
QSO:  7021 CW 2014-01-25 2126 W1END         599 0048   F8DZY         599 47      
QSO:  7016 CW 2014-01-25 2127 W1END         599 0049   F6KNB         599 33      
QSO:  7023 CW 2014-01-25 2130 W1END         599 0050   F5EQ          599 91      
QSO:  7023 CW 2014-01-25 2131 W1END         599 0051   F5XX          599 81      
QSO:  7017 CW 2014-01-25 2202 W1END         599 0052   F8DGY         599 77      
QSO:  7010 CW 2014-01-25 2203 W1END         599 0053   F5MUX         599 29      
QSO:  7014 CW 2014-01-26 0038 W1END         599 0054   TM1T          599 44      
QSO:  7011 CW 2014-01-26 0044 W1END         599 0055   F6KHM         599 29      
END-OF-LOG:

