START-OF-LOG:  V2.0
CREATED-BY:    SD V12.05 and SDCHECK V12.05
CONTEST:       CQ-WW-CW
CALLSIGN:      DL2BQD
CATEGORY:      SINGLE-OP ALL LOW
CLAIMED-SCORE: 25542
NAME:          Dieter Klaschka
CLUB:          GQRP  DARC
OPERATORS:     DL2BQD
SOAPBOX:       I used SD for logging - it's comfortable and quick
QSO: 21000 CW 2005-11-26 1407 DL2BQD        599 14     ZC4LI         599 20                    
QSO: 21000 CW 2005-11-26 1417 DL2BQD        599 14     5B/AJ2O       599 20                    
QSO: 21000 CW 2005-11-26 1420 DL2BQD        599 14     4X4DZ         599 20                    
QSO: 21000 CW 2005-11-26 1440 DL2BQD        599 14     CT3EN         599 33                    
QSO: 21000 CW 2005-11-26 1508 DL2BQD        599 14     D44TD         599 35                    
QSO: 21000 CW 2005-11-26 1517 DL2BQD        599 14     CU2A          599 14                    
QSO: 21000 CW 2005-11-26 1525 DL2BQD        599 14     V26K          599 08                    
QSO: 14000 CW 2005-11-26 1650 DL2BQD        599 14     K3LR          599 05                    
QSO: 14000 CW 2005-11-26 1658 DL2BQD        599 14     RV6YZ/6       599 16                    
QSO: 14000 CW 2005-11-26 1701 DL2BQD        599 14     K8AZ          599 04                    
QSO:  7000 CW 2005-11-26 1712 DL2BQD        599 14     A61AR         599 21                    
QSO:  7000 CW 2005-11-26 1722 DL2BQD        599 14     IY4W          599 15                    
QSO:  7000 CW 2005-11-26 1732 DL2BQD        599 14     EY8MM         599 17                    
QSO:  7000 CW 2005-11-26 1736 DL2BQD        599 14     UW8M          599 16                    
QSO:  7000 CW 2005-11-26 1933 DL2BQD        599 14     LY8O          599 15                    
QSO:  7000 CW 2005-11-26 1943 DL2BQD        599 14     5B/AJ2O       599 20                    
QSO:  7000 CW 2005-11-26 1944 DL2BQD        599 14     G5W           599 14                    
QSO:  7000 CW 2005-11-26 1946 DL2BQD        599 14     IS9P          599 33                    
QSO:  7000 CW 2005-11-26 1947 DL2BQD        599 14     VK7GN         599 30                    
QSO:  7000 CW 2005-11-26 1950 DL2BQD        599 14     UK9AA         599 17                    
QSO:  7000 CW 2005-11-26 1954 DL2BQD        599 14     UP5G          599 17                    
QSO:  7000 CW 2005-11-26 2007 DL2BQD        599 14     8Q7DV         599 22                    
QSO:  7000 CW 2005-11-26 2028 DL2BQD        599 14     7X0RY         599 33                    
QSO:  7000 CW 2005-11-26 2034 DL2BQD        599 14     K1DG          599 05                    
QSO:  7000 CW 2005-11-26 2044 DL2BQD        599 14     4L8A          599 21                    
QSO:  7000 CW 2005-11-26 2049 DL2BQD        599 14     JR3NCZ        599 25                    
QSO:  7000 CW 2005-11-27 0500 DL2BQD        599 14     J79CW         599 08                    
QSO:  3500 CW 2005-11-27 0502 DL2BQD        599 14     OJ0B          599 15                    
QSO:  3500 CW 2005-11-27 0504 DL2BQD        599 14     G6PZ          599 14                    
QSO:  7000 CW 2005-11-27 0529 DL2BQD        599 14     3V5A          599 33                    
QSO:  7000 CW 2005-11-27 0543 DL2BQD        599 14     PJ2T          599 09                    
QSO: 14000 CW 2005-11-27 0600 DL2BQD        599 14     A45XR         599 21                    
QSO: 14000 CW 2005-11-27 0604 DL2BQD        599 14     RN6FA         599 16                    
QSO: 14000 CW 2005-11-27 0605 DL2BQD        599 14     H2G           599 20                    
QSO: 14000 CW 2005-11-27 0613 DL2BQD        599 14     UN3N          599 17                    
QSO: 14000 CW 2005-11-27 0620 DL2BQD        599 14     UA0AGI        599 18                    
QSO: 14000 CW 2005-11-27 0625 DL2BQD        599 14     OH6KN         599 15                    
QSO: 14000 CW 2005-11-27 0629 DL2BQD        599 14     J43J          599 20                    
QSO: 14000 CW 2005-11-27 0640 DL2BQD        599 14     RA0AA         599 18                    
QSO:  7000 CW 2005-11-27 0653 DL2BQD        599 14     NY4A          599 05                    
QSO: 21000 CW 2005-11-27 0700 DL2BQD        599 14     5B/M0XAA      599 20                    
QSO: 21000 CW 2005-11-27 0706 DL2BQD        599 14     4Z5J          599 20                    
QSO: 14000 CW 2005-11-27 0713 DL2BQD        599 14     JH3AIU        599 25                    
QSO: 14000 CW 2005-11-27 0716 DL2BQD        599 14     A61Q          599 21                    
QSO: 14000 CW 2005-11-27 0719 DL2BQD        599 14     CN2WW         599 33                    
QSO: 14000 CW 2005-11-27 0835 DL2BQD        599 14     H2G           599 20                    
QSO: 14000 CW 2005-11-27 0840 DL2BQD        599 14     JA3YBK        599 25                    
QSO: 14000 CW 2005-11-27 0845 DL2BQD        599 14     TZ5A          599 35                    
QSO: 14000 CW 2005-11-27 0846 DL2BQD        599 14     RL3A          599 16                    
QSO: 14000 CW 2005-11-27 0848 DL2BQD        599 14     YP3A          599 20                    
QSO: 14000 CW 2005-11-27 0852 DL2BQD        599 14     YZ0Z          599 15                    
QSO: 21000 CW 2005-11-27 0854 DL2BQD        599 14     UP0L          599 17                    
QSO: 21000 CW 2005-11-27 0901 DL2BQD        599 14     UA9SP         599 16                    
QSO: 21000 CW 2005-11-27 0903 DL2BQD        599 14     RA9XF         599 17                    
QSO: 21000 CW 2005-11-27 0905 DL2BQD        599 14     RA9SG         599 17                    
QSO: 21000 CW 2005-11-27 0951 DL2BQD        599 14     H2E           599 20                    
QSO: 21000 CW 2005-11-27 0959 DL2BQD        599 14     9N7JO         599 22                    
QSO: 14000 CW 2005-11-27 1015 DL2BQD        599 14     PY2PY         599 11                    
QSO: 14000 CW 2005-11-27 1033 DL2BQD        599 14     KP4KE         599 08                    
QSO: 14000 CW 2005-11-27 1047 DL2BQD        599 14     GM3WUX        599 14                    
QSO: 14000 CW 2005-11-27 1055 DL2BQD        599 14     KP3Z          599 08                    
QSO: 14000 CW 2005-11-27 1120 DL2BQD        599 14     M8C           599 14                    
QSO: 14000 CW 2005-11-27 1124 DL2BQD        599 14     ZL6QH         599 32                    
QSO: 14000 CW 2005-11-27 1129 DL2BQD        599 14     W1KM          599 05                    
QSO: 14000 CW 2005-11-27 1138 DL2BQD        599 14     WA1S          599 05                    
QSO: 14000 CW 2005-11-27 1139 DL2BQD        599 14     K1IR          599 05                    
QSO: 14000 CW 2005-11-27 1558 DL2BQD        599 14     K1AR          599 05                    
QSO: 14000 CW 2005-11-27 1600 DL2BQD        599 14     W2RE          599 05                    
QSO: 14000 CW 2005-11-27 1602 DL2BQD        599 14     W3PP          599 05                    
QSO: 14000 CW 2005-11-27 1604 DL2BQD        599 14     W0AIH         599 04                    
QSO: 14000 CW 2005-11-27 1607 DL2BQD        599 14     NY4A          599 05                    
QSO: 14000 CW 2005-11-27 1609 DL2BQD        599 14     N3RS          599 05                    
QSO: 14000 CW 2005-11-27 1610 DL2BQD        599 14     W2FU          599 05                    
QSO: 14000 CW 2005-11-27 1616 DL2BQD        599 14     W5WMU         599 04                    
QSO: 14000 CW 2005-11-27 1620 DL2BQD        599 14     K0RF          599 04                    
QSO: 14000 CW 2005-11-27 1623 DL2BQD        599 14     K5GO          599 04                    
QSO: 14000 CW 2005-11-27 1624 DL2BQD        599 14     W5MX          599 04                    
QSO: 14000 CW 2005-11-27 1627 DL2BQD        599 14     NQ4I          599 05                    
QSO: 14000 CW 2005-11-27 1633 DL2BQD        599 14     WX0B          599 04                    
QSO: 14000 CW 2005-11-27 1633 DL2BQD        599 14     K2TE          599 05                    
QSO: 14000 CW 2005-11-27 1634 DL2BQD        599 14     K1RX          599 05                    
QSO: 14000 CW 2005-11-27 1638 DL2BQD        599 14     N4ZZ          599 05                    
QSO: 14000 CW 2005-11-27 1641 DL2BQD        599 14     W1MU          599 05                    
QSO: 14000 CW 2005-11-27 1645 DL2BQD        599 14     K9NS          599 04                    
QSO: 14000 CW 2005-11-27 1646 DL2BQD        599 14     K2VV          599 05                    
QSO: 14000 CW 2005-11-27 1649 DL2BQD        599 14     K1DG          599 05                    
QSO: 14000 CW 2005-11-27 1653 DL2BQD        599 14     K1IR          599 05                    
QSO: 14000 CW 2005-11-27 1654 DL2BQD        599 14     K3OO          599 05                    
QSO: 14000 CW 2005-11-27 1657 DL2BQD        599 14     KB1H          599 05                    
QSO: 14000 CW 2005-11-27 1702 DL2BQD        599 14     VC3O          599 04                    
QSO: 14000 CW 2005-11-27 1717 DL2BQD        599 14     K2PS          599 05                    
QSO: 14000 CW 2005-11-27 1719 DL2BQD        599 14     VE3EJ         599 04                    
QSO: 21000 CW 2005-11-27 1724 DL2BQD        599 14     HC8N          599 10                    
QSO: 14000 CW 2005-11-27 1732 DL2BQD        599 14     W2RU          599 05                    
QSO: 21000 CW 2005-11-27 1738 DL2BQD        599 14     VP2E          599 08                    
QSO: 21000 CW 2005-11-27 1741 DL2BQD        599 14     YW4D          599 09                    
QSO: 14000 CW 2005-11-27 1752 DL2BQD        599 14     FR/K8DD       599 39                    
QSO: 14000 CW 2005-11-27 1758 DL2BQD        599 14     RU1A          599 16                    
QSO:  7000 CW 2005-11-27 2112 DL2BQD        599 14     A52CDX        599 22                    
QSO:  7000 CW 2005-11-27 2127 DL2BQD        599 14     YE1ZAT        599 28                    
END-OF-LOG: 
