START-OF-LOG: 2.0
ARRL-SECTION: 
CALLSIGN: SM6PPS
CATEGORY: SINGLE-OP ALL QRP CW
CATEGORY-OVERLAY: 
CLAIMED-SCORE: 1365
CLUB: 
CONTEST: CQ-WW-CW
CREATED-BY: tlf-0.9.25
NAME: Göran Sandin
OPERATORS: 
SOAPBOX: Rig Elecraft K2, 5 watt output to a Diamond CP-6
QSO: 21000 CW 2005-11-26 1243 SM6PPS        599 14     5B/AJ2O       599 20       0
QSO: 14000 CW 2005-11-26 1257 SM6PPS        599 14     AA1K          599 05       0
QSO: 14000 CW 2005-11-26 1307 SM6PPS        599 14     UT7I          599 16       0
QSO: 14000 CW 2005-11-26 1311 SM6PPS        599 14     9A3B          599 15       0
QSO: 14000 CW 2005-11-26 1313 SM6PPS        599 14     LZ9W          599 20       0
QSO: 14000 CW 2005-11-26 1316 SM6PPS        599 14     RA3CW         599 16       0
QSO: 14000 CW 2005-11-26 1322 SM6PPS        599 14     K0TV          599 05       0
QSO: 14000 CW 2005-11-26 1326 SM6PPS        599 14     S57AL         599 15       0
QSO:  3500 CW 2005-11-26 1739 SM6PPS        599 14     DQ0Q          599 14       0
QSO:  3500 CW 2005-11-26 1742 SM6PPS        599 14     UT3UA         599 16       0
QSO:  3500 CW 2005-11-26 2008 SM6PPS        599 14     SK3W          599 14       0
QSO:  7000 CW 2005-11-27 1750 SM6PPS        599 14     ES5MC         599 15       0
QSO:  7000 CW 2005-11-27 1751 SM6PPS        599 14     OH5Z          599 15       0
QSO:  7000 CW 2005-11-27 1757 SM6PPS        599 14     LY2MM         599 15       0
QSO:  7000 CW 2005-11-27 1800 SM6PPS        599 14     RU1A          599 16       0
QSO:  3500 CW 2005-11-27 1810 SM6PPS        599 14     OH2BH         599 15       0
QSO:  3500 CW 2005-11-27 1817 SM6PPS        599 14     LY7Z          599 15       0
QSO:  3500 CW 2005-11-27 1823 SM6PPS        599 14     DL0CS         599 14       0
QSO:  3500 CW 2005-11-27 1830 SM6PPS        599 14     LY5A          599 15       0
QSO:  3500 CW 2005-11-27 1832 SM6PPS        599 14     YL0A          599 15       0
QSO:  3500 CW 2005-11-27 1833 SM6PPS        599 14     SN3A          599 15       0
QSO:  3500 CW 2005-11-27 1836 SM6PPS        599 14     SP8BRQ        599 15       0
QSO:  3500 CW 2005-11-27 1839 SM6PPS        599 14     UA3TCJ        599 16       0
QSO:  3500 CW 2005-11-27 1845 SM6PPS        599 14     EW8DX         599 16       0
QSO:  3500 CW 2005-11-27 1849 SM6PPS        599 14     OZ5E          599 14       0
QSO:  3500 CW 2005-11-27 1857 SM6PPS        599 14     GM4YXI        599 14       0
QSO:  3500 CW 2005-11-27 1907 SM6PPS        599 14     SP4MPB        599 15       0
QSO:  7000 CW 2005-11-27 1914 SM6PPS        599 14     GM0F          599 14       0
QSO:  7000 CW 2005-11-27 1917 SM6PPS        599 14     SP5KEH        599 15       0
QSO:  7000 CW 2005-11-27 1918 SM6PPS        599 14     GD6IA         599 14       0
QSO:  7000 CW 2005-11-27 1923 SM6PPS        599 14     UA6LV         599 16       0
QSO:  7000 CW 2005-11-27 1925 SM6PPS        599 14     UX3MZ         599 16       0
QSO:  7000 CW 2005-11-27 1929 SM6PPS        599 14     UW8M          599 16       0
QSO:  7000 CW 2005-11-27 1935 SM6PPS        599 14     MM0XAU        599 14       0
QSO:  3500 CW 2005-11-27 1943 SM6PPS        599 14     ON4CCP        599 14       0
END-OF-LOG:
