START-OF-LOG:  V2.0
CREATED-BY:    SD V12.05 and SDCHECK V12.05
CONTEST:       CQ-WW-CW
CALLSIGN:      EI5JP
CATEGORY:      SINGLE-OP ALL LOW
CLAIMED-SCORE: 27577
NAME:          Rob Hammond
OPERATORS:     EI5JP
SOAPBOX:       Very enjoyable  just wish I had more time to operate
QSO: 14002 CW 2005-11-27 1106 EI5JP         599 14     S59ABC        599 15                    
QSO: 14008 CW 2005-11-27 1107 EI5JP         599 14     RN4SS         599 16                    
QSO: 14099 CW 2005-11-27 1109 EI5JP         599 14     RK4WWA        599 16                    
QSO: 14087 CW 2005-11-27 1110 EI5JP         599 14     DK0OG         599 14                    
QSO: 14085 CW 2005-11-27 1112 EI5JP         599 14     OK1EP         599 15                    
QSO: 14083 CW 2005-11-27 1112 EI5JP         599 14     S51F          599 15                    
QSO: 14080 CW 2005-11-27 1113 EI5JP         599 14     S57DX         599 15                    
QSO: 14078 CW 2005-11-27 1113 EI5JP         599 14     YU7CK         599 15                    
QSO: 14076 CW 2005-11-27 1114 EI5JP         599 14     R3R           599 16                    
QSO: 21013 CW 2005-11-27 1119 EI5JP         599 14     RU6AT         599 16                    
QSO: 21009 CW 2005-11-27 1120 EI5JP         599 14     UU7J          599 16                    
QSO: 21003 CW 2005-11-27 1122 EI5JP         599 14     EA8EW         599 33                    
QSO: 14068 CW 2005-11-27 1127 EI5JP         599 14     YT5A          599 15                    
QSO:  7010 CW 2005-11-27 1138 EI5JP         599 14     ES6DO         599 15                    
QSO:  7014 CW 2005-11-27 1140 EI5JP         599 14     KC1XX         599 05                    
QSO:  7016 CW 2005-11-27 1142 EI5JP         599 14     OH2U          599 15                    
QSO:  7020 CW 2005-11-27 1143 EI5JP         599 14     LX/DK4ARL     599 14                    
QSO:  7021 CW 2005-11-27 1144 EI5JP         599 14     4N1A          599 15                    
QSO:  7024 CW 2005-11-27 1145 EI5JP         599 14     OL2U          599 15                    
QSO:  7025 CW 2005-11-27 1146 EI5JP         599 14     S57Z          599 15                    
QSO: 14000 CW 2005-11-27 1148 EI5JP         599 14     TF3CW         599 40                    
QSO: 14002 CW 2005-11-27 1148 EI5JP         599 14     OM7DX         599 15                    
QSO: 14005 CW 2005-11-27 1151 EI5JP         599 14     KT1V          599 05                    
QSO: 14013 CW 2005-11-27 1153 EI5JP         599 14     HA3MP         599 15                    
QSO: 14014 CW 2005-11-27 1153 EI5JP         599 14     W1KM          599 05                    
QSO: 14015 CW 2005-11-27 1155 EI5JP         599 14     HA80IARU      599 15                    
QSO: 14018 CW 2005-11-27 1156 EI5JP         599 14     9A7A          599 15                    
QSO: 14020 CW 2005-11-27 1157 EI5JP         599 14     RF3A          599 16                    
QSO: 14024 CW 2005-11-27 1159 EI5JP         599 14     DQ4W          599 14                    
QSO: 14026 CW 2005-11-27 1200 EI5JP         599 14     ES1A          599 15                    
QSO: 14029 CW 2005-11-27 1201 EI5JP         599 14     K5ZD          599 05                    
QSO: 14031 CW 2005-11-27 1203 EI5JP         599 14     RG9A          599 17                    
QSO: 14032 CW 2005-11-27 1204 EI5JP         599 14     ES5JR         599 15                    
QSO: 14035 CW 2005-11-27 1205 EI5JP         599 14     K1TTT         599 05                    
QSO: 14035 CW 2005-11-27 1207 EI5JP         599 14     RU3A          599 16                    
QSO: 14040 CW 2005-11-27 1208 EI5JP         599 14     UW9I          599 16                    
QSO: 14041 CW 2005-11-27 1209 EI5JP         599 14     IR4X          599 15                    
QSO: 14050 CW 2005-11-27 1211 EI5JP         599 14     OM5M          599 15                    
QSO: 14052 CW 2005-11-27 1213 EI5JP         599 14     ZR7M          599 38                    
QSO: 14067 CW 2005-11-27 1217 EI5JP         599 14     S53EO         599 15                    
QSO: 14069 CW 2005-11-27 1217 EI5JP         599 14     W1WEF         599 05                    
QSO: 14070 CW 2005-11-27 1219 EI5JP         599 14     K0TV          599 05                    
QSO: 21034 CW 2005-11-27 1426 EI5JP         599 14     5B4AHJ        599 20                    
QSO:  7031 CW 2005-11-27 1428 EI5JP         599 14     DF0CG         599 14                    
QSO:  7029 CW 2005-11-27 1429 EI5JP         599 14     RU3AA         599 16                    
QSO:  7027 CW 2005-11-27 1429 EI5JP         599 14     DP9A          599 14                    
QSO:  7026 CW 2005-11-27 1431 EI5JP         599 14     ER6ARC        599 16                    
QSO:  7022 CW 2005-11-27 1431 EI5JP         599 14     ES5MC         599 15                    
QSO:  7021 CW 2005-11-27 1432 EI5JP         599 14     OE8VIE        599 15                    
QSO:  7011 CW 2005-11-27 1433 EI5JP         599 14     SK6M          599 14                    
QSO:  7009 CW 2005-11-27 1434 EI5JP         599 14     SM6DHU        599 14                    
QSO:  7006 CW 2005-11-27 1435 EI5JP         599 14     ON4AEK        599 14                    
QSO:  7004 CW 2005-11-27 1436 EI5JP         599 14     UA6LV         599 16                    
QSO: 14003 CW 2005-11-27 1509 EI5JP         599 14     K1AR          599 05                    
QSO: 14003 CW 2005-11-27 1509 EI5JP         599 14     W3LPL         599 05                    
QSO: 14004 CW 2005-11-27 1510 EI5JP         599 14     HG6N          599 15                    
QSO: 14005 CW 2005-11-27 1511 EI5JP         599 14     K3LR          599 05                    
QSO: 14007 CW 2005-11-27 1512 EI5JP         599 14     N3RS          599 05                    
QSO: 14008 CW 2005-11-27 1512 EI5JP         599 14     K8AZ          599 04                    
QSO: 14011 CW 2005-11-27 1513 EI5JP         599 14     KC1XX         599 05                    
QSO: 21006 CW 2005-11-27 1515 EI5JP         599 14     NQ4I          599 05                    
QSO: 14015 CW 2005-11-27 1517 EI5JP         599 14     HG1R          599 15                    
QSO: 14016 CW 2005-11-27 1517 EI5JP         599 14     UT7I          599 16                    
QSO: 14020 CW 2005-11-27 1518 EI5JP         599 14     W5MX          599 04                    
QSO: 14022 CW 2005-11-27 1519 EI5JP         599 14     YP3A          599 20                    
QSO: 14025 CW 2005-11-27 1520 EI5JP         599 14     VE1OP         599 05                    
QSO: 14028 CW 2005-11-27 1521 EI5JP         599 14     YT6A          599 15                    
QSO: 14030 CW 2005-11-27 1522 EI5JP         599 14     8P5A          599 08                    
QSO: 14040 CW 2005-11-27 1530 EI5JP         599 14     DK3GI         599 14                    
QSO: 14043 CW 2005-11-27 1531 EI5JP         599 14     K2QMF         599 05                    
QSO: 14045 CW 2005-11-27 1533 EI5JP         599 14     W9SN          599 04                    
QSO: 14047 CW 2005-11-27 1533 EI5JP         599 14     VE5SF         599 04                    
QSO: 14048 CW 2005-11-27 1535 EI5JP         599 14     W5KFT         599 04                    
QSO: 14056 CW 2005-11-27 1542 EI5JP         599 14     N0AT          599 04                    
QSO: 14059 CW 2005-11-27 1543 EI5JP         599 14     EA6IB         599 14                    
QSO: 14060 CW 2005-11-27 1543 EI5JP         599 14     HA8AT         599 15                    
QSO:  7060 CW 2005-11-27 1940 EI5JP         599 14     RU6FA         599 16                    
QSO:  7059 CW 2005-11-27 1941 EI5JP         599 14     OZ0XX         599 14                    
QSO:  7055 CW 2005-11-27 1942 EI5JP         599 14     IU2R          599 15                    
QSO:  7054 CW 2005-11-27 1944 EI5JP         599 14     DF3CB         599 14                    
QSO:  7053 CW 2005-11-27 1944 EI5JP         599 14     YT7A          599 15                    
QSO:  7052 CW 2005-11-27 1945 EI5JP         599 14     W1WEF         599 05                    
QSO:  7050 CW 2005-11-27 1949 EI5JP         599 14     EW7LO         599 16                    
QSO:  7043 CW 2005-11-27 1950 EI5JP         599 14     CU2JT         599 14                    
QSO:  7040 CW 2005-11-27 1951 EI5JP         599 14     UW9I          599 16                    
QSO:  7021 CW 2005-11-27 1955 EI5JP         599 14     9A7A          599 15                    
QSO:  3553 CW 2005-11-27 1959 EI5JP         599 14     OO4OD         599 14                    
QSO:  3551 CW 2005-11-27 2000 EI5JP         599 14     RT3T          599 16                    
QSO:  3549 CW 2005-11-27 2000 EI5JP         599 14     OJ0B          599 15                    
QSO:  3546 CW 2005-11-27 2001 EI5JP         599 14     EU1AZ         599 16                    
QSO:  3545 CW 2005-11-27 2002 EI5JP         599 14     SP4JCQ        599 15                    
QSO:  3533 CW 2005-11-27 2005 EI5JP         599 14     IH9P          599 33                    
QSO:  3525 CW 2005-11-27 2007 EI5JP         599 14     DQ0Q          599 14                    
QSO:  3522 CW 2005-11-27 2008 EI5JP         599 14     LY7M          599 15                    
QSO:  3520 CW 2005-11-27 2008 EI5JP         599 14     OK5W          599 15                    
QSO:  3515 CW 2005-11-27 2013 EI5JP         599 14     GM3YOR        599 14                    
QSO:  3514 CW 2005-11-27 2015 EI5JP         599 14     ZB2X          599 14                    
QSO:  3513 CW 2005-11-27 2016 EI5JP         599 14     DF0CG         599 14                    
