START-OF-LOG:  2.0
ARRL-SECTION:  DX
CALLSIGN:      4S7RS
CATEGORY:      MULTI-ONE
CLAIMED-SCORE: 3200
CLUB:	       THE RADIO SOCIETY OF SRI LANKA
CONTEST:       CQ-WW-CW
NAME: 	       T.D. NISHANTHA PERERA
OPERATORS:     4S7WP 4S7NI
SOAPBOX:       This is a great contest that everybody can enjoy
QSO: 21000 CW 2005-11-26 0812 4S7RS  599  22  RM9RO     599  17
QSO: 21000 CW 2005-11-26 0813 4S7RS  599  22  OK2N      599  15
QSO: 21000 CW 2005-11-26 0815 4S7RS  599  22  HS0AC     599  26
QSO: 21000 CW 2005-11-26 0818 4S7RS  599  22  S53AK     599  15
QSO: 21000 CW 2005-11-26 0820 4S7RS  599  22  Z37M      599  15
QSO: 21000 CW 2005-11-26 0825 4S7RS  599  22  DQ4W      599  14
QSO: 21000 CW 2005-11-26 0839 4S7RS  599  22  VU2NXM    599  22
QSO: 21000 CW 2005-11-26 0840 4S7RS  599  22  R26AZZ    599  16
QSO: 21000 CW 2005-11-26 0845 4S7RS  599  22  OH2PQ     599  15
QSO: 21000 CW 2005-11-26 0846 4S7RS  599  22  YB0DPO    599  28
QSO: 21000 CW 2005-11-26 0848 4S7RS  599  22  HS0ZAR    599  26
QSO: 21000 CW 2005-11-26 0900 4S7RS  599  22  9A1P      599  15
QSO: 21000 CW 2005-11-26 0904 4S7RS  599  22  DP4T      599  14
QSO: 21000 CW 2005-11-26 0906 4S7RS  599  22  F2YT      599  14
QSO: 21000 CW 2005-11-26 0929 4S7RS  599  22  LX1NO     599  14
QSO: 21000 CW 2005-11-26 0931 4S7RS  599  22  DL2DX     599  14
QSO: 21000 CW 2005-11-26 0932 4S7RS  599  22  IQ1SM     599  13
QSO: 21000 CW 2005-11-26 0939 4S7RS  599  22  LN8W      599  14
QSO: 21000 CW 2005-11-26 0940 4S7RS  599  22  DL0CS     599  14
QSO: 21000 CW 2005-11-26 0955 4S7RS  599  22  HS0ZGH    599  26
QSO: 21000 CW 2005-11-26 0958 4S7RS  599  22  OZ8AE     599  14
QSO: 21000 CW 2005-11-26 1010 4S7RS  599  22  UA9AO     599  17
QSO: 14000 CW 2005-11-26 1015 4S7RS  599  22  LN8W      599  17
QSO: 14000 CW 2005-11-26 1022 4S7RS  599  22  DQ0Q      599  14
QSO: 14000 CW 2005-11-26 1028 4S7RS  599  22  HS0ZAR    599  26
QSO: 14000 CW 2005-11-26 1032 4S7RS  599  22  9M6/G3OO  599  28
QSO: 14000 CW 2005-11-26 1041 4S7RS  599  22  BV0J      599  24
QSO: 28000 CW 2005-11-26 1052 4S7RS  599  22  VK9AA     599  29
QSO: 28000 CW 2005-11-26 1055 4S7RS  599  22  GW1RW     599  35
QSO: 28000 CW 2005-11-26 1057 4S7RS  599  22  EA8ZS     599  33
QSO: 14000 CW 2005-11-26 1132 4S7RS  599  22  A45XR     599  21
QSO: 14000 CW 2005-11-26 1140 4S7RS  599  22  HS0T      599  26
QSO: 14000 CW 2005-11-26 1148 4S7RS  599  22  BV0J      599  24
QSO:  7000 CW 2005-11-26 1158 4S7RS  599  22  9M2TO     599  28
QSO:  7000 CW 2005-11-26 1201 4S7RS  599  22  HS0ZAR    599  26
QSO: 14000 CW 2005-11-26 1222 4S7RS  599  22  4L2M      599  21
QSO: 14000 CW 2005-11-26 1226 4S7RS  599  22  HS0T      599  26
QSO: 14000 CW 2005-11-26 1230 4S7RS  599  22  9M2CNC    599  28
QSO: 14000 CW 2005-11-26 1235 4S7RS  599  22  YT1NT     599  15
QSO: 14000 CW 2005-11-26 1244 4S7RS  599  22  VK7GN     599  30
QSO: 21000 CW 2005-11-26 1252 4S7RS  599  22  G6CZ      599  14
QSO: 21000 CW 2005-11-26 1255 4S7RS  599  22  DQ4W      599  14
QSO: 21000 CW 2005-11-26 1301 4S7RS  599  22  VK9AA     599  29
QSO: 14000 CW 2005-11-26 1331 4S7RS  599  22  LY7A      599  15
QSO: 14000 CW 2005-11-26 1333 4S7RS  599  22  YE1ZAT    599  28
QSO: 14000 CW 2005-11-26 1338 4S7RS  599  22  YT5A      599  15
QSO: 21000 CW 2005-11-26 1351 4S7RS  599  22  ZY7C      599  11
QSO: 21000 CW 2005-11-26 1354 4S7RS  599  22  5H3EE     599  37
QSO: 14000 CW 2005-11-26 1415 4S7RS  599  22  VU2JOS    599  22
QSO: 14000 CW 2005-11-26 1419 4S7RS  599  22  DL0CS     599  14
END-OF-LOG:
