START-OF-LOG: 2.0                                                                
ARRL-SECTION:                                                                
CONTEST: CQ-WW-CW                                                                
CALLSIGN: W1END                                                                  
CATEGORY: SINGLE-OP ALL LOW                                                   
CLAIMED-SCORE: 49476                                                             
OPERATORS: W1END                                                                 
CLUB: Yankee Clipper Contest Club                                                                       
NAME: ELDON BURKINSHAW                                                           
SOAPBOX: Sunday was much better than Saturday.  Lots of Caribbean stations. 
SOAPBOX: 
SOAPBOX: Rig was TS830s, Butternut HF6V and Log-EQF Software.    
SOAPBOX:                                                                         
QSO: 28000 CW 2005-11-26 1358 W1END         599 05     PJ2T          599 9       
QSO: 28000 CW 2005-11-26 1402 W1END         599 05     5J1W          599 9       
QSO: 28000 CW 2005-11-26 1403 W1END         599 05     P40L          599 9       
QSO: 28000 CW 2005-11-26 1404 W1END         599 05     PJ5NA         599 8       
QSO: 28000 CW 2005-11-26 1406 W1END         599 05     HC8N          599 10      
QSO: 28000 CW 2005-11-26 1408 W1END         599 05     KP3Z          599 8       
QSO: 28000 CW 2005-11-26 1411 W1END         599 05     TZ5A          599 35      
QSO: 28000 CW 2005-11-26 1437 W1END         599 05     P40W          599 9       
QSO: 28000 CW 2005-11-26 1441 W1END         599 05     V26K          599 8       
QSO: 28000 CW 2005-11-26 1444 W1END         599 05     FM5CD         599 8       
QSO: 28000 CW 2005-11-26 1512 W1END         599 05     PZ5C          599 9       
QSO: 21000 CW 2005-11-26 1517 W1END         599 05     9A5Y          599 15      
QSO: 21000 CW 2005-11-26 1518 W1END         599 05     F6KNB         599 14      
QSO: 21000 CW 2005-11-26 1520 W1END         599 05     S50K          599 15      
QSO: 21000 CW 2005-11-26 1522 W1END         599 05     EA7RM         599 14      
QSO: 21000 CW 2005-11-26 1545 W1END         599 05     EA4DRV        599 14      
QSO: 21000 CW 2005-11-26 1548 W1END         599 05     IR4X          599 15      
QSO: 21000 CW 2005-11-26 1548 W1END         599 05     IR4M          599 15      
QSO: 28000 CW 2005-11-26 1821 W1END         599 05     LT7W          599 13      
QSO: 28000 CW 2005-11-26 1826 W1END         599 05     8P5A          599 8       
QSO: 28000 CW 2005-11-26 1831 W1END         599 05     FG5BG         599 8       
QSO: 28000 CW 2005-11-26 1832 W1END         599 05     LT2H          599 13      
QSO: 28000 CW 2005-11-26 1835 W1END         599 05     LU6ETB        599 13      
QSO: 28000 CW 2005-11-26 1839 W1END         599 05     P40A          599 9       
QSO: 21000 CW 2005-11-26 1936 W1END         599 05     P40L          599 9       
QSO: 21000 CW 2005-11-26 1938 W1END         599 05     LU6UO         599 13      
QSO: 21000 CW 2005-11-26 1944 W1END         599 05     LU4DX         599 13      
QSO: 21000 CW 2005-11-26 2044 W1END         599 05     PT5A          599 11      
QSO: 21000 CW 2005-11-26 2044 W1END         599 05     V26K          599 8       
QSO: 21000 CW 2005-11-26 2046 W1END         599 05     6Y7A          599 8       
QSO: 21000 CW 2005-11-26 2048 W1END         599 05     CX5AO         599 13      
QSO: 21000 CW 2005-11-26 2049 W1END         599 05     HC8N          599 10      
QSO: 21000 CW 2005-11-26 2054 W1END         599 05     WP2Z          599 8       
QSO: 21000 CW 2005-11-26 2055 W1END         599 05     ZF1A          599 8       
QSO: 21000 CW 2005-11-26 2056 W1END         599 05     PS2T          599 11      
QSO: 21000 CW 2005-11-26 2057 W1END         599 05     HI3/SP9XCN    599 8       
QSO: 21000 CW 2005-11-26 2057 W1END         599 05     AY8A          599 13      
QSO: 14000 CW 2005-11-26 2103 W1END         599 05     P40L          599 9       
QSO: 14000 CW 2005-11-26 2104 W1END         599 05     C6AWS         599 8       
QSO: 14000 CW 2005-11-26 2105 W1END         599 05     VE7GL         599 3       
QSO: 14000 CW 2005-11-26 2106 W1END         599 05     ZY7C          599 11      
