START-OF-LOG: 2.3
CREATED-BY: TR Log POST Version 6.80
CALLSIGN: K4RO
CONTEST: CQ-WW-CW
ARRL-SECTION: TN
CATEGORY: SINGLE-OP ALL HIGH CW
CLAIMED-SCORE: 1901178
CLUB: Tennessee Contest Group
NAME: Kirk Pickering
OPERATORS: K4RO
SOAPBOX: Thanks to all of the DX stations for getting on.
QSO:  7000 CW 2005-11-26 0001 K4RO          599 04     YT7TY         599 15
QSO:  7000 CW 2005-11-26 0002 K4RO          599 04     VA3DF         599 04
QSO:  7000 CW 2005-11-26 0003 K4RO          599 04     S53XX         599 15
QSO:  7000 CW 2005-11-26 0004 K4RO          599 04     YO2AOB        599 20
QSO:  7000 CW 2005-11-26 0006 K4RO          599 04     N2ZN          599 05
QSO:  7000 CW 2005-11-26 0006 K4RO          599 04     VA3DX         599 04
QSO:  7000 CW 2005-11-26 0007 K4RO          599 04     WA8REI        599 04
QSO: 21000 CW 2005-11-26 0007 K4RO          599 04     C6AGY         599 08
QSO: 21000 CW 2005-11-26 0008 K4RO          599 04     PY2NA         599 11
QSO:  7000 CW 2005-11-26 0008 K4RO          599 04     YU1JF         599 15
QSO:  7000 CW 2005-11-26 0009 K4RO          599 04     K1IB          599 05
QSO:  7000 CW 2005-11-26 0009 K4RO          599 04     HG6N          599 15
QSO:  7000 CW 2005-11-26 0010 K4RO          599 04     YU1LA         599 15
QSO:  7000 CW 2005-11-26 0011 K4RO          599 04     WA9FET        599 04
QSO: 21000 CW 2005-11-26 0012 K4RO          599 04     PY5BLG        599 11
QSO: 21000 CW 2005-11-26 0013 K4RO          599 04     LU4DX         599 13
QSO:  7000 CW 2005-11-26 0014 K4RO          599 04     VE3JM         599 04
QSO:  7000 CW 2005-11-26 0014 K4RO          599 04     YT7A          599 15
QSO:  7000 CW 2005-11-26 0017 K4RO          599 04     W2LE          599 05
QSO:  7000 CW 2005-11-26 0017 K4RO          599 04     I2SVA         599 15
QSO: 14000 CW 2005-11-26 0021 K4RO          599 04     XE2AC         599 06
QSO: 14000 CW 2005-11-26 0024 K4RO          599 04     FY/F5IRO      599 09
QSO:  7000 CW 2005-11-26 0025 K4RO          599 04     N5KA          599 04
QSO: 14000 CW 2005-11-26 0025 K4RO          599 04     HI3/SP9XCN    599 08
QSO:  7000 CW 2005-11-26 0026 K4RO          599 04     VE6LB         599 04
QSO:  7000 CW 2005-11-26 0026 K4RO          599 04     K3ATO         599 05
QSO:  7000 CW 2005-11-26 0026 K4RO          599 04     K3ASK         599 05
QSO:  7000 CW 2005-11-26 0027 K4RO          599 04     K5AF          599 04
QSO: 14000 CW 2005-11-26 0028 K4RO          599 04     CX7BY         599 13
QSO:  7000 CW 2005-11-26 0028 K4RO          599 04     VE3TW         599 04
QSO:  7000 CW 2005-11-26 0029 K4RO          599 04     OK1DG         599 15
QSO:  7000 CW 2005-11-26 0031 K4RO          599 04     DL2RNF        599 14
QSO: 14000 CW 2005-11-26 0032 K4RO          599 04     ZX5J          599 11
QSO:  7000 CW 2005-11-26 0033 K4RO          599 04     N8OY          599 04
QSO:  7000 CW 2005-11-26 0034 K4RO          599 04     K1IR          599 05
QSO: 14000 CW 2005-11-26 0036 K4RO          599 04     L73E          599 13
QSO:  7000 CW 2005-11-26 0036 K4RO          599 04     VE3WO         599 04
QSO: 14000 CW 2005-11-26 0037 K4RO          599 04     WP2Z          599 08
QSO: 14000 CW 2005-11-26 0038 K4RO          599 04     YV5KGY        599 09
QSO:  7000 CW 2005-11-26 0038 K4RO          599 04     AE3J          599 05
QSO:  7000 CW 2005-11-26 0039 K4RO          599 04     9J2SZ         599 37
QSO:  7000 CW 2005-11-26 0040 K4RO          599 04     VA3SWG        599 04
QSO: 14000 CW 2005-11-26 0042 K4RO          599 04     PS2T          599 11
QSO:  7000 CW 2005-11-26 0042 K4RO          599 04     N3KCJ         599 05
QSO:  7000 CW 2005-11-26 0043 K4RO          599 04     K2QPN         599 05
QSO:  7000 CW 2005-11-26 0044 K4RO          599 04     OK2FD         599 15
QSO:  7000 CW 2005-11-26 0047 K4RO          599 04     GM5KM         599 14
QSO:  7000 CW 2005-11-26 0048 K4RO          599 04     VE2FK         599 05
QSO:  7000 CW 2005-11-26 0048 K4RO          599 04     AC0W          599 04
QSO: 14000 CW 2005-11-26 0050 K4RO          599 04     HI9L          599 08
QSO:  7000 CW 2005-11-26 0051 K4RO          599 04     VE2AWR        599 05
QSO:  7000 CW 2005-11-26 0051 K4RO          599 04     PA5WT         599 14
QSO: 14000 CW 2005-11-26 0053 K4RO          599 04     PY2NY         599 11
QSO:  7000 CW 2005-11-26 0053 K4RO          599 04     DL3YM         599 14
QSO: 14000 CW 2005-11-26 0054 K4RO          599 04     CW5T          599 13
QSO: 14000 CW 2005-11-26 0056 K4RO          599 04     N4ZZ          599 04
QSO: 14000 CW 2005-11-26 0057 K4RO          599 04     C6AGY         599 08
QSO: 14000 CW 2005-11-26 0058 K4RO          599 04     ZY7C          599 11
QSO: 14000 CW 2005-11-26 0058 K4RO          599 04     HC8N          599 10
QSO: 14000 CW 2005-11-26 0059 K4RO          599 04     KP4KE         599 08
