START-OF-LOG: 3.0
CREATED-BY: LM Version 4.10 (c) 1992, 2013 by DL8WAA
LOCATION: DX
CONTEST: EA-MAJESTAD-CW
CALLSIGN: DO2MS
CATEGORY: SINGLE-OP ALL LOW
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CLAIMED-SCORE: 6875
OPERATORS: 
CLUB: 
NAME: Michael Stipka
SPECIFIC: 
SOAPBOX: I had a lot of fun , thank you !!
QSO: 28000 CW 2015-05-16 1202 DO2MS         599 001    HG6T          599 006    0
QSO: 28000 CW 2015-05-16 1203 DO2MS         599 002    EW2BO         599 002    0
QSO: 28000 CW 2015-05-16 1208 DO2MS         599 003    EF5R          599 A      0
QSO: 28000 CW 2015-05-16 1213 DO2MS         599 004    RG5A          599 018    0
QSO: 21000 CW 2015-05-16 1219 DO2MS         599 005    RC9J          599 036    0
QSO: 21000 CW 2015-05-16 1223 DO2MS         599 006    9A2AJ         599 029    0
QSO: 21000 CW 2015-05-16 1226 DO2MS         599 007    LZ1ND         599 034    0
QSO: 21000 CW 2015-05-16 1229 DO2MS         599 008    N3QE          599 030    0
QSO: 21000 CW 2015-05-16 1230 DO2MS         599 009    EW8EW         599 036    0
QSO: 21000 CW 2015-05-16 1237 DO2MS         599 010    EI3KI         599 031    0
QSO: 21000 CW 2015-05-16 1239 DO2MS         599 011    UR4RWW        599 016    0
QSO: 21000 CW 2015-05-16 1250 DO2MS         599 012    N2ED          599 037    0
QSO: 21000 CW 2015-05-16 1252 DO2MS         599 013    EA4ESP        599 CC     0
QSO: 21000 CW 2015-05-16 1302 DO2MS         599 014    R7AB          599 110    0
QSO: 21000 CW 2015-05-16 1304 DO2MS         599 015    EA5FV         599 MU     0
QSO: 21000 CW 2015-05-16 1326 DO2MS         599 016    EF8U          599 GC     0
QSO: 21000 CW 2015-05-16 1328 DO2MS         599 017    RX7T          599 030    0
QSO: 21000 CW 2015-05-16 1333 DO2MS         599 018    IZ0LZC        599 037    0
QSO: 21000 CW 2015-05-16 1339 DO2MS         599 019    G0RPM         599 008    0
