START-OF-LOG: 3.0 
CONTEST: EA-MAJESTAD-CW
CALLSIGN: VU2UR
CATEGORY: SINGLE-OP ALL QRP
CATEGORY-BAND: ALL 
CATEGORY-POWER: QRP
LOCATION: DX
CLUB: CQCW
CREATED-BY: Soft v1.0 
NAME: B.L.MANOHAR "ARASU"  VU2UR
OPERATORS: VU2UR
SOAPBOX:  USED FT757GX,  5W; INV VEE ANTENNA. I  THANK ALL EA OPS WHO COULD COPY MY SIGNALS
SOAPBOX:  WAS LUCKY TO WORK  THIS TIME WITH  MANY POWER CUTS.
QSO:  28015 CW 2015-05-16 1330	VU2UR	599  001	EF5R	599  A
QSO:  21038 CW 2015-05-16 1338	VU2UR	599  002	EA5YU	599  MU
QSO:  21023 CW 2015-05-16 1343	VU2UR	599  003	AO150V	599  CA
QSO:  21018 CW 2015-05-16 1556	VU2UR	599  004	AO150A	599  C
QSO:  14036 CW 2015-05-16 1732	VU2UR	599  005	AO150A	599  C
QSO:  14029 CW 2015-05-16 1738	VU2UR	599  006	EA5WU	599  CS
QSO:  14034 CW 2015-05-16 1743	VU2UR	599  007	EA1AUS	599  SA
QSO:  14034 CW 2015-05-17 0032	VU2UR	599  008	EF8U	599  GC
QSO:  28031 CW 2015-05-17 1144	VU2UR	599  009	EA5BY	599  A
QSO:  21010 CW 2015-05-17 1152	VU2UR	599  010	EF0F	599  SMR
END-OF-LOG: 



