START-OF-LOG: 3.0
CALLSIGN: W2MFT
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 54810
CLUB: Western New York DX Association
CREATED-BY: RUMped by DL2RUM
NAME: Mark F. Tattenbaum, M.F.A.
SOAPBOX: Back on air after 15 years. I put up vertical antenna on 3/1
SOAPBOX: 9/2010. First QRP contest ever. It makes each contact "Rare
SOAPBOX: DX" The VK contact on 40 meters was amazing!. Will do better
SOAPBOX:  next time HiHi.  I selected the TB wires overlay because I
SOAPBOX: used only a 4 band vertical antenna.  Had much fun thank you
SOAPBOX:  and 73 Doc (Mark)
LOCATION: WNY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-STATION: FIXED
CONTEST: CQ-WPX-SSB
QSO: 14000 PH 2010-03-27 0000 W2MFT         59     001 TO7A          59     000 0
QSO: 14000 PH 2010-03-27 0002 W2MFT         59     002 K6HNZ         59     002 0
QSO: 14000 PH 2010-03-27 0005 W2MFT         59     003 XE1F          59     004 0
QSO: 14000 PH 2010-03-27 0009 W2MFT         59     004 XE2ANT        59     003 0
QSO: 14000 PH 2010-03-27 0028 W2MFT         59     005 KP3Z          59     121 0
QSO: 14000 PH 2010-03-27 0048 W2MFT         59     006 NP4G          59     024 0
QSO: 14000 PH 2010-03-27 0054 W2MFT         59     007 K5NZ          59     113 0
QSO: 14000 PH 2010-03-27 0057 W2MFT         59     008 WC6H          59     112 0
QSO: 14000 PH 2010-03-27 0107 W2MFT         59     009 8P5A          59     369 0
QSO: 14000 PH 2010-03-27 0133 W2MFT         59     010 KZ1W          59     137 0
QSO: 14000 PH 2010-03-27 0207 W2MFT         59     011 ZX2B          59     355 0
QSO: 14000 PH 2010-03-27 0220 W2MFT         59     012 WC5T          59     099 0
QSO: 14000 PH 2010-03-27 0238 W2MFT         59     013 VA6BSH        59     144 0
QSO: 14000 PH 2010-03-27 0239 W2MFT         59     014 VP50V         59     403 0
QSO: 14000 PH 2010-03-27 0243 W2MFT         59     015 VX6AO         59     226 0
QSO: 14000 PH 2010-03-27 0251 W2MFT         59     016 W7WA          59     476 0
QSO: 14000 PH 2010-03-27 0253 W2MFT         59     017 NK7U          59     350 0
QSO: 14000 PH 2010-03-27 0256 W2MFT         59     018 HI3CC         59     180 0
QSO: 14000 PH 2010-03-27 0305 W2MFT         59     019 KH7XS         59     645 0
QSO: 14000 PH 2010-03-27 0316 W2MFT         59     020 VC6R          59     414 0
QSO: 14000 PH 2010-03-27 0317 W2MFT         59     021 WS7X          59     219 0
QSO: 14000 PH 2010-03-27 0322 W2MFT         59     022 WH7V          59     748 0
QSO: 14000 PH 2010-03-27 0348 W2MFT         59     023 HI3TEJ        59     271 0
QSO: 14000 PH 2010-03-27 0349 W2MFT         59     024 WT6TT         59     080 0
QSO:  7000 PH 2010-03-27 0413 W2MFT         59     025 N8OO          59     622 0
QSO:  7000 PH 2010-03-27 0414 W2MFT         59     026 K5TR          59     601 0
QSO:  7000 PH 2010-03-27 0416 W2MFT         59     028 NN4F          59     194 0
QSO:  7000 PH 2010-03-27 0417 W2MFT         59     029 VE9ML         59     096 0
QSO:  7000 PH 2010-03-27 0418 W2MFT         59     030 KU8E          59     356 0
QSO:  7000 PH 2010-03-27 0424 W2MFT         59     031 W0BH          59     025 0
QSO:  7000 PH 2010-03-27 0428 W2MFT         59     032 KZ9O          59     406 0
QSO:  7000 PH 2010-03-27 0430 W2MFT         59     033 KV0K          59     434 0
QSO:  7000 PH 2010-03-27 0431 W2MFT         59     034 KV6O          59     030 0
QSO:  7000 PH 2010-03-27 0436 W2MFT         59     035 W7RN          59     151 0
QSO:  7000 PH 2010-03-27 0442 W2MFT         59     036 N9XBB         59     018 0
QSO:  7000 PH 2010-03-27 0513 W2MFT         59     037 NX0I          59     178 0
QSO:  7000 PH 2010-03-27 0519 W2MFT         59     038 ND2T          59     233 0
QSO:  7000 PH 2010-03-27 0523 W2MFT         59     039 N4NX          59     255 0
QSO:  7000 PH 2010-03-27 0525 W2MFT         59     040 P49Y          59     512 0
QSO:  7000 PH 2010-03-27 0528 W2MFT         59     041 VE7GL         59     503 0
QSO:  7000 PH 2010-03-27 0530 W2MFT         59     042 WY0B          59     092 0
QSO:  7000 PH 2010-03-27 0533 W2MFT         59     043 VG7G          59     094 0
QSO:  7000 PH 2010-03-27 0535 W2MFT         59     044 KQ7W          59     163 0
QSO:  7000 PH 2010-03-27 0604 W2MFT         59     045 K0CN          59     171 0
QSO:  7000 PH 2010-03-27 0606 W2MFT         59     046 K7RI          59     262 0
QSO:  7000 PH 2010-03-27 0621 W2MFT         59     047 PJ2T          59     571 0
QSO:  7000 PH 2010-03-27 0629 W2MFT         59     048 NX0X          59     681 0
QSO:  7000 PH 2010-03-27 0643 W2MFT         59     049 ZY7C          59     487 0
QSO:  7000 PH 2010-03-27 0645 W2MFT         59     050 KD9ST         59     675 0
QSO:  7000 PH 2010-03-27 0648 W2MFT         59     051 HI3K          59     224 0
QSO:  7000 PH 2010-03-27 0651 W2MFT         59     052 VE6FI         59     541 0
QSO:  7000 PH 2010-03-27 0654 W2MFT         59     053 KJ4CTS        59     085 0
QSO:  7000 PH 2010-03-27 0703 W2MFT         59     054 YV5AMH        59     288 0
QSO:  7000 PH 2010-03-27 0713 W2MFT         59     055 WG5J          59     527 0
QSO:  7000 PH 2010-03-27 0720 W2MFT         59     056 WQ6X          59     242 0
QSO:  7000 PH 2010-03-27 0726 W2MFT         59     057 N6WIN         59     312 0
QSO:  7000 PH 2010-03-27 0729 W2MFT         59     058 KH7XS         59    1365 0
QSO:  7000 PH 2010-03-27 0733 W2MFT         59     059 NC7M          59     348 0
QSO:  7000 PH 2010-03-27 0814 W2MFT         59     060 VK4KW         59     121 0
QSO:  7000 PH 2010-03-27 0823 W2MFT         59     061 CQ8X          59     900 0
QSO:  7000 PH 2010-03-27 0845 W2MFT         59     062 KJ4KVC        59     090 0
QSO:  7000 PH 2010-03-27 0850 W2MFT         59     063 N4PTC         59     165 0
QSO:  7000 PH 2010-03-27 0913 W2MFT         59     064 NQ41          59     669 0
QSO:  7000 PH 2010-03-27 0920 W2MFT         59     065 WB2REM        59     327 0
QSO:  7000 PH 2010-03-27 0923 W2MFT         59     066 WC5T          59     283 0
QSO:  7000 PH 2010-03-27 0925 W2MFT         59     067 K5ER          59     410 0
QSO:  7000 PH 2010-03-27 0943 W2MFT         59     068 KX7M          59     789 0
QSO:  7000 PH 2010-03-27 1003 W2MFT         59     069 V25Y          59     681 0
QSO:  7000 PH 2010-03-27 1011 W2MFT         59     070 NQ4U          59     425 0
QSO:  7000 PH 2010-03-27 1037 W2MFT         59     071 WZ4F          59     614 0
QSO:  7000 PH 2010-03-27 1042 W2MFT         59     072 W7EB          59     563 0
QSO: 14000 PH 2010-03-27 1118 W2MFT         59     073 OL4A          59     502 0
QSO: 14000 PH 2010-03-27 1123 W2MFT         59     074 OL1X          59     314 0
QSO: 14000 PH 2010-03-27 1142 W2MFT         59     075 EB8AH         59     605 0
QSO: 14000 PH 2010-03-27 1154 W2MFT         59     076 SN2B          59     646 0
QSO: 21000 PH 2010-03-27 1804 W2MFT         59     077 NF7E          59     266 0
QSO: 21000 PH 2010-03-27 1820 W2MFT         59     078 W7EB          59     854 0
QSO: 21000 PH 2010-03-27 1834 W2MFT         59     079 VC6R          59    1331 0
