START-OF-LOG: 3.0
CALLSIGN: KK7VL
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 15006
LOCATION: EWA
NAME: Jim Stewart
OPERATORS: KK7VL
SOAPBOX: Radio is a stock Yaesu FT-817ND. The antennas that I used were
SOAPBOX: phased 20m magnetic loops hung vertically between two 30 foot
SOAPBOX: masts over a ground screen and oriented East/West;phased 40m
SOAPBOX: Inverted Ls; phased 20m verticals; 160m loop.
SOAPBOX: Biggest thrill of the contest was to work Australia and Japan
SOAPBOX: on 40m with 3 watts output.
QSO:  14209 PH 2010-03-27 0111 KK7VL  59  001  NR5M   59  239
QSO:  14202 PH 2010-03-27 0119 KK7VL  59  002  N6WK   59  114
QSO:  14196 PH 2010-03-27 0140 KK7VL  59  003  KL7RA  59  256
QSO:  14194 PH 2010-03-27 0144 KK7VL  59  004  NQ4I   59  187
QSO:  14185 PH 2010-03-27 0153 KK7VL  59  005  KZ9O   59  209
QSO:  14187 PH 2010-03-27 0157 KK7VL  59  006  W0CEM  59  24
QSO:  14175 PH 2010-03-27 0200 KK7VL  59  007  WA7NB  59  92
QSO:  14184 PH 2010-03-27 0217 KK7VL  59  008  W5WZ   59  250
QSO:  14193 PH 2010-03-27 0223 KK7VL  59  009  VG3CCO 59  151
QSO:  14195 PH 2010-03-27 0226 KK7VL  59  010  N4ZZ   59  94
QSO:  14199 PH 2010-03-27 0229 KK7VL  59  011  UA0IT  59  80
QSO:  14226 PH 2010-03-27 0248 KK7VL  59  012  KC3R   59  275
QSO:  14297 PH 2010-03-27 0326 KK7VL  59  013  VX3AT  59  468
QSO:  14329 PH 2010-03-27 0346 KK7VL  59  014  E51COF 59  189
QSO:  7209  PH 2010-03-27 0420 KK7VL  59  015  NC4KW  59  155
QSO:  7199  PH 2010-03-27 0425 KK7VL  59  016  KV6O   59  14
QSO:  3787  PH 2010-03-27 0441 KK7VL  59  017  ND2T   59  22
QSO:  3782  PH 2010-03-27 0449 KK7VL  59  018  VA6BSH 59  291
QSO:  3772  PH 2010-03-27 0455 KK7VL  59  019  NR6O   59  112
QSO:  3766  PH 2010-03-27 0459 KK7VL  59  020  WC6H   59  163
QSO:  1850  PH 2010-03-27 0503 KK7VL  59  021  VG7G   59  8
QSO:  3751  PH 2010-03-27 0513 KK7VL  59  022  KZ2V   59  35
QSO:  3786  PH 2010-03-27 0523 KK7VL  59  023  KX7M   59  454
QSO:  7165  PH 2010-03-27 0526 KK7VL  59  024  WH7V   59  1063
QSO:  3778  PH 2010-03-27 1309 KK7VL  59  025  KK7OO  59  233
QSO:  3775  PH 2010-03-27 1312 KK7VL  59  026  NG7Z   59  158
QSO:  3772  PH 2010-03-27 1314 KK7VL  59  027  AK6M   59  335
QSO:  7177  PH 2010-03-27 1342 KK7VL  59  028  KV0K   59  1173
QSO:  7181  PH 2010-03-27 1347 KK7VL  59  029  KZ2V   59  662
QSO:  7186  PH 2010-03-27 1352 KK7VL  59  030  KL7OU  59  206
QSO:  7187  PH 2010-03-27 1355 KK7VL  59  031  KX7M   59  1105
QSO:  7192  PH 2010-03-27 1359 KK7VL  59  032  JA0JHA 59  630
QSO:  7180  PH 2010-03-27 1411 KK7VL  59  033  W6TK   59  634
QSO:  7168  PH 2010-03-27 1427 KK7VL  59  034  JH4UYB 59  983
QSO:  7159  PH 2010-03-27 1431 KK7VL  59  035  JI2ZJS 59  813
QSO:  7182  PH 2010-03-27 1444 KK7VL  59  036  KC6X   59  323
QSO:  7189  PH 2010-03-27 1449 KK7VL  59  037  W7RN   59  669
QSO:  14235 PH 2010-03-27 1549 KK7VL  59  038  WB0YYE 59  76
QSO:  7180  PH 2010-03-27 1632 KK7VL  59  039  NR6O   59  683
QSO:  14165 PH 2010-03-27 2355 KK7VL  59  040  WR3Z   59  2037
QSO:  14183 PH 2010-03-28 0017 KK7VL  59  041  KG0F   59  1442
QSO:  14210 PH 2010-03-28 0029 KK7VL  59  042  KC6X   59  731
QSO:  14213 PH 2010-03-28 0032 KK7VL  59  043  K0CH   59  540
QSO:  14225 PH 2010-03-28 0039 KK7VL  59  044  NN5Z   59  428
QSO:  14227 PH 2010-03-28 0043 KK7VL  59  045  K5PI   59  366
QSO:  14238 PH 2010-03-28 0050 KK7VL  59  046  WB9Z   59  2010
QSO:  14266 PH 2010-03-28 0106 KK7VL  59  047  KC0MO  59  1026
QSO:  14273 PH 2010-03-28 0112 KK7VL  59  048  JH4UYB 59  1582
QSO:  14289 PH 2010-03-28 0124 KK7VL  59  049  W6TK   59  1115
QSO:  14297 PH 2010-03-28 0132 KK7VL  59  050  NX0X   59  1899
QSO:  14312 PH 2010-03-28 0140 KK7VL  59  051  JI2ZJS 59  1220
QSO:  14323 PH 2010-03-28 0147 KK7VL  59  052  N0MA   59  900
QSO:  14263 PH 2010-03-28 0215 KK7VL  59  053  AD8B   59  213
QSO:  14232 PH 2010-03-28 0232 KK7VL  59  054  AH6RR  59  687
QSO:  14178 PH 2010-03-28 0248 KK7VL  59  055  K5TR   59  2200
QSO:  14162 PH 2010-03-28 0252 KK7VL  59  056  AI5M   59  785
QSO:  3768  PH 2010-03-28 0632 KK7VL  59  057  VC6R   59  2111
QSO:  3759  PH 2010-03-28 0637 KK7VL  59  058  KQ7W   59  1191
QSO:  3781  PH 2010-03-28 0649 KK7VL  59  059  KV0K   59  2314
QSO:  3801  PH 2010-03-28 0657 KK7VL  59  060  VE7GL  59  2072
QSO:  3813  PH 2010-03-28 0706 KK7VL  59  061  WX7P   59  1213
QSO:  3767  PH 2010-03-28 0719 KK7VL  59  062  N7EKD  59  980
QSO:  1853  PH 2010-03-28 0731 KK7VL  59  063  W7RN   59  44
QSO:  1847  PH 2010-03-28 0737 KK7VL  59  064  NR6O   59  228
QSO:  7170  PH 2010-03-28 0751 KK7VL  59  065  WR3Z   59  2486
QSO:  7176  PH 2010-03-28 0802 KK7VL  59  066  NN1N   59  2769
QSO:  7192  PH 2010-03-28 0810 KK7VL  59  067  WX3B   59  1066
QSO:  7195  PH 2010-03-28 0812 KK7VL  59  068  KZ9O   59  1303
QSO:  7213  PH 2010-03-28 0819 KK7VL  59  069  VK1CC  59  461
QSO:  7215  PH 2010-03-28 0822 KK7VL  59  070  KL7RA  59  1180
QSO:  7222  PH 2010-03-28 0830 KK7VL  59  071  PJ2T   59  1508
QSO:  7235  PH 2010-03-28 0836 KK7VL  59  072  NQ4I   59  1637
QSO:  3769  PH 2010-03-28 0846 KK7VL  59  073  W7RN   59  428
QSO:  14181 PH 2010-03-28 1734 KK7VL  59  074  KH6MB  59  609
QSO:  14153 PH 2010-03-28 1746 KK7VL  59  075  AK6M   59  1050
QSO:  14194 PH 2010-03-28 1755 KK7VL  59  076  K6HNZ  59  818
QSO:  14222 PH 2010-03-28 1805 KK7VL  59  077  KH7XS  59  4220
QSO:  14260 PH 2010-03-28 1818 KK7VL  59  078  WY3P   59  3209
QSO:  14268 PH 2010-03-28 1835 KK7VL  59  079  KI6VC  59  294
QSO:  14284 PH 2010-03-28 1849 KK7VL  59  080  AL1G   59  638
END-OF-LOG:
