START-OF-LOG: 3.0
CREATED-BY: QARTest 2.5.4
CONTEST: CQ-WPX-SSB
CALLSIGN: IZ0MJE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 21424
NAME: Stefano Sinagra
SOAPBOX: 
SOAPBOX:
SOAPBOX: running 100w into a 24mt wire loop on all bands
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
QSO:  7000 PH 2010-03-27 0608 IZ0MJE        59     001 LZ9W          59     418
QSO:  7000 PH 2010-03-27 0610 IZ0MJE        59     002 ED1R          59     426
QSO:  7000 PH 2010-03-27 0618 IZ0MJE        59     003 HB9OCR        59     310
QSO:  7000 PH 2010-03-27 0622 IZ0MJE        59     004 IR9Y          59     323
QSO:  7000 PH 2010-03-27 0624 IZ0MJE        59     005 ED5CJX        59     299
QSO:  7000 PH 2010-03-27 0625 IZ0MJE        59     006 IO3J          59     401
QSO:  7000 PH 2010-03-27 0629 IZ0MJE        59     007 9A3B          59     458
QSO:  7000 PH 2010-03-27 0630 IZ0MJE        59     008 OL4A          59     645
QSO:  7000 PH 2010-03-27 0650 IZ0MJE        59     009 YT8A          59     734
QSO:  7000 PH 2010-03-27 0655 IZ0MJE        59     010 3V8BB         59     379
QSO:  7000 PH 2010-03-27 0658 IZ0MJE        59     011 YT5C          59     335
QSO:  7000 PH 2010-03-27 0711 IZ0MJE        59     012 YT5A          59     495
QSO:  7000 PH 2010-03-27 0716 IZ0MJE        59     013 EI9E          59     149
QSO:  7000 PH 2010-03-27 0722 IZ0MJE        59     014 Z30A          59     233
QSO:  7000 PH 2010-03-27 0728 IZ0MJE        59     015 S51CK         59     307
QSO:  7000 PH 2010-03-27 0729 IZ0MJE        59     016 S52ZW         59     409
QSO:  7000 PH 2010-03-27 0902 IZ0MJE        59     017 IV3YYK        59     340
QSO:  7000 PH 2010-03-27 0907 IZ0MJE        59     018 DL5GAC        59     128
QSO:  7000 PH 2010-03-27 0908 IZ0MJE        59     019 IR9P          59     170
QSO:  7000 PH 2010-03-27 0910 IZ0MJE        59     020 IQ1RY         59     768
QSO:  7000 PH 2010-03-27 0914 IZ0MJE        59     021 OM3KXX        59     157
QSO:  7000 PH 2010-03-27 0917 IZ0MJE        59     022 IO3B          59     193
QSO: 14000 PH 2010-03-27 0925 IZ0MJE        59     023 MI0M          59     192
QSO: 14000 PH 2010-03-27 0927 IZ0MJE        59     024 P33W          59     716
QSO: 14000 PH 2010-03-27 0930 IZ0MJE        59     025 UX1UF         59     401
QSO: 14000 PH 2010-03-27 0937 IZ0MJE        59     026 EB8AH         59     462
QSO: 14000 PH 2010-03-27 0938 IZ0MJE        59     027 TM77M         59     389
QSO: 14000 PH 2010-03-27 0940 IZ0MJE        59     028 DK2OY         59     324
QSO: 14000 PH 2010-03-27 0940 IZ0MJE        59     029 UW2I          59     733
QSO: 14000 PH 2010-03-27 0942 IZ0MJE        59     030 GB2DX         59     126
QSO: 14000 PH 2010-03-27 0942 IZ0MJE        59     031 PI4COM        59     187
QSO: 14000 PH 2010-03-27 0950 IZ0MJE        59     032 OZ7A          59     103
QSO: 14000 PH 2010-03-27 0959 IZ0MJE        59     033 CR6P          59     074
QSO: 14000 PH 2010-03-27 1002 IZ0MJE        59     034 TM1W          59     357
QSO: 14000 PH 2010-03-27 1010 IZ0MJE        59     035 LY1AKM        59     102
QSO: 14000 PH 2010-03-27 1018 IZ0MJE        59     036 NN1N          59     938
QSO: 14000 PH 2010-03-27 1049 IZ0MJE        59     037 SP7IDX        59     143
QSO: 14000 PH 2010-03-27 1051 IZ0MJE        59     038 HF4K          59     310
QSO: 14000 PH 2010-03-27 1051 IZ0MJE        59     039 YR8B          59     355
QSO: 14000 PH 2010-03-27 1055 IZ0MJE        59     040 7S0X          59     520
QSO: 14000 PH 2010-03-27 1059 IZ0MJE        59     041 G2FM          59     193
QSO: 14000 PH 2010-03-27 1059 IZ0MJE        59     042 ES5G          59     275
QSO: 28000 PH 2010-03-27 1547 IZ0MJE        59     043 ZS2DL         59     108
QSO: 21000 PH 2010-03-27 1559 IZ0MJE        59     044 VX3AP         59     935
QSO: 21000 PH 2010-03-27 1626 IZ0MJE        59     045 PY5GA         59    1116
QSO: 21000 PH 2010-03-27 1629 IZ0MJE        59     046 CQ3L          59    1657
QSO: 14000 PH 2010-03-27 1651 IZ0MJE        59     047 RN3ZC         59     258
QSO: 14000 PH 2010-03-27 1652 IZ0MJE        59     048 LN5O          59     238
QSO: 14000 PH 2010-03-27 1657 IZ0MJE        59     049 LY6A          59    1198
