START-OF-LOG: 3.0
CATEGORY: Single-OP low
CONTEST: WAE RTTY
ARRL-SECTION: MDC
CREATED-BY: SkookumLogger 3.2.3 on macOS 11.6.0, http://www.k1gq.com/SkookumLogger/index.html, modified by DXHF upload.
CALLSIGN: AC5XK
CLAIMED-SCORE: 0
LOCATION: DC
CLUB: Potomac Valley Radio Club
ADDRESS-CITY: Washington
ADDRESS-STATE-PROVINCE: DC
ADDRESS-POSTALCODE: 20009
ADDRESS-COUNTRY: USA
GRID-LOCATOR: FM18lv
OPERATORS: AC5XK @AC5XK
CERTIFICATE: NO
QSO:  3586 RY 2021-11-13 0118 AC5XK         599 001    W4PK          599 085
QSO:  3590 RY 2021-11-13 0124 AC5XK         599 002    AI9T          599 070
QSO:  7061 RY 2021-11-13 0128 AC5XK         599 003    N3ND          599 038
QSO:  7063 RY 2021-11-13 0131 AC5XK         599 004    SN7Q          599 167
QSO:  7039 RY 2021-11-13 0135 AC5XK         599 005    W7RN          599 128
QSO:  3582 RY 2021-11-13 0139 AC5XK         599 006    VE3MGY        599 033
QSO:  7061 RY 2021-11-13 0144 AC5XK         599 007    AA5AU         599 031
QSO:  3583 RY 2021-11-13 0146 AC5XK         599 008    WA3ZSC        599 030
QSO:  3592 RY 2021-11-13 0147 AC5XK         599 009    VE3JI         599 047
QSO:  3593 RY 2021-11-13 0148 AC5XK         599 010    N3QE          599 067
QSO:  3591 RY 2021-11-13 0151 AC5XK         599 011    K4HMB         599 030
QSO:  3588 RY 2021-11-13 0153 AC5XK         599 012    WQ5OO         599 026
QSO:  3584 RY 2021-11-13 0158 AC5XK         599 013    VA3DF         599 042
QSO:  3598 RY 2021-11-13 0159 AC5XK         599 014    N2BJ          599 047
QSO:  3585 RY 2021-11-13 0206 AC5XK         599 015    N4IQ          599 043
QSO:  3587 RY 2021-11-13 0208 AC5XK         599 016    N6AR          599 136
QSO:  7061 RY 2021-11-13 0214 AC5XK         599 017    N4CW          599 034
QSO:  3582 RY 2021-11-13 0218 AC5XK         599 018    NJ4P          599 158
QSO:  3585 RY 2021-11-13 0223 AC5XK         599 019    KB8O          599 052
QSO:  3584 RY 2021-11-13 0224 AC5XK         599 020    KM6Z          599 039
QSO:  7068 RY 2021-11-13 0227 AC5XK         599 021    F6AGM         599 152
QSO:  7060 RY 2021-11-13 0229 AC5XK         599 022    DQ2C          599 134
QSO:  3596 RY 2021-11-13 0234 AC5XK         599 023    K0ZR          599 090
QSO:  3578 RY 2021-11-13 0237 AC5XK         599 024    AB8M          599 053
QSO:  3581 RY 2021-11-13 0240 AC5XK         599 025    HI3AA         599 005
QSO:  3592 RY 2021-11-13 0243 AC5XK         599 026    K9OM          599 088
QSO:  3593 RY 2021-11-13 0245 AC5XK         599 027    N7WY          599 128
QSO:  7054 RY 2021-11-13 0248 AC5XK         599 028    S51A          599 169
