START-OF-LOG: 3.0
LOCATION: IL
CALLSIGN: K9GY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 40920
CLUB: Society of Midwest Contesters
CONTEST: CQ-WW-RTTY
CREATED-BY: WriteLog V11.22G
NAME: Eric Hall
OPERATORS: K9GY
SOAPBOX: First RTTY contest after being a ham for 37 years! FUN!
QSO: 14124 RY 2014-09-27 1056 K9GY          599     04 IL     VA2UP         599 5      QC
QSO: 14111 RY 2014-09-27 1244 K9GY          599     04 IL     RW0A          599 18     DX
QSO: 14114 RY 2014-09-27 1329 K9GY          599     04 IL     NR5M          599 4      TX
QSO: 21092 RY 2014-09-27 1340 K9GY          599     04 IL     YW4D          599 9      DX
QSO: 21126 RY 2014-09-27 1346 K9GY          599     04 IL     HG1S          599 15     DX
QSO: 21141 RY 2014-09-27 1355 K9GY          599     04 IL     GW0A          599 14     DX
QSO: 28088 RY 2014-09-27 1407 K9GY          599     04 IL     DM5TI         599 14     DX
QSO: 28090 RY 2014-09-27 1409 K9GY          599     04 IL     P49X          599 9      DX
QSO: 28116 RY 2014-09-27 2217 K9GY          599     04 IL     PR2O          599 11     DX
QSO: 28122 RY 2014-09-27 2223 K9GY          599     04 IL     W7ZR          599 3      AZ
QSO: 28128 RY 2014-09-27 2224 K9GY          599     04 IL     PY4XX         599 11     DX
QSO: 28108 RY 2014-09-27 2234 K9GY          599     04 IL     W7RN          599 3      NV
QSO: 28101 RY 2014-09-27 2236 K9GY          599     04 IL     KL7IWC        599 1      DX
QSO: 28086 RY 2014-09-27 2239 K9GY          599     04 IL     CO3GD         599 8      DX
QSO: 28107 RY 2014-09-27 2245 K9GY          599     04 IL     CA3SOC        599 12     DX
QSO: 28112 RY 2014-09-27 2247 K9GY          599     04 IL     YS1/NP3J      599 7      DX
QSO: 28117 RY 2014-09-27 2250 K9GY          599     04 IL     3G3O          599 12     DX
QSO: 28119 RY 2014-09-27 2253 K9GY          599     04 IL     WN6K          599 3      CA
QSO: 28099 RY 2014-09-27 2304 K9GY          599     04 IL     K7BTW         599 3      WA
QSO: 28102 RY 2014-09-27 2306 K9GY          599     04 IL     KH7XX         599 31     DX
QSO: 28093 RY 2014-09-27 2329 K9GY          599     04 IL     K9CT          599 4      IL
QSO: 28090 RY 2014-09-27 2330 K9GY          599     04 IL     K7AR          599 3      WA
QSO: 28096 RY 2014-09-27 2333 K9GY          599     04 IL     W6OTC         599 3      CA
QSO: 28097 RY 2014-09-27 2334 K9GY          599     04 IL     L27D          599 13     DX
QSO: 21126 RY 2014-09-27 2345 K9GY          599     04 IL     PS2R          599 11     DX
QSO: 21111 RY 2014-09-27 2349 K9GY          599     04 IL     KH7XX         599 31     DX
QSO: 21123 RY 2014-09-28 0159 K9GY          599     04 IL     JK1OLT        599 25     DX
QSO: 21088 RY 2014-09-28 0204 K9GY          599     04 IL     ZL3JT         599 32     DX
QSO: 21089 RY 2014-09-28 0205 K9GY          599     04 IL     J35X          599 8      DX
QSO: 21082 RY 2014-09-28 0208 K9GY          599     04 IL     YY5JAK        599 9      DX
QSO: 21084 RY 2014-09-28 0209 K9GY          599     04 IL     K3EST         599 3      CA
QSO: 21080 RY 2014-09-28 0211 K9GY          599     04 IL     VA7ST         599 3      BC
QSO:  7050 RY 2014-09-28 0221 K9GY          599     04 IL     VP9I          599 5      DX
QSO:  7052 RY 2014-09-28 0223 K9GY          599     04 IL     PJ5/OL8R      599 8      DX
QSO:  7054 RY 2014-09-28 0227 K9GY          599     04 IL     K1SD          599 5      RI
QSO:  7060 RY 2014-09-28 0229 K9GY          599     04 IL     VE3UTT        599 4      ON
QSO:  7067 RY 2014-09-28 0231 K9GY          599     04 IL     EI7M          599 14     DX
QSO:  7063 RY 2014-09-28 0233 K9GY          599     04 IL     P40HF         599 9      DX
QSO:  7061 RY 2014-09-28 0238 K9GY          599     04 IL     NN1SS         599 5      NH
QSO:  7045 RY 2014-09-28 0245 K9GY          599     04 IL     LX7I          599 14     DX
QSO:  7044 RY 2014-09-28 0255 K9GY          599     04 IL     NR4M          599 5      VA
QSO:  7049 RY 2014-09-28 0306 K9GY          599     04 IL     K4LTE         599 5      NC
QSO:  7055 RY 2014-09-28 0312 K9GY          599     04 IL     DD1A          599 14     DX
QSO: 14090 RY 2014-09-28 0357 K9GY          599     04 IL     AI6YL         599 3      WA
QSO:  7047 RY 2014-09-28 1236 K9GY          599     04 IL     NJ4U          599 5      GA
QSO:  7046 RY 2014-09-28 1237 K9GY          599     04 IL     WN1G          599 4      AL
QSO:  7045 RY 2014-09-28 1245 K9GY          599     04 IL     NR5M          599 4      TX
QSO: 14119 RY 2014-09-28 1325 K9GY          599     04 IL     NU4Y          599 5      FL
QSO: 14083 RY 2014-09-28 1328 K9GY          599     04 IL     KC4HW         599 4      AL
QSO: 14084 RY 2014-09-28 1329 K9GY          599     04 IL     KK4EIR        599 5      VA
QSO: 14110 RY 2014-09-28 1330 K9GY          599     04 IL     AD4ES         599 5      FL
QSO: 14089 RY 2014-09-28 1334 K9GY          599     04 IL     AK5Y          599 4      TX
QSO: 21115 RY 2014-09-28 1342 K9GY          599     04 IL     EF8S          599 33     DX
QSO: 21082 RY 2014-09-28 1344 K9GY          599     04 IL     9A1A          599 15     DX
QSO: 21087 RY 2014-09-28 1346 K9GY          599     04 IL     S51AF         599 15     DX
QSO: 21088 RY 2014-09-28 1350 K9GY          599     04 IL     S50R          599 15     DX
QSO: 21085 RY 2014-09-28 1407 K9GY          599     04 IL     N4BP          599 5      FL
QSO: 21084 RY 2014-09-28 1424 K9GY          599     04 IL     9A0Z          599 15     DX
QSO: 21090 RY 2014-09-28 1425 K9GY          599     04 IL     LX7I          599 14     DX
QSO: 21089 RY 2014-09-28 1448 K9GY          599     04 IL     NR5M          599 4      TX
QSO: 21093 RY 2014-09-28 1451 K9GY          599     04 IL     CO3GD         599 8      DX
QSO: 21095 RY 2014-09-28 1455 K9GY          599     04 IL     C37NL         599 14     DX
QSO: 21094 RY 2014-09-28 1456 K9GY          599     04 IL     EC2DX         599 14     DX
QSO: 21098 RY 2014-09-28 1500 K9GY          599     04 IL     9A5D          599 15     DX
QSO: 21093 RY 2014-09-28 1501 K9GY          599     04 IL     EA3EZD        599 14     DX
QSO: 21135 RY 2014-09-28 1506 K9GY          599     04 IL     EA1AP         599 14     DX
QSO: 21156 RY 2014-09-28 1509 K9GY          599     04 IL     VE9DX         599 5      NB
QSO: 21145 RY 2014-09-28 1514 K9GY          599     04 IL     DD1JN         599 14     DX
QSO: 21144 RY 2014-09-28 1516 K9GY          599     04 IL     F5LEN         599 14     DX
QSO: 21142 RY 2014-09-28 1520 K9GY          599     04 IL     GM3W          599 14     DX
QSO: 21133 RY 2014-09-28 1523 K9GY          599     04 IL     HA8JV         599 15     DX
QSO: 21122 RY 2014-09-28 1543 K9GY          599     04 IL     M0OSH         599 14     DX
QSO: 21121 RY 2014-09-28 1555 K9GY          599     04 IL     WP3C          599 8      DX
QSO: 28148 RY 2014-09-28 1606 K9GY          599     04 IL     CO8ZZ         599 8      DX
QSO: 28088 RY 2014-09-28 1641 K9GY          599     04 IL     NT6K          599 3      CA
QSO: 28077 RY 2014-09-28 1648 K9GY          599     04 IL     F5MUX         599 14     DX
QSO: 28146 RY 2014-09-28 1654 K9GY          599     04 IL     ZF2AV         599 8      DX
QSO: 28138 RY 2014-09-28 1655 K9GY          599     04 IL     NP4EG         599 8      PR
QSO: 28125 RY 2014-09-28 1658 K9GY          599     04 IL     WS7V          599 3      WA
QSO: 28114 RY 2014-09-28 1659 K9GY          599     04 IL     K6HGF         599 3      CA
QSO: 28106 RY 2014-09-28 1705 K9GY          599     04 IL     N7BT          599 3      WA
QSO: 28104 RY 2014-09-28 1706 K9GY          599     04 IL     AE7DW         599 3      AZ
QSO: 28098 RY 2014-09-28 1709 K9GY          599     04 IL     IQ9UI         599 15     DX
QSO: 28096 RY 2014-09-28 1718 K9GY          599     04 IL     WO7R          599 3      AZ
QSO: 28093 RY 2014-09-28 1728 K9GY          599     04 IL     W7TSQ         599 3      WA
QSO: 28085 RY 2014-09-28 1732 K9GY          599     04 IL     NN6XX         599 3      CA
QSO: 28120 RY 2014-09-28 1735 K9GY          599     04 IL     F5VKT         599 14     DX
QSO: 28080 RY 2014-09-28 1741 K9GY          599     04 IL     N6IE          599 3      CA
QSO: 28075 RY 2014-09-28 1742 K9GY          599     04 IL     EA8MT         599 33     DX
QSO: 28090 RY 2014-09-28 1818 K9GY          599     04 IL     OA6Q          599 10     DX
QSO: 28091 RY 2014-09-28 1819 K9GY          599     04 IL     VE7SZ         599 3      BC
QSO: 28110 RY 2014-09-28 1824 K9GY          599     04 IL     VE7SV         599 3      BC
QSO: 28101 RY 2014-09-28 1826 K9GY          599     04 IL     EE3R          599 14     DX
QSO: 28100 RY 2014-09-28 1827 K9GY          599     04 IL     EA4GEL        599 14     DX
QSO: 28106 RY 2014-09-28 1830 K9GY          599     04 IL     CT1AOZ        599 14     DX
QSO: 28113 RY 2014-09-28 1836 K9GY          599     04 IL     CR3A          599 33     DX
QSO: 21080 RY 2014-09-28 1841 K9GY          599     04 IL     EF1A          599 14     DX
QSO: 21084 RY 2014-09-28 1845 K9GY          599     04 IL     IQ9UI         599 14     DX
QSO: 21086 RY 2014-09-28 1847 K9GY          599     04 IL     DM2DXA        599 14     DX
QSO: 21148 RY 2014-09-28 1853 K9GY          599     04 IL     YV5AAX        599 9      DX
QSO: 21140 RY 2014-09-28 1856 K9GY          599     04 IL     WB3JFS        599 3      NV
QSO: 21138 RY 2014-09-28 1857 K9GY          599     04 IL     W6OTC         599 3      CA
QSO: 21132 RY 2014-09-28 1859 K9GY          599     04 IL     EI2II         599 14     DX
QSO: 21128 RY 2014-09-28 1909 K9GY          599     04 IL     S57AW         599 15     DX
QSO: 21127 RY 2014-09-28 1910 K9GY          599     04 IL     DL9NCR        599 14     DX
QSO: 21125 RY 2014-09-28 1933 K9GY          599     04 IL     YY5JAK        599 9      DX
QSO: 21120 RY 2014-09-28 1936 K9GY          599     04 IL     WX4G          599 5      FL
QSO: 21118 RY 2014-09-28 1945 K9GY          599     04 IL     EA8CYQ        599 33     DX
QSO: 21117 RY 2014-09-28 1946 K9GY          599     04 IL     N6OJ          599 3      CA
QSO: 21116 RY 2014-09-28 1948 K9GY          599     04 IL     N7BV          599 3      WA
QSO: 21115 RY 2014-09-28 1949 K9GY          599     04 IL     WB5TUF        599 4      TX
QSO: 21114 RY 2014-09-28 1951 K9GY          599     04 IL     GI4SNA        599 14     DX
QSO: 21113 RY 2014-09-28 1952 K9GY          599     04 IL     F5NBX         599 14     DX
QSO: 21112 RY 2014-09-28 1953 K9GY          599     04 IL     XE1EE         599 6      DX
QSO: 21110 RY 2014-09-28 1955 K9GY          599     04 IL     KI6VC         599 3      CA
QSO: 21109 RY 2014-09-28 1955 K9GY          599     04 IL     N2NS          599 3      CA
QSO: 21106 RY 2014-09-28 2003 K9GY          599     04 IL     CO2WL         599 8      DX
QSO: 21103 RY 2014-09-28 2006 K9GY          599     04 IL     PI4COM        599 14     DX
QSO: 21102 RY 2014-09-28 2010 K9GY          599     04 IL     EF8U          599 33     DX
QSO: 21100 RY 2014-09-28 2011 K9GY          599     04 IL     N5MOA         599 4      TX
QSO: 21100 RY 2014-09-28 2012 K9GY          599     04 IL     ED2C          599 14     DX
QSO: 21095 RY 2014-09-28 2014 K9GY          599     04 IL     IQ1RY         599 15     DX
QSO: 21092 RY 2014-09-28 2016 K9GY          599     04 IL     K5DU          599 4      TX
QSO: 21088 RY 2014-09-28 2019 K9GY          599     04 IL     PI4CG         599 14     DX
QSO: 21088 RY 2014-09-28 2020 K9GY          599     04 IL     CS5CRE        599 14     DX
QSO: 21087 RY 2014-09-28 2021 K9GY          599     04 IL     IZ4AFW        599 15     DX
QSO: 21086 RY 2014-09-28 2023 K9GY          599     04 IL     VE2CSI        599 2      QC
QSO: 21084 RY 2014-09-28 2025 K9GY          599     04 IL     K6MR          599 3      CA
QSO: 21083 RY 2014-09-28 2028 K9GY          599     04 IL     KF7PBM        599 3      WA
QSO: 21083 RY 2014-09-28 2031 K9GY          599     04 IL     DR5N          599 14     DX
QSO: 21083 RY 2014-09-28 2032 K9GY          599     04 IL     IT9BLB        599 15     DX
QSO: 21081 RY 2014-09-28 2034 K9GY          599     04 IL     CO8LY         599 8      DX
QSO: 21073 RY 2014-09-28 2035 K9GY          599     04 IL     F5MUX         599 14     DX
END-OF-LOG:
