START-OF-LOG: 3.0
CATEGORY: Portable, multi operator, high power, assisted
CONTEST: FD SSB
SPECIFIC: H10
CALLSIGN: DH1O/P
LOCATION: DX
CLAIMED-SCORE: 182280
CREATED-BY: HAM FIELDDAY VERSION 2021-2.0, modified by DXHF upload.
CLUB: DARC
OPERATORS: DL3KF, DB4AD, DB1BB, DC5LY, DL1AAA, DL4BS, DL8AAI, DL5AAR, DL1AX, DG5IU
QSO: 14000 PH  2021-09-04 1306 DH1O/P 59  001               IQ0PG/P        59  011
QSO: 14000 PH  2021-09-04 1308 DH1O/P 59  002               S54I/P         59  017
QSO: 14000 PH  2021-09-04 1310 DH1O/P 59  003               HB9BE/P        59  001
QSO: 14000 PH  2021-09-04 1313 DH1O/P 59  004               S50X/P         59  007
QSO: 14000 PH  2021-09-04 1315 DH1O/P 59  005               EI3Z/P         59  018
QSO: 14000 PH  2021-09-04 1318 DH1O/P 59  006               IQ1BD          59  026
QSO: 14000 PH  2021-09-04 1322 DH1O/P 59  007               S59DCD         59  023
QSO: 14000 PH  2021-09-04 1323 DH1O/P 59  008               DK0B/P         59  014
QSO: 14000 PH  2021-09-04 1325 DH1O/P 59  009               IK2IQD         59  005
QSO: 14000 PH  2021-09-04 1327 DH1O/P 59  010               SZ8LSV/P       59  029
QSO: 14000 PH  2021-09-04 1329 DH1O/P 59  011               S55W/P         59  043
QSO: 14000 PH  2021-09-04 1336 DH1O/P 59  012               IZ7FLP         59  025
QSO: 14000 PH  2021-09-04 1340 DH1O/P 59  013               LA1K/P         59  023
QSO: 14000 PH  2021-09-04 1350 DH1O/P 59  014               F8KKV          59  016
QSO: 14000 PH  2021-09-04 1351 DH1O/P 59  015               EO50FF         59  009
QSO: 14000 PH  2021-09-04 1353 DH1O/P 59  016               R3KBO/P        59  092
QSO: 14000 PH  2021-09-04 1357 DH1O/P 59  017               RA3AQ/P        59  063
QSO: 14000 PH  2021-09-04 1401 DH1O/P 59  018               7Z1IS          59  057
QSO: 14000 PH  2021-09-04 1408 DH1O/P 59  019               DD4IT/P        59  002
QSO: 14000 PH  2021-09-04 1408 DH1O/P 59  020               DG1VM/P        59  011
QSO: 14000 PH  2021-09-04 1411 DH1O/P 59  021               IZ1GCQ         59  003
QSO: 14000 PH  2021-09-04 1412 DH1O/P 59  022               DJ7XG          59  013
QSO: 14000 PH  2021-09-04 1414 DH1O/P 59  023               F1GRH          59  017
QSO: 14000 PH  2021-09-04 1415 DH1O/P 59  024               HB9HID/M       59  045
QSO: 14000 PH  2021-09-04 1416 DH1O/P 59  025               DL5NDD         59  004
QSO: 14000 PH  2021-09-04 1416 DH1O/P 59  026               DK0MN/P        59  053
QSO: 14000 PH  2021-09-04 1417 DH1O/P 59  027               DL0RT/P        59  065
QSO: 14000 PH  2021-09-04 1418 DH1O/P 59  028               DL7UP          59  016
QSO: 14000 PH  2021-09-04 1420 DH1O/P 59  029               DF0M/P         59  011
QSO: 14000 PH  2021-09-04 1421 DH1O/P 59  030               DG5DJ          59  007
QSO: 14000 PH  2021-09-04 1426 DH1O/P 59  031               G2DX/P         59  010
QSO: 14000 PH  2021-09-04 1430 DH1O/P 59  032               G1UBW/P        59  008
QSO: 14000 PH  2021-09-04 1434 DH1O/P 59  033               G5LO/P         59  017
QSO: 14000 PH  2021-09-04 1438 DH1O/P 59  034               DK0V/P         59  063
QSO: 14000 PH  2021-09-04 1441 DH1O/P 59  035               JH4YB          59  015
QSO: 14000 PH  2021-09-04 1445 DH1O/P 59  036               HB9AW/P        59  075
QSO: 14000 PH  2021-09-04 1455 DH1O/P 59  037               4X6DK          59  001
QSO: 14000 PH  2021-09-04 1504 DH1O/P 59  038               GM5G/P         59  142
QSO: 7000  PH  2021-09-04 1520 DH1O/P 59  039               DL6A/P         59  110
QSO: 7000  PH  2021-09-04 1525 DH1O/P 59  040               IQ1BD          59  114
QSO: 7000  PH  2021-09-04 1526 DH1O/P 59  041               DP6M/P         59  144
QSO: 7000  PH  2021-09-04 1530 DH1O/P 59  042               G3MDG/P        59  054
QSO: 7000  PH  2021-09-04 1532 DH1O/P 59  043               S54I/P         59  117
QSO: 7000  PH  2021-09-04 1533 DH1O/P 59  044               OZ9EDR/P       59  187
QSO: 7000  PH  2021-09-04 1534 DH1O/P 59  045               DK0MM/P        59  210
QSO: 7000  PH  2021-09-04 1535 DH1O/P 59  046               S55W/P         59  147
QSO: 7000  PH  2021-09-04 1537 DH1O/P 59  047               G5LO/P         59  029
QSO: 7000  PH  2021-09-04 1540 DH1O/P 59  048               DF0MN/P        59  101
QSO: 7000  PH  2021-09-04 1541 DH1O/P 59  049               SN7X/P         59  141
QSO: 7000  PH  2021-09-04 1542 DH1O/P 59  050               DR7B/P         59  059
QSO: 7000  PH  2021-09-04 1543 DH1O/P 59  051               DL0TE/P        59  039
QSO: 14000 PH  2021-09-04 1604 DH1O/P 59  052               EI1E/P         59  055
QSO: 7000  PH  2021-09-04 1609 DH1O/P 59  053               DK2A/P         59  097
QSO: 7000  PH  2021-09-04 1610 DH1O/P 59  054               DK0V/P         59  145
QSO: 7000  PH  2021-09-04 1612 DH1O/P 59  055               G5O/P          59  081
QSO: 7000  PH  2021-09-04 1616 DH1O/P 59  056               IW0SAG/P       59  101
QSO: 7000  PH  2021-09-04 1620 DH1O/P 59  057               HA5N/P         59  040
QSO: 7000  PH  2021-09-04 1624 DH1O/P 59  058               DL3E/P         59  097
QSO: 7000  PH  2021-09-04 1627 DH1O/P 59  059               LA1K/P         59  188
QSO: 7000  PH  2021-09-04 1633 DH1O/P 59  060               OE4C/P         59  108
QSO: 7000  PH  2021-09-04 1639 DH1O/P 59  061               M0XDX          59  006
QSO: 7000  PH  2021-09-04 1641 DH1O/P 59  062               G4HOM          59  007
QSO: 7000  PH  2021-09-04 1641 DH1O/P 59  063               G1K/P          59  122
QSO: 7000  PH  2021-09-04 1651 DH1O/P 59  064               IX1HPN         59  018
QSO: 7000  PH  2021-09-04 1654 DH1O/P 59  065               IQ0PG/P        59  287
QSO: 7000  PH  2021-09-04 1657 DH1O/P 59  066               G0MNN          59  010
QSO: 7000  PH  2021-09-04 1700 DH1O/P 59  067               G0FBB/P        59  074
QSO: 3500  PH  2021-09-04 1750 DH1O/P 59  068               ON4CPN/P       59  114
QSO: 3500  PH  2021-09-04 1756 DH1O/P 59  069               DC6RI          59  006
