START-OF-LOG: 3.0
CONTEST: EA-PSK63
CALLSIGN: PA0AWH
CATEGORY: SINGLE-OP ALL QRP
CATEGORY-BAND: ALL
CATEGORY-MODE: BPSK63
CATEGORY-POWER: 
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-ASSISTED: NON-ASSISTED
LOCATION: DX
CLUB:    DIGITAL MODES CLUB
NAME:    Ad van der Wielen
SOAPBOX: RIG: YAESU-FT817, 3 WATT IN PSK
SOAPBOX: ANTENNAS: SLOPING DELTA LOOP / WINDOM AS INV. VEE
QSO: 14000 PS 2022-03-12 1237 PA0AWH        599 001        ED1B          599 O           
QSO: 14000 PS 2022-03-12 1242 PA0AWH        599 002        YO4FPF        599 035        
QSO: 14000 PS 2022-03-12 1246 PA0AWH        599 003        RA1QFU        599 033        
QSO: 14000 PS 2022-03-12 1248 PA0AWH        599 004        EA1O          599 SG           
QSO: 14000 PS 2022-03-12 1251 PA0AWH        599 005        EA1LN         599 O           
QSO: 14000 PS 2022-03-12 1255 PA0AWH        599 006        EA4URE        599 HQ           
QSO: 14000 PS 2022-03-12 1258 PA0AWH        599 007        EA3NP         599 B           
QSO: 14000 PS 2022-03-12 1303 PA0AWH        599 008        EA1BAF        599 OU           
QSO: 14000 PS 2022-03-12 1307 PA0AWH        599 009        R4RB          599 030        
QSO: 14000 PS 2022-03-12 1312 PA0AWH        599 010        EA2ESB        599 TE           
QSO: 14000 PS 2022-03-12 1316 PA0AWH        599 011        YO5AXF        599 027        
QSO: 14000 PS 2022-03-12 1321 PA0AWH        599 012        LZ3QE         599 072        
QSO: 14000 PS 2022-03-12 1323 PA0AWH        599 013        EA7IEZ        599 MA           
QSO: 14000 PS 2022-03-12 1324 PA0AWH        599 014        LZ2JA         599 073        
QSO: 14000 PS 2022-03-12 1334 PA0AWH        599 015        CT7AJL        599 063        
QSO: 21000 PS 2022-03-12 1344 PA0AWH        599 016        P3AA          599 037        
QSO: 21000 PS 2022-03-12 1347 PA0AWH        599 017        RW6AVK        599 018        
QSO: 14000 PS 2022-03-12 1357 PA0AWH        599 018        EA5KE         599 V           
QSO: 14000 PS 2022-03-12 1401 PA0AWH        599 019        EA5DF         599 V           
QSO: 14000 PS 2022-03-12 1418 PA0AWH        599 020        YU7AOP        599 008        
QSO: 14000 PS 2022-03-12 1430 PA0AWH        599 021        EA4BAS        599 M           
QSO: 14000 PS 2022-03-12 1434 PA0AWH        599 022        EC3A          599 T           
QSO: 14000 PS 2022-03-12 1443 PA0AWH        599 023        EC6DX         599 IB           
QSO: 14000 PS 2022-03-12 1445 PA0AWH        599 024        EE4Y          599 TO           
QSO: 14000 PS 2022-03-12 1447 PA0AWH        599 025        EA1L          599 O           
QSO: 14000 PS 2022-03-12 1453 PA0AWH        599 026        TF2MSN        599 043        
QSO:  7000 PS 2022-03-12 1526 PA0AWH        599 027        F4FSY         599 093        
QSO:  7000 PS 2022-03-12 1527 PA0AWH        599 028        F4GWY         599 059        
QSO:  7000 PS 2022-03-12 1529 PA0AWH        599 029        EA3X          599 B           
QSO:  7000 PS 2022-03-12 1531 PA0AWH        599 030        EE4Y          599 TO           
QSO:  7000 PS 2022-03-12 1540 PA0AWH        599 031        EC3A          599 T           
QSO:  7000 PS 2022-03-12 1547 PA0AWH        599 032        F4GRW         599 032        
QSO:  3500 PS 2022-03-12 1738 PA0AWH        599 033        DO6SHB        599 005        
QSO:  7000 PS 2022-03-12 1747 PA0AWH        599 034        EA1U          599 S           
QSO:  7000 PS 2022-03-12 1752 PA0AWH        599 035        EA2DDE        599 NA           
QSO:  7000 PS 2022-03-12 1753 PA0AWH        599 036        EA1CH         599 OU           
QSO:  7000 PS 2022-03-12 1759 PA0AWH        599 037        C37AC         599 032        
QSO:  7000 PS 2022-03-12 1810 PA0AWH        599 038        RA1QFU        599 169        
QSO:  7000 PS 2022-03-13 0405 PA0AWH        599 039        EB5EEV        599 V           
QSO:  7000 PS 2022-03-13 0444 PA0AWH        599 040        EA7ELY        599 SE           
QSO:  7000 PS 2022-03-13 0455 PA0AWH        599 041        LZ7K          599 102        
QSO:  7000 PS 2022-03-13 0510 PA0AWH        599 042        LY2F          599 176        
QSO:  7000 PS 2022-03-13 0518 PA0AWH        599 043        YU1NR         599 135        
QSO:  7000 PS 2022-03-13 0531 PA0AWH        599 044        CT7AJL        599 357        
QSO:  7000 PS 2022-03-13 0543 PA0AWH        599 045        I0WBX         599 363        
QSO:  7000 PS 2022-03-13 0549 PA0AWH        599 046        EC6DX         599 IB           
QSO:  7000 PS 2022-03-13 0552 PA0AWH        599 047        HG3FMZ        599 206        
QSO:  7000 PS 2022-03-13 0555 PA0AWH        599 048        EA3X          599 B           
QSO:  7000 PS 2022-03-13 0605 PA0AWH        599 049        EA1IT         599 S           
QSO:  7000 PS 2022-03-13 0607 PA0AWH        599 050        EA4BAS        599 M           
QSO: 14000 PS 2022-03-13 0617 PA0AWH        599 051        IW8PQ         599 064        
QSO: 14000 PS 2022-03-13 0621 PA0AWH        599 052        SV2JAO        599 030        
QSO: 14000 PS 2022-03-13 0623 PA0AWH        599 053        LZ7K          599 119        
QSO: 14000 PS 2022-03-13 0630 PA0AWH        599 054        EW8DX         599 114        
QSO: 14000 PS 2022-03-13 0659 PA0AWH        599 055        UN7LV         599 049        
QSO: 14000 PS 2022-03-13 0713 PA0AWH        599 056        EA6SX         599 IB           
QSO:  7000 PS 2022-03-13 0835 PA0AWH        599 057        DK4RL         599 068        
QSO:  7000 PS 2022-03-13 0837 PA0AWH        599 058        OE3RTB        599 123        
QSO:  7000 PS 2022-03-13 0838 PA0AWH        599 059        SP3LGF        599 125        
QSO:  7000 PS 2022-03-13 0840 PA0AWH        599 060        SQ6PLE        599 176        
QSO:  7000 PS 2022-03-13 0843 PA0AWH        599 061        IK2SBB        599 218        
QSO: 14000 PS 2022-03-13 0848 PA0AWH        599 062        EA7TG         599 GR           
QSO: 14000 PS 2022-03-13 0849 PA0AWH        599 063        EB5EEV        599 V           
QSO: 14000 PS 2022-03-13 0853 PA0AWH        599 064        EA5JN         599 MU           
QSO: 14000 PS 2022-03-13 0855 PA0AWH        599 065        ED3D          599 GI           
QSO: 14000 PS 2022-03-13 0857 PA0AWH        599 066        EA2AR         599 NA           
QSO:  7000 PS 2022-03-13 0901 PA0AWH        599 067        DL4ME         599 035        
QSO:  7000 PS 2022-03-13 0903 PA0AWH        599 068        EB1HRW        599 VA           
QSO:  7000 PS 2022-03-13 0915 PA0AWH        599 069        DL3SYA        599 320        
QSO:  7000 PS 2022-03-13 0918 PA0AWH        599 070        F5PVK         599 083        
QSO:  7000 PS 2022-03-13 0923 PA0AWH        599 071        SE6K          599 115        
QSO: 14000 PS 2022-03-13 0930 PA0AWH        599 072        IK5FKF        599 198        
QSO: 14000 PS 2022-03-13 0932 PA0AWH        599 073        EA7KFX        599 CA           
QSO: 14000 PS 2022-03-13 0933 PA0AWH        599 074        EA2RCA        599 VI           
QSO: 14000 PS 2022-03-13 0937 PA0AWH        599 075        EW6DM         599 115        
QSO: 14000 PS 2022-03-13 0938 PA0AWH        599 076        EA1DA         599 LO           
QSO: 14000 PS 2022-03-13 0939 PA0AWH        599 077        EB5F          599 A           
END-OF-LOG:
