START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: EUHFC
CALLSIGN: UA3THY
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: UA3THY
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for EUHFC EUHFC/2016.
QSO: 14012 CW 2016-08-06 1301 UA3THY        599 05 DL3KWF        599 58
QSO: 14014 CW 2016-08-06 1305 UA3THY        599 50 UA6LCN        599 71
QSO: 14016 CW 2016-08-06 1307 UA3THY        599 05 YL2GD         599 73
QSO: 14002 CW 2016-08-06 1320 UA3THY        599 93 IZ1YPF        599 14
QSO: 14008 CW 2016-08-06 1323 UA3THY        599 93 S58M          599 82
QSO: 14015 CW 2016-08-06 1325 UA3THY        599 91 LY2J          599 84
QSO: 14023 CW 2016-08-06 1334 UA3THY        599 93 SQ9C          599 99
QSO: 14025 CW 2016-08-06 1337 UA3THY        599 93 M0VKY         599 06
QSO: 14026 CW 2016-08-06 1348 UA3THY        599 93 OH6BA         599 81
QSO: 14028 CW 2016-08-06 1353 UA3THY        599 93 MD4K          599 84
QSO: 14030 CW 2016-08-06 1354 UA3THY        599 93 LY5T          599 89
QSO: 14031 CW 2016-08-06 1357 UA3THY        599 93 LA8OM         599 69
QSO: 14032 CW 2016-08-06 1413 UA3THY        599 93 DQ6Q          599 79
QSO: 14026 CW 2016-08-06 1421 UA3THY        599 93 EA1XT         599 04
QSO: 14025 CW 2016-08-06 1423 UA3THY        599 93 RA7A          599 72
QSO: 14024 CW 2016-08-06 1424 UA3THY        599 93 SP2LNW        599 79
QSO: 14025 CW 2016-08-06 1427 UA3THY        599 93 DL2MDU        599 82
QSO: 14023 CW 2016-08-06 1433 UA3THY        599 93 IT9RBW        599 03
QSO: 14023 CW 2016-08-06 1435 UA3THY        599 93 S53F          599 83
QSO: 14021 CW 2016-08-06 1436 UA3THY        599 93 R7AB          599 82
QSO: 14020 CW 2016-08-06 1437 UA3THY        599 93 G5LP          599 82
QSO: 14019 CW 2016-08-06 1439 UA3THY        599 93 9A3VM         599 69
QSO: 14018 CW 2016-08-06 1446 UA3THY        599 93 DJ2QV         599 87
QSO: 14016 CW 2016-08-06 1449 UA3THY        599 93 R7AW          599 80
QSO: 14015 CW 2016-08-06 1451 UA3THY        599 93 RG6G          599 89
QSO: 14014 CW 2016-08-06 1453 UA3THY        599 93 HA1ZN         599 75
QSO: 14012 CW 2016-08-06 1455 UA3THY        599 93 SM2T          599 72
QSO: 14011 CW 2016-08-06 1457 UA3THY        599 93 PA3AAV        599 77
QSO: 14010 CW 2016-08-06 1458 UA3THY        599 93 RL4A          599 81
QSO: 14007 CW 2016-08-06 1500 UA3THY        599 93 S59AA         599 50
QSO: 14007 CW 2016-08-06 1503 UA3THY        599 93 M3I           599 91
QSO: 14006 CW 2016-08-06 1509 UA3THY        599 93 YT2AAA        599 07
QSO: 14005 CW 2016-08-06 1510 UA3THY        599 93 DK3T          599 90
QSO: 14000 CW 2016-08-06 1513 UA3THY        599 93 LY2NK         599 59
QSO: 14010 CW 2016-08-06 1518 UA3THY        599 93 LZ9W          599 89
QSO: 14012 CW 2016-08-06 1520 UA3THY        599 93 LY9Y          599 65
QSO: 14014 CW 2016-08-06 1523 UA3THY        599 93 HA1ZN         599 75
QSO: 14000 CW 2016-08-06 1526 UA3THY        599 93 EW3W          599 75
QSO: 14021 CW 2016-08-06 1532 UA3THY        599 93 DL5JQ         599 79
QSO: 14023 CW 2016-08-06 1534 UA3THY        599 93 LY6A          599 77
QSO: 14024 CW 2016-08-06 1534 UA3THY        599 93 UX4U          599 09
QSO: 14025 CW 2016-08-06 1537 UA3THY        599 93 HB9CA         599 77
QSO: 14027 CW 2016-08-06 1539 UA3THY        599 93 S53R          599 75
QSO: 14029 CW 2016-08-06 1633 UA3THY        599 93 PA5KT         599 86
QSO: 14030 CW 2016-08-06 1634 UA3THY        599 93 LY2AJ         599 12
QSO: 14031 CW 2016-08-06 1635 UA3THY        599 93 EV1R          599 87
QSO: 14032 CW 2016-08-06 1636 UA3THY        599 93 OH2PM         599 59
QSO: 14025 CW 2016-08-06 1642 UA3THY        599 93 HA8VK         599 78
QSO: 14034 CW 2016-08-06 1644 UA3THY        599 93 EU6AF         599 82
QSO: 14036 CW 2016-08-06 1645 UA3THY        599 93 SP7LIE        599 78
QSO: 14037 CW 2016-08-06 1646 UA3THY        599 93 F6HKA         599 81
QSO: 14039 CW 2016-08-06 1648 UA3THY        599 93 YP8T          599 84
QSO: 14039 CW 2016-08-06 1649 UA3THY        599 93 LY2GV         599 79
QSO: 14041 CW 2016-08-06 1652 UA3THY        599 93 UX1UF         599 01
QSO: 14041 CW 2016-08-06 1653 UA3THY        599 93 EU5C          599 90
QSO: 14042 CW 2016-08-06 1654 UA3THY        599 93 DL5YM         599 71
QSO: 14043 CW 2016-08-06 1655 UA3THY        599 93 YT0Z          599 75
QSO: 14000 CW 2016-08-06 1657 UA3THY        599 93 LY5A          599 70
QSO: 14045 CW 2016-08-06 1659 UA3THY        599 93 EW1FM         599 73
QSO: 14000 CW 2016-08-06 1703 UA3THY        599 93 EU6DX         599 69
QSO: 14047 CW 2016-08-06 1707 UA3THY        599 93 LA5O          599 94
QSO: 14049 CW 2016-08-06 1713 UA3THY        599 93 UU1CC/A       599 86
QSO: 14051 CW 2016-08-06 1713 UA3THY        599 93 UT5CW         599 68
QSO: 14054 CW 2016-08-06 1716 UA3THY        599 93 S52QM         599 81
QSO: 14000 CW 2016-08-06 1718 UA3THY        599 93 IT9SSI        599 94
QSO: 14057 CW 2016-08-06 1720 UA3THY        599 93 YT2T          599 98
QSO: 14065 CW 2016-08-06 1722 UA3THY        599 93 EW7M          599 86
QSO: 14000 CW 2016-08-06 1734 UA3THY        599 93 LY2DX         599 83
QSO: 14000 CW 2016-08-06 1735 UA3THY        599 90 RA1AL         599 79
QSO: 14006 CW 2016-08-06 1738 UA3THY        599 93 RZ3DJ         599 84
QSO: 14007 CW 2016-08-06 1741 UA3THY        599 93 RW7K          599 97
QSO: 14007 CW 2016-08-06 1742 UA3THY        599 93 UI2K          599 82
QSO: 14008 CW 2016-08-06 1743 UA3THY        599 93 EA5FID        599 92
QSO: 14010 CW 2016-08-06 1749 UA3THY        599 93 EI7KD         599 82
QSO: 14013 CW 2016-08-06 1752 UA3THY        599 93 S53V          599 65
QSO: 14013 CW 2016-08-06 1753 UA3THY        599 93 EU8U          599 79
QSO: 14000 CW 2016-08-06 1755 UA3THY        599 93 HA8FK         599 87
END-OF-LOG:
