START-OF-LOG: 2.0
CATEGORY: Multi-OP
CONTEST: WAE RTTY
ARRL-SECTION: MDC
CALLSIGN: N3DPB
CLUB: POTOMAC VALLEY RADIO CLUB
CLAIMED-SCORE: 474725
OPERATORS: N3DPB WA3EKL K0OO W3FP KC3IZX WT2F W3UL K3TBD KB3VQC KG4USN
CREATED-BY: N1MM Logger+ 1.0.6883.0, modified by DXHF upload.
QSO: 14085 RY 2017-11-11 0017 N3DPB         599 0001   KH6ZM         599 0018
QSO: 14084 RY 2017-11-11 0019 N3DPB         599 0002   K5AM          599 0028
QSO: 14090 RY 2017-11-11 0020 N3DPB         599 0003   4U1WB         599 0010
QSO:  3587 RY 2017-11-11 0021 N3DPB         599 0005   VE3CX         599 0018
QSO: 14086 RY 2017-11-11 0022 N3DPB         599 0004   W0MB          599 0013
QSO: 14087 RY 2017-11-11 0022 N3DPB         599 0006   KC0VTJ        599 0008
QSO: 14088 RY 2017-11-11 0024 N3DPB         599 0007   N6WT          599 0017
QSO: 14085 RY 2017-11-11 0024 N3DPB         599 0008   W0LSD         599 0016
QSO: 14082 RY 2017-11-11 0025 N3DPB         599 0009   W6SX          599 0030
QSO: 14086 RY 2017-11-11 0026 N3DPB         599 0010   K9NR          599 0024
QSO: 14095 RY 2017-11-11 0028 N3DPB         599 0011   AI9T          599 0021
QSO:  3581 RY 2017-11-11 0028 N3DPB         599 0012   SN7Q          599 0038
QSO:  3598 RY 2017-11-11 0030 N3DPB         599 0013   K3MD          599 0022
QSO: 14084 RY 2017-11-11 0036 N3DPB         599 0014   K6MMM         599 0048
QSO: 14089 RY 2017-11-11 0038 N3DPB         599 0015   N3RC          599 0013
QSO: 14092 RY 2017-11-11 0042 N3DPB         599 0016   AB4GG         599 0037
QSO: 14085 RY 2017-11-11 0048 N3DPB         599 0017   W5XB          599 0029
QSO:  3585 RY 2017-11-11 0048 N3DPB         599 0018   W4PK          599 0047
QSO: 14086 RY 2017-11-11 0051 N3DPB         599 0019   K9JWI         599 0031
QSO: 14091 RY 2017-11-11 0057 N3DPB         599 0021   VE2FK         599 0039
QSO:  7059 RY 2017-11-11 0103 N3DPB         599 0022   WB2COY        599 0019
QSO:  7059 RY 2017-11-11 0104 N3DPB         599 0023   CM8NMN        599 0006
QSO:  7059 RY 2017-11-11 0106 N3DPB         599 0024   VE3RZ         599 0004
QSO:  7059 RY 2017-11-11 0108 N3DPB         599 0026   W3FIZ         599 0036
QSO:  7059 RY 2017-11-11 0108 N3DPB         599 0028   VA3LR         599 0025
QSO:  7059 RY 2017-11-11 0109 N3DPB         599 0029   W0LSD         599 0046
QSO:  7059 RY 2017-11-11 0112 N3DPB         599 0030   W7VXS         599 0025
QSO:  7059 RY 2017-11-11 0113 N3DPB         599 0031   KS0M          599 0027
QSO:  7059 RY 2017-11-11 0113 N3DPB         599 0032   VE3CVP        599 0055
QSO:  7059 RY 2017-11-11 0116 N3DPB         599 0033   VA2ES         599 0059
QSO:  7059 RY 2017-11-11 0117 N3DPB         599 0034   N6AR          599 0038
QSO:  7059 RY 2017-11-11 0119 N3DPB         599 0036   N1FF          599 0010
QSO:  7059 RY 2017-11-11 0123 N3DPB         599 0037   K0JJR         599 0019
QSO:  7059 RY 2017-11-11 0124 N3DPB         599 0038   VE2BVV        599 0037
QSO:  7059 RY 2017-11-11 0124 N3DPB         599 0039   N3XLS         599 0028
QSO:  7059 RY 2017-11-11 0125 N3DPB         599 0040   K9JWI         599 0052
QSO:  7059 RY 2017-11-11 0125 N3DPB         599 0041   K5OA          599 0040
QSO:  7059 RY 2017-11-11 0126 N3DPB         599 0042   KX7L          599 0011
QSO:  7059 RY 2017-11-11 0127 N3DPB         599 0043   CO2YQ         599 0029
QSO:  7059 RY 2017-11-11 0127 N3DPB         599 0044   W7OM          599 0037
QSO:  7059 RY 2017-11-11 0128 N3DPB         599 0045   W4JSI         599 0029
QSO:  7059 RY 2017-11-11 0128 N3DPB         599 0046   N5VU          599 0004
QSO:  7059 RY 2017-11-11 0129 N3DPB         599 0047   WA4USA        599 0008
QSO:  7059 RY 2017-11-11 0130 N3DPB         599 0048   N1IXF         599 0047
QSO:  7059 RY 2017-11-11 0130 N3DPB         599 0049   K2MK          599 0014
QSO:  7059 RY 2017-11-11 0134 N3DPB         599 0050   W4EE          599 0027
QSO:  7059 RY 2017-11-11 0135 N3DPB         599 0051   WA1ZYX        599 0009
QSO:  7059 RY 2017-11-11 0136 N3DPB         599 0052   W7ZR          599 0082
QSO:  7059 RY 2017-11-11 0137 N3DPB         599 0053   VE3NE         599 0015
QSO:  7059 RY 2017-11-11 0138 N3DPB         599 0054   VE2EBK        599 0059
QSO:  7059 RY 2017-11-11 0139 N3DPB         599 0055   VE3BR         599 0021
QSO:  7059 RY 2017-11-11 0139 N3DPB         599 0056   KA1O          599 0049
QSO:  7059 RY 2017-11-11 0144 N3DPB         599 0057   WE6EZ         599 0023
QSO:  7059 RY 2017-11-11 0144 N3DPB         599 0058   VA2QR         599 0033
QSO:  7059 RY 2017-11-11 0147 N3DPB         599 0059   LY9Y          599 0052
QSO:  7059 RY 2017-11-11 0148 N3DPB         599 0060   N2WK          599 0046
QSO:  7059 RY 2017-11-11 0148 N3DPB         599 0061   K2AMI         599 0017
QSO:  7059 RY 2017-11-11 0150 N3DPB         599 0062   NC9W          599 0009
QSO:  7059 RY 2017-11-11 0152 N3DPB         599 0063   CO6XX         599 0001
QSO:  7059 RY 2017-11-11 0154 N3DPB         599 0064   K4HMB         599 0090
QSO:  7059 RY 2017-11-11 0155 N3DPB         599 0065   AF4RK         599 0066
QSO:  7059 RY 2017-11-11 0156 N3DPB         599 0066   CO6RD         599 0034
QSO:  7059 RY 2017-11-11 0157 N3DPB         599 0067   K7RI          599 0059
QSO:  7059 RY 2017-11-11 0157 N3DPB         599 0068   K2AL          599 0004
QSO:  7059 RY 2017-11-11 0158 N3DPB         599 0069   VE3TM         599 0022
QSO:  7059 RY 2017-11-11 0200 N3DPB         599 0070   VA1XH         599 0044
QSO:  7055 RY 2017-11-11 0203 N3DPB         599 0071   DM5TI         599 0085
QSO:  7057 RY 2017-11-11 0205 N3DPB         599 0072   KI6DY/0       599 0081
QSO:  3592 RY 2017-11-11 0208 N3DPB         599 0073   NN2NN         599 0063
QSO:  3597 RY 2017-11-11 0209 N3DPB         599 0074   VA2ES         599 0100
QSO:  3588 RY 2017-11-11 0210 N3DPB         599 0075   K4GMH         599 0094
QSO:  7045 RY 2017-11-11 0211 N3DPB         599 0077   EA1XT         599 0111
QSO:  3595 RY 2017-11-11 0211 N3DPB         599 0076   KD9MS         599 0123
