START-OF-LOG: 2.0
CATEGORY: Single-OP, high
CONTEST: WAE RTTY
CREATED-BY: Win-Test 4.21.0, modified by DXHF upload.
CALLSIGN: F5NBX
CLAIMED-SCORE: 640
OPERATORS:
CLUB: Les Nouvelles DX
QSO: 14081 RY 2017-11-12 0916 F5NBX         599 0001   P3X           599 1047
QSO: 14079 RY 2017-11-12 0920 F5NBX         599 0002   RA6LIS        599 179
QSO: 14082 RY 2017-11-12 0931 F5NBX         599 0003   ER5LL         599 155
QSO: 14082 RY 2017-11-12 0933 F5NBX         599 0004   RN2FA         599 030
QSO: 14082 RY 2017-11-12 0934 F5NBX         599 0005   UA3UBT        599 093
QSO: 14082 RY 2017-11-12 0935 F5NBX         599 0006   LZ1QV         599 389
QSO: 14082 RY 2017-11-12 0936 F5NBX         599 0007   YO4AAC        599 095
QSO: 14082 RY 2017-11-12 0939 F5NBX         599 0008   EA8URL        599 1181
QSO: 14082 RY 2017-11-12 0940 F5NBX         599 0009   YL3CU         599 142
QSO: 14082 RY 2017-11-12 0942 F5NBX         599 0010   UT7IS         599 199
QSO: 14082 RY 2017-11-12 0945 F5NBX         599 0011   LY2SA         599 485
QSO: 14082 RY 2017-11-12 0949 F5NBX         599 0012   SV1DPP        599 011
QSO: 14082 RY 2017-11-12 0949 F5NBX         599 0013   OF5Z          599 885
QSO: 14082 RY 2017-11-12 0952 F5NBX         599 0014   UA4FX         599 007
QSO: 14082 RY 2017-11-12 0958 F5NBX         599 0015   ES1BH         599 055
QSO: 14082 RY 2017-11-12 0958 F5NBX         599 0016   UX1CL         599 189
QSO: 14082 RY 2017-11-12 1001 F5NBX         599 0017   OM3R          599 255
QSO: 14082 RY 2017-11-12 1001 F5NBX         599 0018   SV9BMG        599 256
QSO: 14082 RY 2017-11-12 1003 F5NBX         599 0019   UT2SQ         599 088
QSO: 14082 RY 2017-11-12 1003 F5NBX         599 0020   TC10K         599 534
END-OF-LOG:
