START-OF-LOG: 2.0
CATEGORY: Multi-OP
CONTEST: WAE RTTY
CALLSIGN: LU1DBQ
CLUB:
CLAIMED-SCORE: 59616
OPERATORS: LU6DC LW2DQZ LU3EBT LU3DDP LW5DW LU3EGC LU6EAP LU3EBG LU8DZJ LW6ENV
CREATED-BY: N1MM Logger+ 1.0.6789.0, modified by DXHF upload.
QSO: 21080 RY 2017-11-11 1603 LU1DBQ        599 0008   PP1CZ         599 0017
QSO: 21080 RY 2017-11-11 1614 LU1DBQ        599 0009   EA8URL        599 0748
QSO: 21080 RY 2017-11-11 1619 LU1DBQ        599 0010   PY4XX         599 0051
QSO: 21080 RY 2017-11-11 1630 LU1DBQ        599 0011   LU9EHU        599 0008
QSO: 21080 RY 2017-11-11 1632 LU1DBQ        599 0012   PY1AN         599 0005
QSO: 21080 RY 2017-11-11 1651 LU1DBQ        599 0013   PU4ENY        599 0003
QSO: 21080 RY 2017-11-11 1654 LU1DBQ        599 0014   PY1ZV         599 0015
QSO: 21080 RY 2017-11-11 1707 LU1DBQ        599 0015   PX2A          599 0569
QSO: 21080 RY 2017-11-11 1725 LU1DBQ        599 0016   ZB2TT         599 0012
QSO: 21080 RY 2017-11-11 1728 LU1DBQ        599 0017   N6WT          599 0186
QSO: 21080 RY 2017-11-11 1729 LU1DBQ        599 0018   PY2MIA        599 0003
QSO: 21080 RY 2017-11-11 1735 LU1DBQ        599 0019   YV5AAX        599 0114
QSO: 21080 RY 2017-11-11 1743 LU1DBQ        599 0020   W4MYA         599 0344
QSO: 21080 RY 2017-11-11 1839 LU1DBQ        599 0021   CX2AQ         599 0048
QSO: 21080 RY 2017-11-11 1848 LU1DBQ        599 0022   LW9ETQ        599 0021
QSO: 28080 RY 2017-11-11 1851 LU1DBQ        599 0023   LU9EHU        599 0013
QSO: 21080 RY 2017-11-11 1906 LU1DBQ        599 0024   K4KGG         599 0081
QSO: 21080 RY 2017-11-11 1908 LU1DBQ        599 0025   W0LSD         599 0510
QTC: 21080 RY 2017-11-11 1909 W0LSD         1/10       LU1DBQ        1559 LW5DW         0001
QTC: 21080 RY 2017-11-11 1909 W0LSD         1/10       LU1DBQ        1603 PP1CZ         0017
QTC: 21080 RY 2017-11-11 1909 W0LSD         1/10       LU1DBQ        1614 EA8URL        0748
QTC: 21080 RY 2017-11-11 1909 W0LSD         1/10       LU1DBQ        1619 PY4XX         0051
QTC: 21080 RY 2017-11-11 1909 W0LSD         1/10       LU1DBQ        1630 LU9EHU        0008
QTC: 21080 RY 2017-11-11 1909 W0LSD         1/10       LU1DBQ        1632 PY1AN         0005
QTC: 21080 RY 2017-11-11 1909 W0LSD         1/10       LU1DBQ        1651 PU4ENY        0003
QTC: 21080 RY 2017-11-11 1909 W0LSD         1/10       LU1DBQ        1654 PY1ZV         0015
QTC: 21080 RY 2017-11-11 1909 W0LSD         1/10       LU1DBQ        1707 PX2A          0569
QTC: 21080 RY 2017-11-11 1909 W0LSD         1/10       LU1DBQ        1725 ZB2TT         0012
QSO: 21080 RY 2017-11-11 1910 LU1DBQ        599 0026   VE3CX         599 0438
QTC: 21080 RY 2017-11-11 1912 LU1DBQ        10/10      VE3CX         0154 N2WK          0048
QTC: 21080 RY 2017-11-11 1912 LU1DBQ        10/10      VE3CX         0154 KS0M          0045
QTC: 21080 RY 2017-11-11 1912 LU1DBQ        10/10      VE3CX         0155 W3YZM         0011
QTC: 21080 RY 2017-11-11 1912 LU1DBQ        10/10      VE3CX         0155 N1FF          0035
QTC: 21080 RY 2017-11-11 1912 LU1DBQ        10/10      VE3CX         0156 VE3BR         0025
QTC: 21080 RY 2017-11-11 1912 LU1DBQ        10/10      VE3CX         0157 N1IXF         0063
QTC: 21080 RY 2017-11-11 1912 LU1DBQ        10/10      VE3CX         0158 K2AL          0005
QTC: 21080 RY 2017-11-11 1912 LU1DBQ        10/10      VE3CX         0158 KD9MS         0112
QTC: 21080 RY 2017-11-11 1912 LU1DBQ        10/10      VE3CX         0200 WA1ZYX        0022
QSO: 21080 RY 2017-11-11 1915 LU1DBQ        599 0027   W1AJT         599 0110
QSO: 21080 RY 2017-11-11 1916 LU1DBQ        599 0028   W3GVX         599 0090
QSO: 21080 RY 2017-11-11 1916 LU1DBQ        599 0029   KD9MS         599 0273
QTC: 21080 RY 2017-11-11 1918 KD9MS         2/10       LU1DBQ        1728 N6WT          0186
QTC: 21080 RY 2017-11-11 1918 KD9MS         2/10       LU1DBQ        1729 PY2MIA        0003
QTC: 21080 RY 2017-11-11 1918 KD9MS         2/10       LU1DBQ        1735 YV5AAX        0114
QTC: 21080 RY 2017-11-11 1918 KD9MS         2/10       LU1DBQ        1743 W4MYA         0344
QTC: 21080 RY 2017-11-11 1918 KD9MS         2/10       LU1DBQ        1839 CX2AQ         0048
QTC: 21080 RY 2017-11-11 1918 KD9MS         2/10       LU1DBQ        1848 LW9ETQ        0021
QTC: 21080 RY 2017-11-11 1918 KD9MS         2/10       LU1DBQ        1851 LU9EHU        0013
QTC: 21080 RY 2017-11-11 1918 KD9MS         2/10       LU1DBQ        1906 K4KGG         0081
QTC: 21080 RY 2017-11-11 1918 KD9MS         2/10       LU1DBQ        1908 W0LSD         0510
QTC: 21080 RY 2017-11-11 1918 KD9MS         2/10       LU1DBQ        1910 VE3CX         0438
QSO: 21080 RY 2017-11-11 1920 LU1DBQ        599 0030   N2WK          599 0225
QTC: 21080 RY 2017-11-11 1922 LU1DBQ        11/10      N2WK          0411 VA2RAC        0034
QTC: 21080 RY 2017-11-11 1922 LU1DBQ        11/10      N2WK          1121 NA2M          0104
QTC: 21080 RY 2017-11-11 1922 LU1DBQ        11/10      N2WK          1143 EI77WAW       0000
QTC: 21080 RY 2017-11-11 1922 LU1DBQ        11/10      N2WK          1145 CN8KD         0172
QTC: 21080 RY 2017-11-11 1922 LU1DBQ        11/10      N2WK          1148 DD1A          0264
QTC: 21080 RY 2017-11-11 1922 LU1DBQ        11/10      N2WK          1159 IU4CHE        0305
QTC: 21080 RY 2017-11-11 1922 LU1DBQ        11/10      N2WK          1202 DH0GHU        0141
QTC: 21080 RY 2017-11-11 1922 LU1DBQ        11/10      N2WK          1206 LX1ER         0183
QTC: 21080 RY 2017-11-11 1922 LU1DBQ        11/10      N2WK          1211 HP3SS         0163
QTC: 21080 RY 2017-11-11 1922 LU1DBQ        11/10      N2WK          1215 LX7I          0431
QSO: 21080 RY 2017-11-11 1923 LU1DBQ        599 0031   K1MK          599 0541
QSO: 21080 RY 2017-11-11 1927 LU1DBQ        599 0032   AI9T          599 0123
QSO: 21080 RY 2017-11-11 1929 LU1DBQ        599 0033   K7OM          599 0120
QSO: 21080 RY 2017-11-11 1931 LU1DBQ        599 0034   K6HGF         599 0341
