START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-RTTY
CALLSIGN: UY1HY
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: UY1HY
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-RTTY CQWWRTTY/2014.
QSO: 28082 RY 2014-09-28 0414 UY1HY         599 16 DX VK3TDX        599 30 DX
QSO: 28083 RY 2014-09-28 0422 UY1HY         599 16 DX JA1BPA        599 25 DX
QSO: 28086 RY 2014-09-28 0427 UY1HY         599 16 DX BG0GE/9       599 24 DX
QSO: 28090 RY 2014-09-28 0427 UY1HY         599 16 DX JA8TR         599 25 DX
QSO: 28093 RY 2014-09-28 0432 UY1HY         599 16 DX JA1BJI        599 25 DX
QSO: 28086 RY 2014-09-28 0437 UY1HY         599 16 DX ZL1BYZ        599 32 DX
QSO: 28087 RY 2014-09-28 0437 UY1HY         599 16 DX BY7KTO        599 24 DX
QSO: 28000 RY 2014-09-28 0438 UY1HY         599 16 DX KB7OBU/KH2    599 27 DX
QSO: 28082 RY 2014-09-28 0442 UY1HY         599 16 DX JA6BZI        599 25 DX
QSO: 28092 RY 2014-09-28 0446 UY1HY         599 16 DX JE1ZWT        599 25 DX
QSO: 28074 RY 2014-09-28 1432 UY1HY         599 16 DX EE7X          599 14 DX
QSO: 28076 RY 2014-09-28 1432 UY1HY         599 16 DX N1IXF         599 05 CT
QSO: 28078 RY 2014-09-28 1433 UY1HY         599 16 DX EA5FDM        599 14 37
QSO: 28077 RY 2014-09-28 1434 UY1HY         599 16 DX YB5QZ         599 28 DX
QSO: 28080 RY 2014-09-28 1435 UY1HY         599 16 DX EA7TG         599 14 DX
QSO: 28082 RY 2014-09-28 1438 UY1HY         599 16 DX AC8Y          599 05 VA
QSO: 28084 RY 2014-09-28 1438 UY1HY         599 16 DX NJ3I          599 05 MD
QSO: 28084 RY 2014-09-28 1438 UY1HY         599 16 DX NS3L          599 05 PA
QSO: 28086 RY 2014-09-28 1439 UY1HY         599 16 DX AB3CV         599 05 MD
QSO: 28086 RY 2014-09-28 1441 UY1HY         599 16 DX LZ8E          599 20 DX
QSO: 28093 RY 2014-09-28 1442 UY1HY         599 16 DX W3LL          599 05 MD
QSO: 28095 RY 2014-09-28 1443 UY1HY         599 16 DX K1SD          599 05 RI
QSO: 28097 RY 2014-09-28 1444 UY1HY         599 16 DX W3YY          599 05 VA
QSO: 28097 RY 2014-09-28 1509 UY1HY         599 16 DX AB3TM         599 05 MD
QSO: 28139 RY 2014-09-28 1514 UY1HY         599 16 DX N3RDV         599 05 PA
QSO: 28138 RY 2014-09-28 1516 UY1HY         599 16 DX W2LE          599 05 NJ
QSO: 28137 RY 2014-09-28 1519 UY1HY         599 16 DX CR5D          599 14 DX
QSO: 28138 RY 2014-09-28 1521 UY1HY         599 16 DX N1MGO         599 05 MA
QSO: 28139 RY 2014-09-28 1522 UY1HY         599 16 DX EA3KX         599 14 DX
QSO: 28138 RY 2014-09-28 1524 UY1HY         599 16 DX W9PA          599 04 IN
QSO: 28144 RY 2014-09-28 1527 UY1HY         599 16 DX PY4XX         599 11 DX
QSO: 28147 RY 2014-09-28 1528 UY1HY         599 16 DX WD4AHZ        599 05 FL
QSO: 28142 RY 2014-09-28 1529 UY1HY         599 16 DX WX1S          599 05 NH
QSO: 28000 RY 2014-09-28 1530 UY1HY         599 16 DX PP1CZ         599 11 DX
QSO: 28000 RY 2014-09-28 1531 UY1HY         599 16 DX EA6XQ         599 14 DX
QSO: 28134 RY 2014-09-28 1531 UY1HY         599 16 DX EG5VAL        599 14 DX
QSO: 28135 RY 2014-09-28 1534 UY1HY         599 16 DX PX2A          599 11 DX
QSO: 28135 RY 2014-09-28 1535 UY1HY         599 16 DX PY2EX         599 11 DX
