START-OF-LOG: 3.0
CONTEST: IARU-HF
LOCATION: DX
CALLSIGN: ZV5O
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-POWER: HIGH
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
OPERATORS: PY5AB PY5FB PY5AMF PY5SAT PY5AKW PY5MM PY5DJ PY5IN PY5ZD PY5QW
CREATED-BY: N1MM LOGGER+ 1.0.7208.0
HQ-CATEGORY: Multioperator, Single Transmitter, High Power
HQ-GRID-LOCATOR: GG54fo
QSO: 14005 CW 2018-07-14 1209 ZV5O 599 15 CE6EVO 599 14
QSO: 14005 CW 2018-07-14 1211 ZV5O 599 15 RN4W 599 30
QSO: 14007 CW 2018-07-14 1220 ZV5O 599 15 LY5E 599 29
QSO: 14000 CW 2018-07-14 1223 ZV5O 599 15 R2AA 599 29
QSO: 14003 CW 2018-07-14 1227 ZV5O 599 15 F4VSQ 599 27
QSO: 14003 CW 2018-07-14 1228 ZV5O 599 15 UB3A 599 29
QSO: 14003 CW 2018-07-14 1228 ZV5O 599 15 YL5X 599 29
QSO: 14003 CW 2018-07-14 1230 ZV5O 599 15 W3YQ 599 08
QSO: 14003 CW 2018-07-14 1235 ZV5O 599 15 RN6LG 599 29
QSO: 14003 CW 2018-07-14 1236 ZV5O 599 15 UT4LW 599 29
QSO: 14003 CW 2018-07-14 1238 ZV5O 599 15 SP4JCQ 599 28
QSO: 14003 CW 2018-07-14 1239 ZV5O 599 15 I0ZVT 599 28
QSO: 14003 CW 2018-07-14 1241 ZV5O 599 15 IZ2GMT 599 28
QSO: 14003 CW 2018-07-14 1244 ZV5O 599 15 UW4U 599 29
QSO: 14026 CW 2018-07-14 1252 ZV5O 599 15 UA4I 599 30
QSO: 21279 PH 2018-07-14 1311 ZV5O 59 15 UT2T 59 29
QSO: 21213 PH 2018-07-14 1315 ZV5O 59 15 RU1A 59 29
QSO: 21260 PH 2018-07-14 1328 ZV5O 59 15 UN1HQ 59 KFRR
QSO: 21240 PH 2018-07-14 1330 ZV5O 59 15 9A0HQ 59 HRS
QSO: 21224 PH 2018-07-14 1332 ZV5O 59 15 OG7A 59 18
QSO: 21255 PH 2018-07-14 1334 ZV5O 59 15 A47RS 59 ROARS
QSO: 21233 PH 2018-07-14 1335 ZV5O 59 15 DM0Y 59 28
QSO: 21268 PH 2018-07-14 1337 ZV5O 59 15 DL0RM 59 28
QSO: 21268 PH 2018-07-14 1337 ZV5O 59 15 IO8HQ 59 ARI
QSO: 21268 PH 2018-07-14 1338 ZV5O 59 15 RM3M 59 29
QSO: 21268 PH 2018-07-14 1339 ZV5O 59 15 YO3FLM 59 28
QSO: 21268 PH 2018-07-14 1340 ZV5O 59 15 S51DD 59 28
QSO: 21268 PH 2018-07-14 1340 ZV5O 59 15 DL4VAI 59 28
QSO: 21268 PH 2018-07-14 1341 ZV5O 59 15 HG6N 59 28
QSO: 21268 PH 2018-07-14 1342 ZV5O 59 15 UT4RZ 59 29
QSO: 21268 PH 2018-07-14 1342 ZV5O 59 15 UT1DX 59 29
QSO: 21268 PH 2018-07-14 1343 ZV5O 59 15 LA3RR 59 18
QSO: 21268 PH 2018-07-14 1343 ZV5O 59 15 YO4RST 59 28
QSO: 21268 PH 2018-07-14 1344 ZV5O 59 15 SP9N 59 28
QSO: 21268 PH 2018-07-14 1344 ZV5O 59 15 IW5ECW 59 28
QSO: 21268 PH 2018-07-14 1346 ZV5O 59 15 EM5HQ 59 UARL
QSO: 21268 PH 2018-07-14 1347 ZV5O 59 15 SV2AIU 59 28
QSO: 21268 PH 2018-07-14 1347 ZV5O 59 15 9A3GPH 59 28
QSO: 21268 PH 2018-07-14 1349 ZV5O 59 15 UX2HH 59 29
QSO: 21268 PH 2018-07-14 1350 ZV5O 59 15 YT7P 59 28
QSO: 21268 PH 2018-07-14 1350 ZV5O 59 15 IK3ZBM 59 28
QSO: 21268 PH 2018-07-14 1351 ZV5O 59 15 DL7LIN 59 28
QSO: 21268 PH 2018-07-14 1355 ZV5O 59 15 LZ7HQ 59 BFRA
QSO: 21268 PH 2018-07-14 1356 ZV5O 59 15 SN0HQ 59 PZK
QSO: 21268 PH 2018-07-14 1356 ZV5O 59 15 PS2T 59 15
QSO: 21268 PH 2018-07-14 1357 ZV5O 59 15 UW7W 59 29
QSO: 21268 PH 2018-07-14 1358 ZV5O 59 15 IT9ACJ 59 28
QSO: 21268 PH 2018-07-14 1358 ZV5O 59 15 YO6DBL 59 28
QSO: 21268 PH 2018-07-14 1359 ZV5O 59 15 OK2KWM 59 28
QSO: 21268 PH 2018-07-14 1400 ZV5O 59 15 IR4K 59 28
QSO: 21268 PH 2018-07-14 1400 ZV5O 59 15 YO8TNB 59 28
QSO: 21268 PH 2018-07-14 1401 ZV5O 59 15 YR0HQ 59 FRR
QSO: 21268 PH 2018-07-14 1402 ZV5O 59 15 HG0HQ 59 MRASZ
QSO: 21268 PH 2018-07-14 1403 ZV5O 59 15 Y86V 59 28
QSO: 21268 PH 2018-07-14 1404 ZV5O 59 15 IZ0BVU 59 28
QSO: 21268 PH 2018-07-14 1404 ZV5O 59 15 UY7C 59 29
QSO: 21267 PH 2018-07-14 1406 ZV5O 59 15 UR1YDD 59 29
QSO: 21267 PH 2018-07-14 1407 ZV5O 59 15 IW5ECW 59 28
