START-OF-LOG: 3.0
LOCATION: DX
CALLSIGN: Y89R
CONTEST: WRTC
CATEGORY-OPERATOR: CHECKLOG
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: TWO
OPERATORS: US2YW, UW7LL
CREATED-BY: N1MM Logger+ 1.0.7208.0
QSO: 14009 CW 2018-07-14 1200 Y89R          599 28     RG3B          599 29        0  
QSO: 14009 CW 2018-07-14 1201 Y89R          599 28     UF8T          599 30        0  
QSO: 14009 CW 2018-07-14 1201 Y89R          599 28     UR4PA         599 29        0  
QSO: 21019 CW 2018-07-14 1201 Y89R          599 28     RA0SMS        599 32        1  
QSO: 21019 CW 2018-07-14 1202 Y89R          599 28     UA5F          599 29        1  
QSO: 14009 CW 2018-07-14 1202 Y89R          599 28     OH3OJ         599 18        0  
QSO: 21019 CW 2018-07-14 1202 Y89R          599 28     UR7MZ         599 29        1  
QSO: 21019 CW 2018-07-14 1202 Y89R          599 28     RT5C          599 29        1  
QSO: 14009 CW 2018-07-14 1202 Y89R          599 28     R9XS          599 20        0  
QSO: 14009 CW 2018-07-14 1203 Y89R          599 28     US7IY         599 29        0  
QSO: 21019 CW 2018-07-14 1203 Y89R          599 28     HA1AG         599 28        1  
QSO: 14009 CW 2018-07-14 1203 Y89R          599 28     RW9DX         599 30        0  
QSO: 21019 CW 2018-07-14 1203 Y89R          599 28     RW3X          599 29        1  
QSO: 14009 CW 2018-07-14 1203 Y89R          599 28     US0YA         599 29        0  
QSO: 21019 CW 2018-07-14 1203 Y89R          599 28     OH2BU         599 18        1  
QSO: 14009 CW 2018-07-14 1203 Y89R          599 28     UZ3A          599 29        0  
QSO: 14009 CW 2018-07-14 1203 Y89R          599 28     UT1ZZ         599 29        0  
QSO: 14009 CW 2018-07-14 1204 Y89R          599 28     UV1XV         599 29        0  
QSO: 21019 CW 2018-07-14 1204 Y89R          599 28     UN8PT         599 30        1  
QSO: 14009 CW 2018-07-14 1204 Y89R          599 28     EW8DX         599 29        0  
QSO: 21019 CW 2018-07-14 1204 Y89R          599 28     Y81R          599 28        1  
