START-OF-LOG: 3.0
CONTEST: IARU-HF
LOCATION: STX
CALLSIGN: KD5FVZ
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-POWER: LOW
OPERATORS: KD5FVZ
CATEGORY-TRANSMITTER: ONE
CATEGORY-BAND: 
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CREATED-BY: EXPORTED BY LOGIC VERSION 9.1.35. LOGIC CABRILLO EXPORT VERSION 1.2.
HQ-CATEGORY: Single Operator, Phone Only, Low Power
HQ-GRID-LOCATOR: EL09ov
QSO: 14199 PH 2018-07-14 1230 KD5FVZ 59 07 W6PNG/VY2 59 9
QSO: 14179 PH 2018-07-14 1234 KD5FVZ 59 07 NU1AW/9 59 IARU
QSO: 14176 PH 2018-07-14 1238 KD5FVZ 59 07 W1AW/4 59 ARRL
QSO: 14206 PH 2018-07-14 1252 KD5FVZ 59 07 PJ4DX 59 11
QSO: 14242 PH 2018-07-14 1310 KD5FVZ 59 07 4M1K 59 12
QSO: 14255 PH 2018-07-14 1322 KD5FVZ 59 07 P40HQ 59 AARC
QSO: 14267 PH 2018-07-14 1327 KD5FVZ 59 07 K7BTW 59 6
QSO: 14280 PH 2018-07-14 1342 KD5FVZ 59 07 VE9RAC 59 RAC
QSO: 14284 PH 2018-07-14 1346 KD5FVZ 59 07 SN0HQ 59 PZK
QSO: 14159 PH 2018-07-14 1356 KD5FVZ 59 07 VA3TIC 59 4
QSO: 14170 PH 2018-07-14 1358 KD5FVZ 59 07 NR6Q 59 6
QSO: 14194 PH 2018-07-14 1403 KD5FVZ 59 07 VE3YV 59 R2
QSO: 14225 PH 2018-07-14 1414 KD5FVZ 59 07 NC6R 59 6
QSO: 14239 PH 2018-07-14 1419 KD5FVZ 59 07 W3LL 59 8
QSO: 14257 PH 2018-07-14 1429 KD5FVZ 59 07 W7WA 59 6
QSO: 14269 PH 2018-07-14 1432 KD5FVZ 59 07 HC1JQ 59 12
QSO: 14293 PH 2018-07-14 1547 KD5FVZ 59 07 K6MMM 59 6
QSO: 14296 PH 2018-07-14 1550 KD5FVZ 59 07 N6WIN 59 6
QSO: 14320 PH 2018-07-14 1552 KD5FVZ 59 07 NI6IW 59 6
QSO: 14172 PH 2018-07-14 1559 KD5FVZ 59 07 W2Z 59 8
QSO: 14180 PH 2018-07-14 1606 KD5FVZ 59 07 NA5NN 59 8
QSO: 14183 PH 2018-07-14 1608 KD5FVZ 59 07 ND4Y 59 8
QSO: 14193 PH 2018-07-14 1613 KD5FVZ 59 07 W5GFI 59 7
QSO: 14217 PH 2018-07-14 1625 KD5FVZ 59 07 W5FMH 59 7
QSO: 14220 PH 2018-07-14 1627 KD5FVZ 59 07 4U1WB 59 8
QSO: 14225 PH 2018-07-14 1630 KD5FVZ 59 07 K3AJ 59 8
QSO: 14228 PH 2018-07-14 1642 KD5FVZ 59 07 N7AP 59 6
QSO: 14238 PH 2018-07-14 1645 KD5FVZ 59 07 W7ZZ 59 6
QSO: 14244 PH 2018-07-14 1649 KD5FVZ 59 07 AD5XD 59 7
QSO: 14247 PH 2018-07-14 1650 KD5FVZ 59 07 KH7XS 59 61
QSO: 14252 PH 2018-07-14 1652 KD5FVZ 59 07 W1LX 59 8
QSO: 14282 PH 2018-07-14 1751 KD5FVZ 59 07 W7VO 59 6
QSO: 14284 PH 2018-07-14 1755 KD5FVZ 59 07 AD8J 59 8
QSO: 14290 PH 2018-07-14 1758 KD5FVZ 59 07 K9MWM 59 7
QSO: 14320 PH 2018-07-14 1810 KD5FVZ 59 07 KD5WBW 59 7
QSO: 14325 PH 2018-07-14 1812 KD5FVZ 59 07 WA1PMA 59 8
QSO: 14155 PH 2018-07-14 1850 KD5FVZ 59 07 N0NI 59 7
QSO: 14193 PH 2018-07-14 1900 KD5FVZ 59 07 VE3MIS 59 4
QSO: 14198 PH 2018-07-14 1902 KD5FVZ 59 07 AF6O 59 6
QSO: 14324 PH 2018-07-14 1941 KD5FVZ 59 07 PJ2HQ 59 VRONA
QSO: 14338 PH 2018-07-14 2050 KD5FVZ 59 07 EF8R 59 36
QSO: 14308 PH 2018-07-14 2107 KD5FVZ 59 07 EF1W 59 37
QSO: 14265 PH 2018-07-14 2130 KD5FVZ 59 07 DA0HQ 59 DARC
QSO: 14253 PH 2018-07-14 2212 KD5FVZ 59 07 EF4HQ 59 URE
QSO: 14248 PH 2018-07-14 2216 KD5FVZ 59 07 IO4HQ 59 ARI
QSO: 14245 PH 2018-07-14 2226 KD5FVZ 59 07 TM0HQ 59 REF
QSO: 14239 PH 2018-07-14 2306 KD5FVZ 59 07 LU0HQ 59 RCA
QSO: 14213 PH 2018-07-14 2310 KD5FVZ 59 07 XE1CQ 59 10
QSO: 14190 PH 2018-07-14 2315 KD5FVZ 59 07 K6RC 59 6
QSO: 14193 PH 2018-07-14 2318 KD5FVZ 59 07 N8II 59 8
QSO: 14196 PH 2018-07-14 2323 KD5FVZ 59 07 CT1BOL 59 37
QSO: 14200 PH 2018-07-15 0046 KD5FVZ 59 07 IR3Z 59 28
QSO: 14205 PH 2018-07-15 0049 KD5FVZ 59 07 CE1TT 59 14
QSO: 14172 PH 2018-07-15 0105 KD5FVZ 59 07 HC7AE 59 12
QSO: 14183 PH 2018-07-15 0109 KD5FVZ 59 07 K7ZS 59 6
QSO: 14190 PH 2018-07-15 0112 KD5FVZ 59 07 HB2U 59 28
QSO: 14194 PH 2018-07-15 0114 KD5FVZ 59 07 F5LIW 59 27
QSO: 14218 PH 2018-07-15 0120 KD5FVZ 59 07 YT0HQ 59 SRS
QSO: 14221 PH 2018-07-15 0122 KD5FVZ 59 07 YV7MAY 59 12
QSO: 14225 PH 2018-07-15 0125 KD5FVZ 59 07 ES5RW 59 29
QSO: 14231 PH 2018-07-15 0143 KD5FVZ 59 07 HI3T 59 11
QSO: 14240 PH 2018-07-15 0256 KD5FVZ 59 07 ED7R 59 37
END-OF-LOG:
