START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: SAC-SSB
CALLSIGN: PC2C
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: PC2C
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for SAC-SSB SAC/SSB/2024.
QSO: 14155 PH 2024-10-12 1552 PC2C          59 1 LA4ESA        59 83
QSO: 14173 PH 2024-10-12 1554 PC2C          59 2 SB7S          59 322
QSO: 14181 PH 2024-10-12 1615 PC2C          59 3 OG4Z          59 399
QSO: 14183 PH 2024-10-12 1617 PC2C          59 4 SE5E          59 447
QSO: 14193 PH 2024-10-12 1620 PC2C          59 5 OG2X          59 277
QSO: 14218 PH 2024-10-12 1623 PC2C          59 6 SB3W          59 319
QSO: 14244 PH 2024-10-12 1626 PC2C          59 7 LA8HGA        59 109
QSO: 14261 PH 2024-10-12 1628 PC2C          59 8 LA3BPA        59 105
QSO: 14260 PH 2024-10-12 1808 PC2C          59 9 OH7K          59 500
QSO: 14268 PH 2024-10-12 1816 PC2C          59 10 OG7A          59 536
QSO: 14278 PH 2024-10-12 1838 PC2C          59 12 OH5GIO        59 493
QSO: 14272 PH 2024-10-12 1842 PC2C          59 13 OH2T          59 583
QSO: 14252 PH 2024-10-12 1845 PC2C          59 14 OH5Z          59 441
QSO: 14242 PH 2024-10-12 1852 PC2C          59 15 OH8K          59 544
QSO: 14232 PH 2024-10-12 1901 PC2C          59 16 OH7JL         59 377
QSO: 14287 PH 2024-10-12 1909 PC2C          59 17 OH6DX         59 787
QSO: 14226 PH 2024-10-12 1919 PC2C          59 19 OG5B          59 363
QSO: 21204 PH 2024-10-13 0845 PC2C          59 153 OH6K          59 744
QSO: 14243 PH 2024-10-13 1136 PC2C          59 20 LN1B          59 950
QSO: 14246 PH 2024-10-13 1138 PC2C          59 21 OH9W          59 719
QSO: 14261 PH 2024-10-13 1141 PC2C          59 22 OH8WR         59 687
QSO: 14269 PH 2024-10-13 1143 PC2C          59 23 SD6D          59 1087
QSO: 14277 PH 2024-10-13 1146 PC2C          59 25 OG5B          59 1069
QSO: 14150 PH 2024-10-13 1148 PC2C          59 26 SM6IQD        59 312
QSO: 14285 PH 2024-10-13 1149 PC2C          59 27 OH6RE         59 701
END-OF-LOG:
