START-OF-LOG: 3.0
CONTEST: WW-DIGI
CALLSIGN: IK0ZSN
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: DIGI
CATEGORY-TRANSMITTER: ONE
GRID-LOCATOR: JN61GU
CLAIMED-SCORE:
NAME: Mirko
OPERATORS: IK0ZSN
CREATED-BY:
SOAPBOX: This was a fun contest. Thank you.
QSO: 28076 DG 2021-08-28 1200 IK0ZSN JN61   YO9IE  KN34
QSO: 28076 DG 2021-08-28 1206 IK0ZSN JN61   YO9FQT KN34
QSO: 28076 DG 2021-08-28 1214 IK0ZSN JN61   US7VF  KN58
QSO: 28076 DG 2021-08-28 1216 IK0ZSN JN61   UY7QN  KN77
QSO: 28076 DG 2021-08-28 1222 IK0ZSN JN61   UR6QS  KN77
QSO: 14082 DG 2021-08-28 1242 IK0ZSN JN61   EA1B   IN83
QSO: 14080 DG 2021-08-28 1303 IK0ZSN JN61   UT4RZ  KO50
QSO: 14081 DG 2021-08-28 1310 IK0ZSN JN61   DL6NBS JN59
QSO: 14082 DG 2021-08-28 1314 IK0ZSN JN61   EA1B   IN83
QSO: 14082 DG 2021-08-28 1315 IK0ZSN JN61   DF1JM  JO30
QSO: 14082 DG 2021-08-28 1317 IK0ZSN JN61   HB9LF  JN37
QSO: 14082 DG 2021-08-28 1318 IK0ZSN JN61   YO3FRI KN34
QSO: 14082 DG 2021-08-28 1321 IK0ZSN JN61   DH3ZK  JO41
QSO: 14081 DG 2021-08-28 1323 IK0ZSN JN61   IK2QIN JN45
QSO: 14081 DG 2021-08-28 1326 IK0ZSN JN61   9A9TT  JN76
QSO: 14081 DG 2021-08-28 1328 IK0ZSN JN61   HA5WV  JN97
QSO: 14081 DG 2021-08-28 1329 IK0ZSN JN61   EA1B   IN83
QSO: 14081 DG 2021-08-28 1334 IK0ZSN JN61   R6DM   KN94
QSO: 14081 DG 2021-08-28 1341 IK0ZSN JN61   PA7WW  JO32
QSO: 14081 DG 2021-08-28 1349 IK0ZSN JN61   OM7JG  JN98
QSO: 14081 DG 2021-08-28 1350 IK0ZSN JN61   DB3VU  JN39
QSO: 14081 DG 2021-08-28 1354 IK0ZSN JN61   ON5AM  JO20
QSO: 14081 DG 2021-08-28 1355 IK0ZSN JN61   DJ5CT  JO30
QSO: 14082 DG 2021-08-28 1401 IK0ZSN JN61   G2KS   IO84
QSO:  7082 DG 2021-08-28 1411 IK0ZSN JN61   LY9Y   KO16
QSO:  7081 DG 2021-08-28 1412 IK0ZSN JN61   YO3JW  KN35
QSO:  7081 DG 2021-08-28 1412 IK0ZSN JN61   9A5ST  JN83
QSO:  7081 DG 2021-08-28 1414 IK0ZSN JN61   S50BH  JN76
QSO:  7081 DG 2021-08-28 1416 IK0ZSN JN61   9A5ST  JN83
QSO:  7081 DG 2021-08-28 1417 IK0ZSN JN61   DH1OL  JN39
QSO:  7081 DG 2021-08-28 1418 IK0ZSN JN61   IK2IKW JN55
QSO: 21081 DG 2021-08-28 1423 IK0ZSN JN61   PA4GDR JO32
QSO: 21091 DG 2021-08-28 1427 IK0ZSN JN61   OZ1DAE JO65
QSO: 21091 DG 2021-08-28 1431 IK0ZSN JN61   F4HIK  JN06
QSO: 21091 DG 2021-08-28 1435 IK0ZSN JN61   G9D    JO01
QSO: 21091 DG 2021-08-28 1436 IK0ZSN JN61   UZ1WW  KN19
QSO: 21075 DG 2021-08-28 1441 IK0ZSN JN61   SA6SKA JO68
QSO: 21091 DG 2021-08-28 1445 IK0ZSN JN61   SQ8N   KO00
QSO: 21091 DG 2021-08-28 1446 IK0ZSN JN61   5B4AMM KM65
