START-OF-LOG: 2.0
REF-SECTION: 53
CALLSIGN: F5VMB
CATEGORY: SINGLE-OP ALL LOW
CLAIMED-SCORE:  2074
CONTEST: REF-SSB
CREATED-BY: WINREF-HF V8.3.8
NAME: MAY,ROGER
OFFTIME: 2015-02-21 1522 2015-02-22 0803
OFFTIME: 2015-02-22 0911 2015-02-22 1800
OFFTIME: 2015-02-21 0600 2015-02-21 0928
RIG: TS2000
RIG: TS2000
RIG: FRITZEL FB33 @ 12M.  OCF DIPOLE @ 11M INV V.
RIG: 100
QSO: 3500  PH 2015-02-21 0928 F5VMB         59  53     F6ERS         59  37   
QSO: 3500  PH 2015-02-21 0933 F5VMB         59  53     F6KGL         59  93   
QSO: 21000 PH 2015-02-21 0940 F5VMB         59  53     TY2BP         59  001  
QSO: 7000  PH 2015-02-21 1017 F5VMB         59  53     TM16C         59  16   
QSO: 7000  PH 2015-02-21 1018 F5VMB         59  53     TM2T          59  13   
QSO: 7000  PH 2015-02-21 1021 F5VMB         59  53     F6KBF         59  78   
QSO: 7000  PH 2015-02-21 1026 F5VMB         59  53     F5KDC         59  63   
QSO: 7000  PH 2015-02-21 1030 F5VMB         59  53     F6DZU         59  40   
QSO: 7000  PH 2015-02-21 1044 F5VMB         59  53     F6ARS         59  77   
QSO: 28000 PH 2015-02-21 1204 F5VMB         59  53     FY5KE         59  FY   
QSO: 21000 PH 2015-02-21 1229 F5VMB         59  53     5Z4/DF3FS     59  001  
QSO: 21000 PH 2015-02-21 1250 F5VMB         59  53     FG4KH         59  FG   
QSO: 28000 PH 2015-02-21 1319 F5VMB         59  53     SU9IG         59  001  
QSO: 28000 PH 2015-02-21 1522 F5VMB         59  53     FM1HN         59  FM   
QSO: 7000  PH 2015-02-22 0803 F5VMB         59  53     TM2F          59  02   
QSO: 28000 PH 2015-02-22 0809 F5VMB         59  53     FR4QT         59  FR   
QSO: 21000 PH 2015-02-22 0911 F5VMB         59  53     CN2JF         59  001  
END-OF-LOG:

