START-OF-LOG: 3.0
CREATED-BY: Win-Test 3.24.0
CONTEST: REF-SSB
LOCATION: 19
CALLSIGN: F5DE/P
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 146432
OFFTIME: 2015-02-21 1230 2015-02-21 1444
OFFTIME: 2015-02-21 1902 2015-02-22 0933
OFFTIME: 2015-02-22 1134 2015-02-22 1404
OPERATORS: 
NAME: Bernard DELAGE
SOAPBOX: Entre vaisselle et vacation nocturne à la station F6REF/00, modeste
SOAPBOX: participation en salle annexe du radio-club F6KLO, histoire de donner
SOAPBOX: quelques points supplémentaires à la Corrèze. Mais que ce fut
SOAPBOX: difficile en QRP, avec antenne dipôle 40/20 m à 3 mètres du sol, loin
SOAPBOX: d'être adaptée sur les autres bandes utilisées et.... le QRM généré
SOAPBOX: par la station principale ! Grand merci à tous ceux que j'ai fait
SOAPBOX: répéter, mon logiciel ne me donnait point le département
SOAPBOX: automatiquement, j'étais obligé de bien écouter et le noter. Une fois
SOAPBOX: de plus, j'ai passé un super week-end de radio à Brive en compagnie du
SOAPBOX: couple Martin F8BPN/F6ETI et de Alex F5MBM venu nous prêter main forte
SOAPBOX: depuis sa lointaine Lorraine ! A l'année prochaine pour d'autres
SOAPBOX: aventures radioéléctriques ! Bernard, F5DE/P 19.
RIG: IC7400 (25 watts) + dipôle 40/20 m
QSO:  7000 PH 2015-02-21 0622 F5DE/P        59  19     YP0C          59  008   
QSO:  7000 PH 2015-02-21 0633 F5DE/P        59  19     FM5EB         59  FM    
QSO:  7000 PH 2015-02-21 0635 F5DE/P        59  19     F5NBX         59  87    
QSO:  7000 PH 2015-02-21 0638 F5DE/P        59  19     F5TKM         59  67    
QSO:  7000 PH 2015-02-21 0647 F5DE/P        59  19     TO66R         59  FG    
QSO:  7000 PH 2015-02-21 0659 F5DE/P        59  19     F8BPN         59  19    
QSO:  7000 PH 2015-02-21 0704 F5DE/P        59  19     F5MGD/M       59  60    
QSO:  7000 PH 2015-02-21 0706 F5DE/P        59  19     F4EIK         59  52    
QSO:  7000 PH 2015-02-21 0708 F5DE/P        59  19     F4FHY         59  90    
QSO:  7000 PH 2015-02-21 0709 F5DE/P        59  19     F8KHW         59  62    
QSO:  7000 PH 2015-02-21 0710 F5DE/P        59  19     F6KJX         59  41    
QSO:  7000 PH 2015-02-21 0713 F5DE/P        59  19     F4KIY         59  57    
QSO:  7000 PH 2015-02-21 0714 F5DE/P        59  19     F4ERS         59  37    
QSO:  7000 PH 2015-02-21 0716 F5DE/P        59  19     F8KGN         59  59    
QSO:  7000 PH 2015-02-21 0723 F5DE/P        59  19     F8CZI         59  68    
QSO:  7000 PH 2015-02-21 0724 F5DE/P        59  19     F4EFI         59  38    
QSO:  7000 PH 2015-02-21 0728 F5DE/P        59  19     F5PAC         59  68    
QSO:  7000 PH 2015-02-21 0731 F5DE/P        59  19     ON2LES        59  019   
QSO:  7000 PH 2015-02-21 0732 F5DE/P        59  19     F4BYB         59  02    
QSO:  7000 PH 2015-02-21 0734 F5DE/P        59  19     F4KJK         59  84    
QSO:  7000 PH 2015-02-21 0739 F5DE/P        59  19     F4GLK         59  60    
QSO:  7000 PH 2015-02-21 0744 F5DE/P        59  19     F5KEK         59  03    
QSO:  7000 PH 2015-02-21 0745 F5DE/P        59  19     TM5TT         59  41    
QSO:  7000 PH 2015-02-21 0748 F5DE/P        59  19     F6KUJ         59  34    
QSO:  7000 PH 2015-02-21 0749 F5DE/P        59  19     ON4LAN        59  010   
QSO:  7000 PH 2015-02-21 0802 F5DE/P        59  19     TK5KP         59  2A    
QSO:  7000 PH 2015-02-21 0803 F5DE/P        59  19     DL0UM         59  046   
QSO:  7000 PH 2015-02-21 0804 F5DE/P        59  19     F6DZU         59  40    
QSO:  7000 PH 2015-02-21 0805 F5DE/P        59  19     TM7AR         59  07    
QSO: 14000 PH 2015-02-21 0908 F5DE/P        59  19     YP0C          59  041   
QSO: 14000 PH 2015-02-21 0914 F5DE/P        59  19     SV3GKU        59  026   
QSO: 14000 PH 2015-02-21 0917 F5DE/P        59  19     OZ1KKH        59  002   
QSO: 14000 PH 2015-02-21 0919 F5DE/P        59  19     CN2JF         59  049   
QSO: 14000 PH 2015-02-21 0919 F5DE/P        59  19     EA8TH         59  063   
QSO: 14000 PH 2015-02-21 0933 F5DE/P        59  19     FY5KE         59  FY    
QSO: 14000 PH 2015-02-21 0935 F5DE/P        59  19     OM4KK         59  022   
QSO: 28000 PH 2015-02-21 0941 F5DE/P        59  19     YM1KD         59  018   
QSO: 14000 PH 2015-02-21 1000 F5DE/P        59  19     F5UTN         59  27    
QSO: 14000 PH 2015-02-21 1001 F5DE/P        59  19     F4FFH         59  50    
QSO: 14000 PH 2015-02-21 1002 F5DE/P        59  19     SQ6WZ         59  040   
QSO: 14000 PH 2015-02-21 1004 F5DE/P        59  19     UA1AFZ        59  041   
QSO: 14000 PH 2015-02-21 1008 F5DE/P        59  19     EI4II         59  003   
QSO:  7000 PH 2015-02-21 1020 F5DE/P        59  19     F1MOZ         59  40    
QSO:  7000 PH 2015-02-21 1021 F5DE/P        59  19     F5KED         59  36    
QSO:  7000 PH 2015-02-21 1030 F5DE/P        59  19     F5KCH         59  58    
QSO:  7000 PH 2015-02-21 1032 F5DE/P        59  19     F5KDJ         59  45    
QSO:  7000 PH 2015-02-21 1033 F5DE/P        59  19     F4GVE         59  74    
QSO:  7000 PH 2015-02-21 1034 F5DE/P        59  19     F8KCF         59  74    
QSO:  7000 PH 2015-02-21 1034 F5DE/P        59  19     F6KJU         59  59    
QSO:  7000 PH 2015-02-21 1037 F5DE/P        59  19     F6BHI         59  19    
QSO:  7000 PH 2015-02-21 1039 F5DE/P        59  19     F8KHO/P       59  51    
QSO:  7000 PH 2015-02-21 1041 F5DE/P        59  19     F1NVX         59  91    
QSO:  7000 PH 2015-02-21 1043 F5DE/P        59  19     F4FSY         59  69    
QSO:  7000 PH 2015-02-21 1044 F5DE/P        59  19     F4GRL         59  31    
QSO:  7000 PH 2015-02-21 1046 F5DE/P        59  19     F4KIO/P       59  35    
QSO:  7000 PH 2015-02-21 1047 F5DE/P        59  19     F5KUG         59  31    
QSO:  7000 PH 2015-02-21 1050 F5DE/P        59  19     F6KBF         59  78    
QSO:  7000 PH 2015-02-21 1051 F5DE/P        59  19     F5HDK         59  44    
QSO:  7000 PH 2015-02-21 1052 F5DE/P        59  19     F6EJN         59  81    
QSO:  7000 PH 2015-02-21 1054 F5DE/P        59  19     F4FFH         59  50    
QSO:  7000 PH 2015-02-21 1056 F5DE/P        59  19     F6KBR         59  66    
QSO:  7000 PH 2015-02-21 1106 F5DE/P        59  19     F1RHS         59  82    
QSO:  7000 PH 2015-02-21 1119 F5DE/P        59  19     F6BYJ         59  16    
QSO:  7000 PH 2015-02-21 1128 F5DE/P        59  19     F6BSZ         59  14    
QSO:  7000 PH 2015-02-21 1133 F5DE/P        59  19     F5RAG         59  64    
QSO:  7000 PH 2015-02-21 1141 F5DE/P        59  19     F8DHB         59  60    
QSO:  7000 PH 2015-02-21 1142 F5DE/P        59  19     F5IAE         59  18    
QSO:  7000 PH 2015-02-21 1146 F5DE/P        59  19     TM2F          59  02    
QSO:  7000 PH 2015-02-21 1149 F5DE/P        59  19     F6CLQ         59  89    
QSO:  7000 PH 2015-02-21 1151 F5DE/P        59  19     F5BZK         59  17    
QSO:  7000 PH 2015-02-21 1151 F5DE/P        59  19     F5KLE         59  30    
QSO:  7000 PH 2015-02-21 1153 F5DE/P        59  19     F6HAC         59  24    
QSO:  7000 PH 2015-02-21 1154 F5DE/P        59  19     F5DMD         59  91    
QSO:  7000 PH 2015-02-21 1157 F5DE/P        59  19     F6KQL         59  21    
QSO:  7000 PH 2015-02-21 1200 F5DE/P        59  19     F4FHW         59  85    
QSO:  7000 PH 2015-02-21 1202 F5DE/P        59  19     F6BXD         59  59    
QSO:  7000 PH 2015-02-21 1203 F5DE/P        59  19     F4HDM         59  13    
QSO:  7000 PH 2015-02-21 1205 F5DE/P        59  19     F6KFH         59  57    
QSO:  7000 PH 2015-02-21 1207 F5DE/P        59  19     F5MZE         59  62    
QSO:  7000 PH 2015-02-21 1218 F5DE/P        59  19     F5ASD         59  77    
QSO:  7000 PH 2015-02-21 1223 F5DE/P        59  19     F4DXP         59  29    
QSO:  7000 PH 2015-02-21 1224 F5DE/P        59  19     F1TMY         59  46    
QSO:  7000 PH 2015-02-21 1224 F5DE/P        59  19     F5KPO         59  84    
QSO:  7000 PH 2015-02-21 1228 F5DE/P        59  19     F5LTF         59  47    
QSO:  7000 PH 2015-02-21 1229 F5DE/P        59  19     F5IQJ         59  05    
QSO:  7000 PH 2015-02-21 1230 F5DE/P        59  19     F5JQQ         59  28    
QSO: 28000 PH 2015-02-21 1444 F5DE/P        59  19     U1BN          59  106   
QSO: 28000 PH 2015-02-21 1445 F5DE/P        59  19     FY5KE         59  FY    
QSO: 28000 PH 2015-02-21 1446 F5DE/P        59  19     F2QD          59  19    
