START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: IV3UT
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: IV3UT
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2012.
QSO: 21406 PH 2012-03-24 0855 IV3UT         59 RL6M          59 605
QSO: 21417 PH 2012-03-24 0900 IV3UT         59 002 OG1M          59 0152
QSO: 21000 PH 2012-03-24 0901 IV3UT         59 003 ED1C          59 256
QSO: 21438 PH 2012-03-24 0904 IV3UT         59 004 UP6P          59 0400
QSO: 21000 PH 2012-03-24 0907 IV3UT         59 005 CT2IOV        59 135
QSO: 21384 PH 2012-03-24 0909 IV3UT         59 006 OH1F          59 0309
QSO: 21381 PH 2012-03-24 0910 IV3UT         59 007 EI80IRTS      59 0245
QSO: 21372 PH 2012-03-24 0914 IV3UT         59 0008 EC1DBO        59 0400
QSO: 21000 PH 2012-03-24 0916 IV3UT         59 0009 EA7ISH        59 0243
QSO: 21318 PH 2012-03-24 0918 IV3UT         59 0010 EE1W          59 0152
QSO: 21297 PH 2012-03-24 0920 IV3UT         59 11 RT4F          59 1511
QSO: 21287 PH 2012-03-24 0921 IV3UT         59 012 ED1R          59 0209
QSO: 21271 PH 2012-03-24 0924 IV3UT         59 013 5B4KH         59 0470
QSO: 21269 PH 2012-03-24 0925 IV3UT         59 0014 UV0I          59 0467
QSO: 21262 PH 2012-03-24 0926 IV3UT         59 015 D44AC         59 0518
QSO: 21253 PH 2012-03-24 0930 IV3UT         59 0016 CS2P          59 0486
QSO: 21212 PH 2012-03-24 0938 IV3UT         59 017 EI2CN         59 0175
QSO: 21000 PH 2012-03-24 0939 IV3UT         59 018 RN3DMU        59 631
QSO: 21200 PH 2012-03-24 0940 IV3UT         59 0019 RG3K          59 1147
QSO: 21195 PH 2012-03-24 0943 IV3UT         59 20 R9UT          59 359
QSO: 21184 PH 2012-03-24 0945 IV3UT         59 0021 EM2G          59 0483
QSO: 21180 PH 2012-03-24 0946 IV3UT         59 022 EE8Z          59 0478
QSO: 21164 PH 2012-03-24 0949 IV3UT         59 23 RC9O          59 1311
QSO: 21000 PH 2012-03-24 0950 IV3UT         59 24 R7FO          59 253
QSO: 21151 PH 2012-03-24 0954 IV3UT         59 0025 UA9BS         59 0733
QSO: 21167 PH 2012-03-24 0956 IV3UT         59 026 RW3DU         59 321
QSO: 21000 PH 2012-03-24 0958 IV3UT         59 27 UD3D          59 607
QSO: 21177 PH 2012-03-24 1000 IV3UT         59 28 RM3F          59 1179
QSO: 21191 PH 2012-03-24 1002 IV3UT         59 029 EI100T        59 0293
QSO: 21207 PH 2012-03-24 1007 IV3UT         59 0030 IO3P          59 0188
QSO: 21217 PH 2012-03-24 1012 IV3UT         59 31 RA9JP         59 550
QSO: 21220 PH 2012-03-24 1016 IV3UT         59 032 A73A          59 0743
QSO: 21247 PH 2012-03-24 1021 IV3UT         59 0034 EB5KT         59 0358
QSO: 21250 PH 2012-03-24 1122 IV3UT         59 035 CR3A          59 0491
QSO: 21253 PH 2012-03-24 1123 IV3UT         59 036 LA8HGA        59 0188
QSO: 21312 PH 2012-03-24 1126 IV3UT         59 0037 R9CB          59 0399
QSO: 21318 PH 2012-03-24 1129 IV3UT         59 008 SX5P          59 0620
QSO: 21332 PH 2012-03-24 1130 IV3UT         59 039 EB8AH         59 0426
QSO: 21344 PH 2012-03-24 1133 IV3UT         59 0040 R7HF          59 0161
QSO: 21000 PH 2012-03-24 1137 IV3UT         59 041 OH8X          59 1139
QSO: 21359 PH 2012-03-24 1140 IV3UT         59 0042 PW7T          59 0245
QSO: 21398 PH 2012-03-24 1202 IV3UT         59 043 CS2C          59 0703
QSO: 21000 PH 2012-03-24 1207 IV3UT         59 44 ES2TI         59 327
QSO: 21377 PH 2012-03-24 1217 IV3UT         59 45 6V7Z          59 1642
QSO: 21358 PH 2012-03-24 1220 IV3UT         59 046 OH2XX         59 0082
QSO: 21330 PH 2012-03-24 1224 IV3UT         59 0047 SV9GPV        59 0830
QSO: 21283 PH 2012-03-24 1240 IV3UT         59 048 5D5A          59 1616
QSO: 21238 PH 2012-03-24 1244 IV3UT         59 49 RU3BA         59 259
QSO: 21203 PH 2012-03-24 1253 IV3UT         59 250 CQ3L          59 0435
QSO: 21197 PH 2012-03-24 1256 IV3UT         59 0051 RM2U          59 0224
QSO: 21000 PH 2012-03-24 1311 IV3UT         59 052 UY7MM         59 1032
QSO: 21138 PH 2012-03-24 1313 IV3UT         59 053 VE3EJ         59 1097
QSO: 21126 PH 2012-03-24 1359 IV3UT         59 54 8P5A          59 1815
QSO: 21161 PH 2012-03-24 1411 IV3UT         59 055 P3J           59 0494
QSO: 21160 PH 2012-03-24 1412 IV3UT         59 0056 YM7KA         59 1379
QSO: 21200 PH 2012-03-24 1417 IV3UT         59 0057 OH7JL         59 0238
QSO: 21303 PH 2012-03-24 1457 IV3UT         59 059 K1LZ          59 1141
QSO: 21307 PH 2012-03-24 1459 IV3UT         59 60 UA4FEN        59 1051
QSO: 21427 PH 2012-03-24 1631 IV3UT         59 0061 UZ2M          59 1888
QSO: 21345 PH 2012-03-24 1636 IV3UT         59 062 P33W          59 3210
QSO: 21000 PH 2012-03-24 1637 IV3UT         59 063 ED9Z          59 0857
QSO: 21150 PH 2012-03-24 1649 IV3UT         59 64 4X9A          59 1059
QSO: 21219 PH 2012-03-24 1651 IV3UT         59 065 CN2R          59 1994
QSO: 21183 PH 2012-03-24 1655 IV3UT         59 067 UA4HOX        59 0948
QSO: 21247 PH 2012-03-24 1709 IV3UT         59 0068 RN7F          59 1716
QSO: 21000 PH 2012-03-24 1720 IV3UT         59 069 ED8D          59 237
QSO: 21275 PH 2012-03-24 1731 IV3UT         59 070 PR5B          59 1357
QSO: 21000 PH 2012-03-24 1738 IV3UT         59 071 ED7R          59 608
QSO: 21155 PH 2012-03-24 1746 IV3UT         59 73 XL3T          59 2013
QSO: 21200 PH 2012-03-24 1752 IV3UT         59 0074 WX3B          59 0816
QSO: 21203 PH 2012-03-24 1757 IV3UT         59 0075 PQ5B          59 1707
QSO: 21000 PH 2012-03-24 1759 IV3UT         59 075 EA7ATX        59 017
QSO: 21391 PH 2012-03-24 1810 IV3UT         59 0077 S50XX         59 0859
QSO: 21355 PH 2012-03-24 1820 IV3UT         59 0078 LP1H          59 1056
