START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: IZ2DVI
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: IZ2DVI
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2012.
QSO: 28000 PH 2012-03-24 1102 IZ2DVI        59 LA6KOA        59 258
QSO: 28467 PH 2012-03-24 1102 IZ2DVI        59 2 JT5DX         59 888
QSO: 28555 PH 2012-03-24 1121 IZ2DVI        59 003 A73A          59 0668
QSO: 28353 PH 2012-03-24 1125 IZ2DVI        59 004 T6MO          59 81
QSO: 28454 PH 2012-03-24 1132 IZ2DVI        59 005 C4W           59 1675
QSO: 28489 PH 2012-03-24 1135 IZ2DVI        59 007 VK6IR         59 0672
QSO: 21000 PH 2012-03-24 1142 IZ2DVI        59 0008 BV0J          59 0520
QSO: 21318 PH 2012-03-24 1148 IZ2DVI        59 009 SX5P          59 0663
QSO: 21309 PH 2012-03-24 1151 IZ2DVI        59 0011 WP2Z          59 1421
QSO: 14245 PH 2012-03-24 1153 IZ2DVI        59 012 EI100T        59 0223
QSO: 14251 PH 2012-03-24 1155 IZ2DVI        59 0013 OG73X         59 0865
QSO: 21177 PH 2012-03-24 1158 IZ2DVI        59 014 VY2ZM         59 1164
QSO: 21186 PH 2012-03-24 1158 IZ2DVI        59 015 ES1LS         59 0280
QSO: 21219 PH 2012-03-24 1159 IZ2DVI        59 016 UP2L          59 1673
QSO: 28000 PH 2012-03-24 1203 IZ2DVI        59 017 A61ZX         59 714
QSO: 21377 PH 2012-03-24 1211 IZ2DVI        59 19 6V7Z          59 1625
QSO: 21000 PH 2012-03-24 1213 IZ2DVI        59 020 CE3EEA        59 295
QSO: 28000 PH 2012-03-24 1219 IZ2DVI        59 0022 YF1AR         59 0142
QSO: 28610 PH 2012-03-24 1221 IZ2DVI        59 024 EK3GM         59 143
QSO: 28630 PH 2012-03-24 1222 IZ2DVI        59 025 JY4NE         59 238
QSO: 14277 PH 2012-03-24 1228 IZ2DVI        59 027 RJ3FF         59 0881
QSO: 28000 PH 2012-03-24 1240 IZ2DVI        59 0029 HZ1DG         59 0382
QSO: 28443 PH 2012-03-24 1247 IZ2DVI        59 0030 YM7KA         59 1244
QSO: 21316 PH 2012-03-24 1248 IZ2DVI        59 031 A71EM         59 1474
QSO: 21144 PH 2012-03-24 1250 IZ2DVI        59 0032 5K3R          59 0260
QSO: 28368 PH 2012-03-24 1325 IZ2DVI        59 0034 PJ4Z          59 0015
QSO: 28350 PH 2012-03-24 1328 IZ2DVI        59 35 PJ2T          59 180
QSO: 28529 PH 2012-03-24 1330 IZ2DVI        59 036 9K2HN         59 1735
QSO: 28450 PH 2012-03-24 1339 IZ2DVI        59 0037 PY4RGS        59 0288
QSO: 21126 PH 2012-03-24 1343 IZ2DVI        59 38 8P5A          59 1769
QSO: 21124 PH 2012-03-24 1348 IZ2DVI        59 0039 HI3K          59 0298
QSO: 21121 PH 2012-03-24 1353 IZ2DVI        59 0040 HI8LAM/3      59 0408
QSO: 21114 PH 2012-03-24 1354 IZ2DVI        59 041 P40W          59 0924
QSO: 21180 PH 2012-03-24 1356 IZ2DVI        59 42 UW5IM         59 804
QSO: 21138 PH 2012-03-24 1358 IZ2DVI        59 043 VE3EJ         59 1254
QSO: 21155 PH 2012-03-24 1401 IZ2DVI        59 44 VP52V         59 924
QSO: 21175 PH 2012-03-24 1402 IZ2DVI        59 0045 PZ5P          59 1298
QSO: 21208 PH 2012-03-24 1404 IZ2DVI        59 0046 KP2MM         59 0623
QSO: 14337 PH 2012-03-24 1410 IZ2DVI        59 0047 EE1W          59 0742
QSO: 14331 PH 2012-03-24 1412 IZ2DVI        59 049 LY9Y          59 0852
QSO: 14341 PH 2012-03-24 1412 IZ2DVI        59 048 GW9T          59 0696
QSO: 14329 PH 2012-03-24 1413 IZ2DVI        59 050 LY22A         59 0566
QSO: 14000 PH 2012-03-24 1414 IZ2DVI        59 51 UP4L          59 1419
QSO: 14300 PH 2012-03-24 1414 IZ2DVI        59 0052 7S0X          59 0384
QSO: 14272 PH 2012-03-24 1418 IZ2DVI        59 0054 UN1L          59 1275
QSO: 14284 PH 2012-03-24 1421 IZ2DVI        59 0053 CR6P          59 0481
QSO: 14000 PH 2012-03-24 1423 IZ2DVI        59 0056 YB1C          59 0972
QSO: 14128 PH 2012-03-24 1427 IZ2DVI        59 057 ZL3IO         59 871
QSO: 14000 PH 2012-03-24 1428 IZ2DVI        59 59 JH4UYB        59 1325
QSO: 14138 PH 2012-03-24 1428 IZ2DVI        59 58 UK/RZ1ZZ      59 369
QSO: 14122 PH 2012-03-24 1430 IZ2DVI        59 0060 UA9BS         59 1202
QSO: 14136 PH 2012-03-24 1432 IZ2DVI        59 061 YP5A          59 669
QSO: 14150 PH 2012-03-24 1433 IZ2DVI        59 062 YL2BJ         59 0771
QSO: 14232 PH 2012-03-24 1435 IZ2DVI        59 0063 SN5V          59 0218
QSO: 14274 PH 2012-03-24 1436 IZ2DVI        59 064 EA5DFV        59 0807
QSO: 14334 PH 2012-03-24 1438 IZ2DVI        59 065 SK7OA         59 0139
QSO: 14349 PH 2012-03-24 1443 IZ2DVI        59 066 HB9EE         59 0923
QSO: 14000 PH 2012-03-24 1444 IZ2DVI        59 0067 SV1JGX        59 0541
QSO: 28442 PH 2012-03-24 1445 IZ2DVI        59 068 EA8CNB        59 0338
QSO: 21264 PH 2012-03-24 1449 IZ2DVI        59 0069 LR3M          59 0333
QSO: 21318 PH 2012-03-24 1451 IZ2DVI        59 070 CR3A          59 0858
QSO: 21000 PH 2012-03-24 1452 IZ2DVI        59 0071 3G1B          59 0320
QSO: 21311 PH 2012-03-24 1459 IZ2DVI        59 072 CQ3L          59 0567
QSO: 21252 PH 2012-03-24 1502 IZ2DVI        59 73 AK1W          59 1371
QSO: 21285 PH 2012-03-24 1507 IZ2DVI        59 074 5D5A          59 2038
QSO: 21000 PH 2012-03-24 1522 IZ2DVI        59 0075 YV5KG         59 0389
QSO: 21156 PH 2012-03-24 1523 IZ2DVI        59 76 XL3T          59 1650
QSO: 21148 PH 2012-03-24 1524 IZ2DVI        59 0077 VY2/K5WA      59 1266
QSO: 21117 PH 2012-03-24 1527 IZ2DVI        59 078 P41P          59 1815
QSO: 21000 PH 2012-03-24 1530 IZ2DVI        59 0079 YC1LA         59 0333
QSO: 14000 PH 2012-03-24 1543 IZ2DVI        59 080 A41OO         59 035
QSO: 14216 PH 2012-03-24 1544 IZ2DVI        59 081 LZ9W          59 0958
QSO: 14210 PH 2012-03-24 1546 IZ2DVI        59 0082 YB4IR         59 0621
QSO: 14000 PH 2012-03-24 1548 IZ2DVI        59 083 DU1UGZ        59 090
QSO: 14149 PH 2012-03-24 1549 IZ2DVI        59 0084 BP0P          59 0819
QSO: 14000 PH 2012-03-24 1552 IZ2DVI        59 085 9M8Z          59 1164
QSO: 14291 PH 2012-03-24 1556 IZ2DVI        59 0087 VK4KW         59 0589
QSO: 14313 PH 2012-03-24 1556 IZ2DVI        59 0086 HS0ZJU        59 0664
QSO: 14225 PH 2012-03-24 1558 IZ2DVI        59 0088 VK4NM         59 1373
QSO: 14249 PH 2012-03-24 1603 IZ2DVI        59 089 3V8BB         59 1982
QSO:  7194 PH 2012-03-24 1619 IZ2DVI        59 090 DR1A          59 1276
QSO:  7000 PH 2012-03-24 1623 IZ2DVI        59 91 OT5A          59 995
QSO:  7183 PH 2012-03-24 1624 IZ2DVI        59 0092 YL3FT         59 0493
QSO:  7171 PH 2012-03-24 1625 IZ2DVI        59 93 S56X          59 681
QSO:  7164 PH 2012-03-24 1626 IZ2DVI        59 0094 OQ7T          59 0408
QSO:  7155 PH 2012-03-24 1627 IZ2DVI        59 0095 PI4DX         59 0205
QSO:  7152 PH 2012-03-24 1628 IZ2DVI        59 096 OL4A          59 0859
QSO:  7118 PH 2012-03-24 1631 IZ2DVI        59 0097 VK7ZX         59 0819
QSO:  7087 PH 2012-03-24 1633 IZ2DVI        59 098 9A1A          59 0994
QSO:  3500 PH 2012-03-24 1637 IZ2DVI        59 099 IQ4RA         59 408
QSO:  3784 PH 2012-03-24 1640 IZ2DVI        59 100 DP6T          59 0311
QSO:  3800 PH 2012-03-24 1647 IZ2DVI        59 101 LY7A          59 0441
QSO: 28000 PH 2012-03-24 1716 IZ2DVI        59 0102 AY5F          59 1768
QSO: 28455 PH 2012-03-24 1718 IZ2DVI        59 0103 PZ5P          59 1720
QSO: 28405 PH 2012-03-24 1720 IZ2DVI        59 0104 CW5W          59 1408
QSO: 28419 PH 2012-03-24 1725 IZ2DVI        59 105 D4A           59 1702
QSO: 14200 PH 2012-03-24 1746 IZ2DVI        59 106 ED9Z          59 0535
QSO: 14310 PH 2012-03-24 1747 IZ2DVI        59 107 G6PZ          59 0719
QSO: 14211 PH 2012-03-24 1753 IZ2DVI        59 108 IF9A          59 903
QSO: 14196 PH 2012-03-24 1756 IZ2DVI        59 0109 TA1DK         59 0234
QSO: 28450 PH 2012-03-25 0827 IZ2DVI        59 0110 BY5CD         59 1848
QSO: 28438 PH 2012-03-25 0841 IZ2DVI        59 0111 9M2NNM        59 0526
QSO: 28602 PH 2012-03-25 0845 IZ2DVI        59 0112 XV1X          59 0535
QSO: 28000 PH 2012-03-25 0847 IZ2DVI        59 113 UA9SAW        59 196
QSO: 28557 PH 2012-03-25 0851 IZ2DVI        59 114 UP0L          59 3556
QSO: 28462 PH 2012-03-25 0856 IZ2DVI        59 0115 BD5RV         59 1043
QSO: 21368 PH 2012-03-25 0905 IZ2DVI        59 116 B1Z           59 1099
