START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: AG6AU
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: AG6AU
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2016.
QSO:  7000 CW 2016-05-28 0250 AG6AU         599 N6AA          599 133
QSO: 14043 CW 2016-05-28 0254 AG6AU         599 0002 AD9I          599 0063
QSO: 14043 CW 2016-05-28 0254 AG6AU         599 0003 KC5FP         599 0078
QSO: 14042 CW 2016-05-28 0255 AG6AU         599 0004 AE1T          599 0021
QSO: 14043 CW 2016-05-28 0255 AG6AU         599 0095 KC8R          599 0096
QSO: 14042 CW 2016-05-28 0256 AG6AU         599 007 XE2AU         599 53
QSO: 14000 CW 2016-05-28 0257 AG6AU         599 009 KB1OIQ        599 047
QSO: 14000 CW 2016-05-28 0258 AG6AU         599 12 K0KR          599 88
QSO: 14043 CW 2016-05-28 0258 AG6AU         599 0011 NC6B          599 0092
QSO: 14042 CW 2016-05-28 0259 AG6AU         599 0013 KE0UI         599 0120
QSO: 14042 CW 2016-05-28 0300 AG6AU         599 0016 AD2KA         599 0060
QSO: 14042 CW 2016-05-28 0300 AG6AU         599 015 NM1G          599 0264
QSO: 14043 CW 2016-05-28 0300 AG6AU         599 0014 VE2ZT         599 0028
QSO: 14043 CW 2016-05-28 0302 AG6AU         599 0018 RY3D          599 0159
QSO: 14042 CW 2016-05-28 0303 AG6AU         599 0019 WC3W          599 0091
QSO: 14042 CW 2016-05-28 0303 AG6AU         599 20 WD0T          599 101
QSO: 14000 CW 2016-05-28 0304 AG6AU         599 22 WA6KHK        599 146
QSO: 14000 CW 2016-05-28 0305 AG6AU         599 21 WA2VQV        599 011
QSO: 14042 CW 2016-05-28 0306 AG6AU         599 0024 K5KU          599 0225
QSO: 14042 CW 2016-05-28 0306 AG6AU         599 0023 KB9QVT        599 0023
QSO: 14042 CW 2016-05-28 0307 AG6AU         599 26 N7RCS         599 70
QSO: 14042 CW 2016-05-28 0309 AG6AU         599 027 OM0M          599 0201
QSO: 14042 CW 2016-05-28 0309 AG6AU         599 28 VE5SDH        599 75
QSO: 14043 CW 2016-05-28 0309 AG6AU         599 0029 WB5EIN        599 0202
QSO: 14042 CW 2016-05-28 0310 AG6AU         599 0039 ZV2K          599 0078
QSO:  7059 CW 2016-05-28 0315 AG6AU         599 31 NW6H          599 276
QSO: 14000 CW 2016-05-28 0326 AG6AU         599 34 N2RI          599 085
QSO: 14049 CW 2016-05-28 0326 AG6AU         599 0033 N7IR          599 0116
QSO: 14000 CW 2016-05-28 0327 AG6AU         599 35 KJ4IWZ        599 080
QSO: 14000 CW 2016-05-28 0328 AG6AU         599 36 W6RGG         599 89
QSO: 14043 CW 2016-05-28 0328 AG6AU         599 26 KK5I          599 291
QSO: 14049 CW 2016-05-28 0329 AG6AU         599 0038 UA4S          599 0334
QSO: 14049 CW 2016-05-28 0330 AG6AU         599 39 KE6QR         599 37
QSO: 14049 CW 2016-05-28 0331 AG6AU         599 0042 SJ2W          599 0296
QSO: 14049 CW 2016-05-28 0333 AG6AU         599 0044 AD7JP         599 0252
QSO: 14049 CW 2016-05-28 0334 AG6AU         599 0045 LY2W          599 0188
QSO: 14049 CW 2016-05-28 0334 AG6AU         599 0046 VA6XDX        599 0079
QSO: 14049 CW 2016-05-28 0335 AG6AU         599 0047 W9AV          599 0132
QSO: 14000 CW 2016-05-28 0336 AG6AU         599 48 K7ABV         599 078
QSO: 14000 CW 2016-05-28 0338 AG6AU         599 49 LY7A          599 189
QSO: 14007 CW 2016-05-28 0338 AG6AU         599 50 VY2TT         599 492
QSO: 14007 CW 2016-05-28 0339 AG6AU         599 051 PX2A          599 0447
QSO: 14012 CW 2016-05-28 0341 AG6AU         599 052 RM5A          599 0462
QSO: 14014 CW 2016-05-28 0342 AG6AU         599 53 VC4R          599 298
QSO: 14017 CW 2016-05-28 0343 AG6AU         599 0054 XR0YS         599 0365
QSO: 14018 CW 2016-05-28 0344 AG6AU         599 055 YT3X          599 0261
QSO: 14019 CW 2016-05-28 0344 AG6AU         599 0056 LZ5R          599 0062
QSO: 14025 CW 2016-05-28 0350 AG6AU         599 0057 RM6C          599 0320
QSO: 14026 CW 2016-05-28 0351 AG6AU         599 0058 UA6GO         599 0255
QSO: 14028 CW 2016-05-28 0354 AG6AU         599 059 CN8KD         599 0045
QSO: 14031 CW 2016-05-28 0355 AG6AU         599 60 LY2IJ         599 330
