START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: WB6NBU
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: WB6NBU
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2016.
QSO: 21000 CW 2016-05-28 0006 WB6NBU        599 KT5J          599 16
QSO: 21036 CW 2016-05-28 0012 WB6NBU        599 003 WQ6X          599 0014
QSO: 21041 CW 2016-05-28 0013 WB6NBU        599 0004 K9CT          599 0014
QSO: 21047 CW 2016-05-28 0014 WB6NBU        599 0005 W4NZ          599 0024
QSO: 21026 CW 2016-05-28 0016 WB6NBU        599 0006 KI6RRN        599 0012
QSO: 21034 CW 2016-05-28 0016 WB6NBU        599 0007 VP9I          599 0023
QSO: 21048 CW 2016-05-28 0023 WB6NBU        599 008 WP3C          599 0047
QSO: 21008 CW 2016-05-28 0025 WB6NBU        599 9 KH6TU         599 54
QSO: 21022 CW 2016-05-28 0029 WB6NBU        599 0010 WN1GIV        599 0046
QSO: 21020 CW 2016-05-28 0033 WB6NBU        599 0013 XE2X          599 0058
QSO: 21030 CW 2016-05-28 0034 WB6NBU        599 0012 K5KU          599 0038
QSO: 21035 CW 2016-05-28 0034 WB6NBU        599 0011 KH6LC         599 0086
QSO: 21002 CW 2016-05-28 0052 WB6NBU        599 015 KR7O          599 0089
QSO: 21000 CW 2016-05-28 0054 WB6NBU        599 16 K0LIR         599 83
QSO: 21000 CW 2016-05-28 0121 WB6NBU        599 0018 PP5KR         599 0148
QSO: 21042 CW 2016-05-28 0124 WB6NBU        599 019 PX2A          599 0161
QSO: 21013 CW 2016-05-28 0244 WB6NBU        599 0020 WH6R          599 0271
QSO: 21034 CW 2016-05-28 0247 WB6NBU        599 0021 YV4YC         599 0217
QSO: 21025 CW 2016-05-28 0252 WB6NBU        599 0022 ZL1AM         599 0231
QSO: 21021 CW 2016-05-28 0255 WB6NBU        599 0023 AK5X          599 0288
QSO: 21043 CW 2016-05-28 0256 WB6NBU        599 0024 NN5Z          599 0149
QSO: 21047 CW 2016-05-28 0258 WB6NBU        599 0025 5W1SA         599 0243
QSO: 21018 CW 2016-05-28 0307 WB6NBU        599 0026 PY4YY         599 0155
QSO: 14003 CW 2016-05-28 0314 WB6NBU        599 0027 NK7U          599 0446
QSO: 14017 CW 2016-05-28 0317 WB6NBU        599 0028 NE0F          599 0399
QSO: 14016 CW 2016-05-28 0324 WB6NBU        599 0029 KH6LC         599 0324
QSO: 14028 CW 2016-05-28 0327 WB6NBU        599 0030 W1WMU         599 0225
QSO: 14022 CW 2016-05-28 0330 WB6NBU        599 0031 CR2X          599 0590
QSO: 14001 CW 2016-05-28 1357 WB6NBU        599 032 AC1U          599 1012
QSO: 14003 CW 2016-05-28 1358 WB6NBU        599 033 NE4AA         599 0820
QSO: 14051 CW 2016-05-28 1409 WB6NBU        599 34 VC4R          599 363
QSO: 14008 CW 2016-05-28 1411 WB6NBU        599 0035 WR3O          599 1001
QSO: 14016 CW 2016-05-28 1414 WB6NBU        599 036 IZ4ZZB        599 413
QSO: 14025 CW 2016-05-28 1415 WB6NBU        599 0037 KC0MO         599 0486
QSO: 14000 CW 2016-05-28 1417 WB6NBU        599 038 TF3CW         599 0677
QSO: 14006 CW 2016-05-28 1422 WB6NBU        599 0039 VE9CB         599 0793
QSO: 21015 CW 2016-05-28 1911 WB6NBU        599 040 WP4X          599 0827
QSO: 21014 CW 2016-05-28 1915 WB6NBU        599 031 NR5M          599 0263
QSO: 21028 CW 2016-05-28 1916 WB6NBU        599 042 P40L          599 1598
