START-OF-LOG: 3.0
CONTEST: EA-CME
CALLSIGN: PA0AWH
CATEGORY: SINGLE-OP ALL QRP
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY-POWER: 
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-ASSISTED: NON-ASSISTED
LOCATION: DX
CLUB:    THRACIAN ROSE CLUB
NAME:    Ad van der Wielen
SOAPBOX: RIG: YAESU-FT817, 5 WATT IN SSB
SOAPBOX: ANTENNAS: SLOPING DELTA LOOP / WINDOM AS INV. VEE
QSO: 14000 PH 2022-08-13 1223 PA0AWH        59  001        EA4URE        59  HQ           
QSO: 14000 PH 2022-08-13 1227 PA0AWH        59  002        EA7ATX        59  11027      
QSO: 14000 PH 2022-08-13 1228 PA0AWH        59  003        HA3DX         59  034        
QSO: 14000 PH 2022-08-13 1234 PA0AWH        59  004        IU3FBL        59  013        
QSO: 14000 PH 2022-08-13 1244 PA0AWH        59  005        S51CK         59  033        
QSO: 14000 PH 2022-08-13 1252 PA0AWH        59  006        EA1FDJ        59  39075      
QSO: 14000 PH 2022-08-13 1258 PA0AWH        59  007        EC1DJ         59  36060      
QSO: 14000 PH 2022-08-13 1312 PA0AWH        59  008        EA3HXV        59  08121      
QSO: 14000 PH 2022-08-13 1317 PA0AWH        59  009        EA3AYQ        59  17160      
QSO: 14000 PH 2022-08-13 1319 PA0AWH        59  010        IZ0VXY        59  009        
QSO: 14000 PH 2022-08-13 1438 PA0AWH        59  011        9A1AA         59  060        
QSO: 14000 PH 2022-08-13 1439 PA0AWH        59  012        EB2AM         59  48073      
QSO: 14000 PH 2022-08-13 1441 PA0AWH        59  013        EC1DD         59  36021      
QSO: 14000 PH 2022-08-13 1444 PA0AWH        59  014        EA5FSJ        59  03122      
QSO: 14000 PH 2022-08-13 1451 PA0AWH        59  015        EA2WX/1       59  49014      
QSO: 14000 PH 2022-08-13 1502 PA0AWH        59  016        EA5RJ         59  46184      
QSO: 14000 PH 2022-08-13 1757 PA0AWH        59  017        EA5DF         59  46159      
QSO: 14000 PH 2022-08-13 1759 PA0AWH        59  018        EA4DTE        59  28092      
QSO:  7000 PH 2022-08-14 0514 PA0AWH        59  019        HA3DX         59  406        
QSO:  7000 PH 2022-08-14 0549 PA0AWH        59  020        S51CK         59  383        
QSO: 14000 PH 2022-08-14 0821 PA0AWH        59  021        EA1AA         59  39016      
QSO: 14000 PH 2022-08-14 0829 PA0AWH        59  022        ED2FPA        59  01002      
QSO: 14000 PH 2022-08-14 0850 PA0AWH        59  023        EA1G          59  33040      
QSO: 14000 PH 2022-08-14 0904 PA0AWH        59  024        EA1FHQ        59  33076      
QSO: 14000 PH 2022-08-14 0920 PA0AWH        59  025        EA4HPY        59  28176      
END-OF-LOG:
