START-OF-LOG: 3.0
CREATED-BY: ua9qcq-yuri-gagarin-dx-ubn-downloader
CONTEST: YURI-GAGARIN-DX
CALLSIGN: SD4W
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-ASSISTED: 
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: 
CATEGORY-POWER: LOW
OPERATORS: SM6FPC
QSO: 21013 CW 2024-04-13 1227 SD4W          599 18     RK9CYA        599 30    
QSO: 21006 CW 2024-04-13 1230 SD4W          599 18     R4BZ          599 29    
QSO: 21007 CW 2024-04-13 1231 SD4W          599 18     RA9JM         599 21    
QSO: 21009 CW 2024-04-13 1232 SD4W          599 18     R0QC          599 23    
QSO: 21010 CW 2024-04-13 1233 SD4W          599 18     RX9CC         599 20    
QSO: 21010 CW 2024-04-13 1235 SD4W          599 18     RC0CD         599 34    
QSO: 21010 CW 2024-04-13 1235 SD4W          599 18     RW0A          599 SA    
QSO: 21015 CW 2024-04-13 1237 SD4W          599 18     Z35F          599 28    
QSO: 21015 CW 2024-04-13 1238 SD4W          599 18     R4ACY         599 29    
QSO: 21015 CW 2024-04-13 1240 SD4W          599 18     UA9XL         599 20    
QSO: 21018 CW 2024-04-13 1243 SD4W          599 18     ZA1EM         599 28    
QSO: 21022 CW 2024-04-13 1246 SD4W          599 18     R4KO          599 29    
QSO: 21024 CW 2024-04-13 1248 SD4W          599 18     UA0D          599 33    
QSO: 21026 CW 2024-04-13 1250 SD4W          599 18     RW0J          599 KV    
QSO: 21029 CW 2024-04-13 1252 SD4W          599 18     UN9GD         599 31    
QSO: 21029 CW 2024-04-13 1252 SD4W          599 18     RU0LL         599 34    
QSO: 21029 CW 2024-04-13 1253 SD4W          599 18     RW9DX         599 30    
QSO: 21030 CW 2024-04-13 1253 SD4W          599 18     R8LA          599 30    
QSO: 21033 CW 2024-04-13 1256 SD4W          599 18     SV1JG         599 28    
QSO: 21033 CW 2024-04-13 1257 SD4W          599 18     RD0A          599 32    
QSO: 21033 CW 2024-04-13 1258 SD4W          599 18     AA3B          599 08    
QSO: 21035 CW 2024-04-13 1259 SD4W          599 18     R9OK          599 31    
QSO: 21036 CW 2024-04-13 1301 SD4W          599 18     IZ8XXE        599 28    
QSO: 21041 CW 2024-04-13 1303 SD4W          599 18     R9MM          599 30    
QSO: 21043 CW 2024-04-13 1304 SD4W          599 18     UA6AA         599 29    
QSO: 21044 CW 2024-04-13 1305 SD4W          599 18     RK4W          599 30    
QSO: 21050 CW 2024-04-13 1309 SD4W          599 18     R9XS          599 20    
QSO: 21005 CW 2024-04-13 1315 SD4W          599 18     R4RN          599 30    
QSO: 21006 CW 2024-04-13 1315 SD4W          599 18     UB7K          599 29    
QSO: 21007 CW 2024-04-13 1316 SD4W          599 18     RU9AD         599 30    
QSO: 21016 CW 2024-04-13 1318 SD4W          599 18     RU9TN         599 30    
QSO: 21017 CW 2024-04-13 1319 SD4W          599 18     R6CZ          599 29    
QSO: 21018 CW 2024-04-13 1320 SD4W          599 18     UC0A          599 32    
QSO: 21021 CW 2024-04-13 1322 SD4W          599 18     HA2KMR        599 28    
QSO: 21021 CW 2024-04-13 1323 SD4W          599 18     N5XZ          599 07    
QSO: 21023 CW 2024-04-13 1324 SD4W          599 18     UA6CC         599 29    
QSO: 21023 CW 2024-04-13 1325 SD4W          599 18     RC6U          599 29    
