START-OF-LOG: 2.0
ARRL-SECTION: DX
CALLSIGN: EA4EJR
CLUB: 
CONTEST: EA-MAJESTAD-CW
CATEGORY: SINGLE-OP ALL LOW
CLAIMED-SCORE: 1674
OPERATORS: EA4EJR
NAME: Pedro Olmos gonzález
SOAPBOX: Condiciones precarias, mucho ruido debido a tormentas.
CREATED-BY: EA4EJR Log Linux esautomatix 4.15.0-20-generic #21-Ubuntu SMP x86_64 GNU/Linux
QSO: 28000 CW 2018-05-19 1505 EA4EJR        599 BA     EA1VM         599 P 
QSO: 28000 CW 2018-05-19 1513 EA4EJR        599 BA     PA2A          599 057
QSO: 28000 CW 2018-05-19 1518 EA4EJR        599 BA     UT4U          599 209
QSO: 28000 CW 2018-05-19 1522 EA4EJR        599 BA     PP1CZ         599 013
QSO: 28000 CW 2018-05-19 1543 EA4EJR        599 BA     ON4CAU        599 007
QSO: 28000 CW 2018-05-19 1549 EA4EJR        599 BA     IK0PXD        599 079
QSO: 28000 CW 2018-05-19 1559 EA4EJR        599 BA     9A1AA         599 181
QSO: 28000 CW 2018-05-19 1606 EA4EJR        599 BA     9A7T          599 243
QSO: 28000 CW 2018-05-19 1610 EA4EJR        599 BA     S53MM         599 078
QSO: 21000 CW 2018-05-19 1635 EA4EJR        599 BA     PA0MIR        599 035
QSO: 21000 CW 2018-05-19 1638 EA4EJR        599 BA     HA4XH         599 226
QSO: 21000 CW 2018-05-19 1648 EA4EJR        599 BA     EA4TX         599 M
QSO: 14000 CW 2018-05-19 1709 EA4EJR        599 BA     CN8KD         599 109
QSO: 14000 CW 2018-05-19 1714 EA4EJR        599 BA     EA8BQM        599 GC
QSO: 14000 CW 2018-05-19 1716 EA4EJR        599 BA     EA2OT         599 SS
QSO: 14000 CW 2018-05-19 1718 EA4EJR        599 BA     YL3GAZ        599 038
QSO: 14000 CW 2018-05-19 1728 EA4EJR        599 BA     EF0F          599 SMR
QSO: 14000 CW 2018-05-19 1732 EA4EJR        599 BA     EA1EX         599 O
QSO: 14000 CW 2018-05-19 1754 EA4EJR        599 BA     EA1BDX        599 C
QSO: 14000 CW 2018-05-19 1804 EA4EJR        599 BA     DL9LM         599 043
QSO: 14000 CW 2018-05-19 1809 EA4EJR        599 BA     S54W          599 036
QSO:  7000 CW 2018-05-20 0911 EA4EJR        599 BA     EA8ZS         599 CG
QSO:  7000 CW 2018-05-20 0913 EA4EJR        599 BA     EC7WA         599 S
QSO:  7000 CW 2018-05-20 0919 EA4EJR        599 BA     ED1LO         599 LO
QSO:  7000 CW 2018-05-20 0924 EA4EJR        599 BA     EA7RCS        599 SE
QSO:  7000 CW 2018-05-20 0926 EA4EJR        599 BA     EC5CR         599 V
QSO:  7000 CW 2018-05-20 0928 EA4EJR        599 BA     EA3GDA        599 B
QSO:  7000 CW 2018-05-20 0929 EA4EJR        599 BA     F5VMN         599 444
QSO:  7000 CW 2018-05-20 0931 EA4EJR        599 BA     EF4R          599 M
QSO:  7000 CW 2018-05-20 0939 EA4EJR        599 BA     EA3IN         599 B
QSO:  7000 CW 2018-05-20 0941 EA4EJR        599 BA     EA4EN         599 M
QSO:  7000 CW 2018-05-20 0944 EA4EJR        599 BA     F5IN          599 361
QSO:  7000 CW 2018-05-20 0947 EA4EJR        599 BA     F6AUS         599 178
QSO:  7000 CW 2018-05-20 0954 EA4EJR        599 BA     EA7ZC         599 CO
QSO:  7000 CW 2018-05-20 0958 EA4EJR        599 BA     EA2AFV        599 BI
QSO:  7000 CW 2018-05-20 0959 EA4EJR        599 BA     EA4ESP        599 CC
QSO:  7000 CW 2018-05-20 1004 EA4EJR        599 BA     CN8KD         599 230
END-OF-LOG: 

