START-OF-LOG: 3.0
LOCATION: DX
CALLSIGN: EA6SX
CATEGORY: SINGLE-OP ALL QRP
CLUB: EA CONTEST CLUB
CONTEST: EA-PSK63
CLAIMED-SCORE: 1830
OPERATORS: EA6SX
SOAPBOX: Solo pude estar unas horas el domingo por obligaciones, me canse 
SOAPBOX: de llamar en 40m y nada ni un QSO. En 20m despues de varios 
SOAPBOX: minutos, alguien me puso un spot y consigo hacer varios del tiron, 
SOAPBOX: al final regreso a 40m y mas de lo mismo solo 5. Muy duro lo del 
SOAPBOX: QRP pero hay probarlo casi todo. Gracias 73,s EA6SX Miguel
NAME: Miguel Garcia Castaner
CREATED-BY: N1MM Logger+ 1.0.8744.0
QSO: 14071 PS 2023-03-12 1052 EA6SX         599 IB     M0ICL         599 0204     
QSO: 14071 PS 2023-03-12 1053 EA6SX         599 IB     OE5BGN        599 0145     
QSO: 14071 PS 2023-03-12 1053 EA6SX         599 IB     EA1FQT        599 O        
QSO: 14071 PS 2023-03-12 1054 EA6SX         599 IB     EA1CHG        599 ZA       
QSO: 14071 PS 2023-03-12 1054 EA6SX         599 IB     EA7FRX        599 CO       
QSO: 14071 PS 2023-03-12 1055 EA6SX         599 IB     EA7HS         599 CO       
QSO: 14071 PS 2023-03-12 1056 EA6SX         599 IB     G4EBY         599 0267     
QSO: 14071 PS 2023-03-12 1056 EA6SX         599 IB     G4ENZ         599 0078     
QSO: 14071 PS 2023-03-12 1057 EA6SX         599 IB     G3G           599 0173     
QSO: 14071 PS 2023-03-12 1100 EA6SX         599 IB     G3VMY         599 0015     
QSO: 14071 PS 2023-03-12 1101 EA6SX         599 IB     LY2F          599 0554     
QSO: 14071 PS 2023-03-12 1104 EA6SX         599 IB     YO3RU         599 0242     
QSO: 14071 PS 2023-03-12 1105 EA6SX         599 IB     HB9CAL        599 0348     
QSO: 14071 PS 2023-03-12 1106 EA6SX         599 IB     SQ4HRX        599 0256     
QSO: 14071 PS 2023-03-12 1107 EA6SX         599 IB     HB9HLH        599 0007     
QSO: 14071 PS 2023-03-12 1108 EA6SX         599 IB     EA1CQ         599 S        
QSO: 14071 PS 2023-03-12 1108 EA6SX         599 IB     OK2VIR        599 0122     
QSO: 14071 PS 2023-03-12 1109 EA6SX         599 IB     DL6DJ         599 0138     
QSO: 14071 PS 2023-03-12 1109 EA6SX         599 IB     DM6WAN        599 0140     
QSO: 14071 PS 2023-03-12 1112 EA6SX         599 IB     OK2EA         599 0350     
QSO: 14071 PS 2023-03-12 1112 EA6SX         599 IB     DL1AKL        599 0075     
QSO: 14071 PS 2023-03-12 1113 EA6SX         599 IB     EB1FE         599 O        
QSO: 14071 PS 2023-03-12 1113 EA6SX         599 IB     PE4KH         599 0161     
QSO: 14071 PS 2023-03-12 1114 EA6SX         599 IB     PD0MHZ        599 0242     
QSO: 14071 PS 2023-03-12 1115 EA6SX         599 IB     DL3KVR        599 0200     
QSO: 14071 PS 2023-03-12 1116 EA6SX         599 IB     DL9GMC        599 0099     
QSO: 14071 PS 2023-03-12 1116 EA6SX         599 IB     PI4VPO        599 0095     
QSO: 14071 PS 2023-03-12 1120 EA6SX         599 IB     CT1FOQ        599 0042     
QSO: 14071 PS 2023-03-12 1122 EA6SX         599 IB     IN3OWY        599 0159     
QSO: 14071 PS 2023-03-12 1123 EA6SX         599 IB     UT2SQ         599 0088     
QSO: 14071 PS 2023-03-12 1124 EA6SX         599 IB     DL5BCF        599 0073     
QSO: 14071 PS 2023-03-12 1124 EA6SX         599 IB     SP4TXI        599 0340     
QSO: 14071 PS 2023-03-12 1125 EA6SX         599 IB     M0KKM         599 0214     
QSO: 14071 PS 2023-03-12 1125 EA6SX         599 IB     EB5F          599 A        
QSO: 14071 PS 2023-03-12 1126 EA6SX         599 IB     SI3A          599 0219     
QSO: 14071 PS 2023-03-12 1126 EA6SX         599 IB     PA7HPH        599 0084     
QSO: 14071 PS 2023-03-12 1127 EA6SX         599 IB     CR5O          599 0589     
QSO: 14071 PS 2023-03-12 1128 EA6SX         599 IB     SQ9CXC        599 0294     
QSO: 14071 PS 2023-03-12 1129 EA6SX         599 IB     IZ8CZR        599 0004     
QSO: 14071 PS 2023-03-12 1129 EA6SX         599 IB     DL1EJD        599 0090     
QSO: 14071 PS 2023-03-12 1130 EA6SX         599 IB     9A7B          599 0253     
QSO: 14071 PS 2023-03-12 1132 EA6SX         599 IB     EA1BAF        599 OU       
QSO: 14071 PS 2023-03-12 1133 EA6SX         599 IB     C37AC         599 0183     
QSO: 14071 PS 2023-03-12 1133 EA6SX         599 IB     R3AQ          599 0134     
QSO:  7043 PS 2023-03-12 1142 EA6SX         599 IB     EA4CQX        599 M        
QSO:  7043 PS 2023-03-12 1143 EA6SX         599 IB     EA6EA         599 IB       
QSO:  7043 PS 2023-03-12 1144 EA6SX         599 IB     IK2SBB        599 0236     
QSO:  7043 PS 2023-03-12 1144 EA6SX         599 IB     ED1B          599 O        
QSO:  7043 PS 2023-03-12 1146 EA6SX         599 IB     EA2DDE        599 NA       
END-OF-LOG:
