START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: RDA
CALLSIGN: RV3YR
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: RV3YR
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for RDA RDAContest/2019.
QSO: 14190 PH 2019-08-17 0929 RV3YR         59 BR01 HA8IB         59 0051
QSO: 14199 PH 2019-08-17 0929 RV3YR         59 BR01 LZ1YE         59 0047
QSO: 14000 CW 2019-08-17 0931 RV3YR         599 BR01 OK1DVA        599 0017
QSO: 14033 CW 2019-08-17 0932 RV3YR         599 BR01 HA6PJ         599 0072
QSO: 14033 CW 2019-08-17 0933 RV3YR         599 BR01 HA6NL         599 0118
QSO: 14033 CW 2019-08-17 0933 RV3YR         599 BR01 SP7LIE        599 0043
QSO: 14033 CW 2019-08-17 0934 RV3YR         599 BR01 LA2HFA        599 0028
QSO: 14033 CW 2019-08-17 0934 RV3YR         599 BR01 YL1ZF         599 0116
QSO: 14024 CW 2019-08-17 0936 RV3YR         599 BR01 DJ1YF         599 0056
QSO: 14015 CW 2019-08-17 0937 RV3YR         599 BR01 F8DGF         599 0023
QSO: 14033 CW 2019-08-17 0937 RV3YR         599 BR01 OG6N          599 0081
QSO: 14000 CW 2019-08-17 0939 RV3YR         599 BR01 LZ1DQ         599 0035
QSO: 14033 CW 2019-08-17 0940 RV3YR         599 BR01 YT6W          599 0117
QSO: 14032 CW 2019-08-17 0942 RV3YR         599 BR01 OK1FHI        599 0042
QSO: 14032 CW 2019-08-17 0942 RV3YR         599 BR01 UP0L          599 0208
QSO: 14033 CW 2019-08-17 0942 RV3YR         599 BR01 DG7EE         599 0024
QSO: 14033 CW 2019-08-17 0943 RV3YR         599 BR01 DG0KS         599 0024
QSO: 14032 CW 2019-08-17 0947 RV3YR         599 BR01 G4IRN         599 0002
QSO: 14033 CW 2019-08-17 0947 RV3YR         599 BR01 SN7O          599 0126
